Field ID,Planting date
LET_TAB,5/7/23
LET_TAB,5/7/23
GAB_ALL,5/9/23
GAB_ALL,5/9/23
SMI_CRO,5/9/23
SMI_CRO,5/9/23
SMI_DOU,5/10/23
SMI_DOU,5/10/23
DEG_PER_STRIP,5/10/23
DEG_PER_STRIP,5/10/23
DIP_PAT,5/11/23
DIP_PAT,5/11/23
KAT_TEE_2,5/11/23
KAT_TEE_2,5/11/23
DEG_PER_STRIP,5/12/23
DEG_PER_STRIP,5/12/23
KAT_TEE,5/13/23
KAT_TEE,5/13/23
SMI_COB,5/13/23
SMI_COB,5/13/23
SMI_JOH,5/13/23
SMI_JOH,5/13/23
STA_HEM,5/15/23
STA_HEM,5/15/23
STA_HEM_2,5/15/23
STA_HEM_2,5/15/23
SMI_MCC,5/15/23
SMI_MCC,5/15/23
DEG_VIL,5/15/23
DEG_VIL,5/15/23
DEG_VIL,5/15/23
DEG_VIL,5/15/23
SEA_HOO,5/15/23
SEA_HOO,5/15/23
ONE_STA,5/15/23
ONE_STA,5/15/23
SMI_LAT,5/17/23
SMI_LAT,5/17/23
DEG_FOU_WOOD,5/18/23
DEG_FOU_WOOD,5/18/23
SMI_HOF,5/18/23
SMI_HOF,5/18/23
POV_DUN,5/19/23
POV_DUN,5/19/23
DIP_CUR,5/19/23
DIP_CUR,5/19/23
KAT_JEF_2,5/22/23
KAT_JEF_2,5/22/23
SEA_HOO,5/22/23
SEA_HOO,5/22/23
KAT_BAR,5/22/23
KAT_BAR,5/22/23
GAB_STE,5/23/23
GAB_STE,5/23/23
DIP_FLE,5/23/23
DIP_FLE,5/23/23
SMI_HOL,5/24/23
SMI_HOL,5/24/23
KAT_JEF,5/29/23
KAT_JEF,5/29/23
KAT_HAB_2,5/29/23
KAT_HAB_2,5/29/23
STA_COL,5/30/23
STA_WIL,5/30/23
KAT_JEF,5/31/23
KAT_JEF,5/31/23
SMI_COB,6/5/23
SMI_COB,6/5/23
KAT_SAU_2,6/8/23
KAT_SAU_2,6/8/23
KAT_SAU_2,7/9/23
KAT_SAU_2,7/9/23
