Record ID,NY_SOILS0_,NY_SOILS01,MUID,HSG,HSGINT,MUSERIAL,HSGA,HSGB,HSGC,HSGD,HSGW
POV_DUN,2404,4346,NY134,A,1,6801,58,27,0,15,0
DIP_FLE,2190,4201,NY131,A,1,6798,0,14,63,23,0
DIP_CUR,2085,5669,NY134,A,1,6801,58,27,0,15,0
GAB_STE,1376,5311,NY084,A,1,6752,62,23,13,2,0
SMI_CRO,1779,5454,NY131,A,1,6798,0,14,63,23,0
SMI_CAN,1511,5436,NY128,B,2,6795,0,90,6,4,0
SMI_KEL,1659,5444,NY007,C,3,6681,0,40,48,12,0
SMI_COB,2029,3921,NY099,A,1,6767,54,28,6,12,0
SMI_DOU,1349,3760,NY007,C,3,6681,0,40,48,12,0
SMI_MCC,1401,3769,NY142,D,4,6809,0,34,31,35,0
SMI_HOL,1779,5454,NY131,A,1,6798,0,14,63,23,0
DIP_PAT,1577,5558,NY131,A,1,6798,0,14,63,23,0
MIL_YOD,1559,5483,NY128,B,2,6795,0,90,6,4,0
MIL_CHA,1559,5483,NY128,B,2,6795,0,90,6,4,0
MIL_MCC,1596,5481,NY012,B,2,6685,0,88,9,3,0
KAT_SAU,2607,5931,NY129,C,3,6796,0,0,100,0,0
KAT_SAU_2,2607,5931,NY129,C,3,6796,0,0,100,0,0
KAT_TEE,2446,4660,NY134,A,1,6801,58,27,0,15,0
KAT_TEE_2,2450,4657,NY125,B,2,6792,15,56,29,0,0
KAT_HAB_2,2088,4489,NY126,C,3,6793,0,5,77,18,0
KAT_HAB,2251,4565,NY077,C,3,6745,0,17,81,2,0
KAT_BAR,2796,5952,NY044,B,2,6717,26,37,20,17,0
SMI_LAT,2103,4062,NY125,B,2,6792,15,56,29,0,0
SMI_DUR,1488,5493,NY142,D,4,6809,0,34,31,35,0
SMI_HOF,2224,4108,NY134,A,1,6801,58,27,0,15,0
SMI_JOH,1483,5475,NY134,A,1,6801,58,27,0,15,0
SMI_JOH_2,1477,5478,NY142,D,4,6809,0,34,31,35,0
GAB_ALL,1205,5295,NY138,C,3,6805,0,11,63,26,0
KAT_JEF,2501,5970,NY125,B,2,6792,15,56,29,0,0
KAT_JEF_2,2501,5970,NY125,B,2,6792,15,56,29,0,0
STA_WIL,1515,5592,NY128,B,2,6795,0,90,6,4,0
STA_HEM_2,1686,5631,NY128,B,2,6795,0,90,6,4,0
STA_HEM,1686,5631,NY128,B,2,6795,0,90,6,4,0
STA_SWE,1807,5694,NY093,B,2,6761,5,59,2,34,0
STA_COL,1264,5575,NY138,C,3,6805,0,11,63,26,0
WIS_COO_2,2914,4436,NY149,A,1,6816,71,12,11,6,0
WIS_COO_1,2877,5744,NY062,C,3,6734,6,0,90,4,0
LET_NOB,1538,5653,NY128,B,2,6795,0,90,6,4,0
LET_TAB,2067,5738,NY127,C,3,6794,0,3,97,0,0
WIS_HIG,2962,5872,NY156,C,3,6823,0,0,97,3,0
WIS_MEG,2850,5739,NY149,A,1,6816,71,12,11,6,0
WIS_KEN,2904,5799,NY062,C,3,6734,6,0,90,4,0
ZUE_REE,1847,4084,NY131,A,1,6798,0,14,63,23,0
DEG_PER_STRIP,1933,4067,NY126,C,3,6793,0,5,77,18,0
DEG_FOU_WOOD,1933,4067,NY126,C,3,6793,0,5,77,18,0
DEG_DIE_HILL,2182,5681,NY127,C,3,6794,0,3,97,0,0
DEG_DIE_SWC,1860,5590,NY134,A,1,6801,58,27,0,15,0
DEG_YOU_BOCES,1860,5590,NY134,A,1,6801,58,27,0,15,0
DEG_YOU_OSHEA,1968,5632,NY126,C,3,6793,0,5,77,18,0
DEG_YOU_JONES,1859,5603,NY094,B,2,6762,30,58,2,10,0
DEG_VIL,1859,5603,NY094,B,2,6762,30,58,2,10,0
SEA_HOO,1686,5631,NY128,B,2,6795,0,90,6,4,0
MIL_HUM,1479,5431,NY131,A,1,6798,0,14,63,23,0
ONE_TER,157,3136,NY145,C,3,6812,0,15,32,53,0
ONE_ADO,196,3156,NY151,C,3,6818,0,0,66,34,0
ONE_STA,113,3087,NY145,C,3,6812,0,15,32,53,0
