Field ID,Lat,Lon
DEG_DIE_HILL,42.60246,-76.14947
DEG_DIE_SWC,42.63702,-76.12994
DEG_FOU_WOOD,42.57732,-76.28133
DEG_PER_STRIP,42.6731741,-76.229084
DEG_VIL,42.68905,-76.16856
DEG_YOU_BOCES,42.61833,-76.16046
DEG_YOU_JONES,42.68381,-76.15737
DEG_YOU_OSHEA,42.64387,-76.16688
DIP_CUR,42.432905,-76.24405
DIP_FLE,42.600981,-76.513185
DIP_PAT,42.9035541,-76.664187
GAB_ALL,42.92364,-73.68089
GAB_STE,43.07217,-73.52835
KAT_BAR,42.049932,-77.137233
KAT_HAB_1,42.508615,-78.913291
KAT_HAB_2,42.553359,-78.881664
KAT_JEF_1,42.243724,-79.070508
KAT_JEF_2,42.269953,-79.088346
KAT_SAU_1,42.058264,-77.785615
KAT_SAU_2,42.059884,-77.800873
KAT_TEE_1,42.335635,-78.761892
KAT_TEE_2,42.346801,-78.741829
LET_NOB,42.8580244,-77.95125
LET_TAB,42.638843,-78.016009
MIL_CHA_1,43.0297802,-75.452134
MIL_MCC_1,42.92211,-75.360383
MIL_YOD_1,42.995964,-75.526558
ONE_ADO_1,44.6398656,-74.94541
ONE_STA_1,44.771089,-74.660663
ONE_TER_1,44.5925134,-75.186411
POV_DUN,42.38746,-76.399248
SEA_HOO,42.625396,-77.01625
SMI_CAN,42.87555,-75.0553
SMI_COB,42.6602,-74.50955
SMI_CRO,42.8463,-74.6671
SMI_DOU,43.0543,-74.8422
SMI_DUR,43.0642,-75.9371
SMI_HOF,42.3515,-75.7181
SMI_HOL,42.9,-74.2978
SMI_JOH_1,43.0036,-75.5907
SMI_JOH_2,43.0648,-75.6733
SMI_KEL,42.95955,-74.6597
SMI_LAT,42.6912,-75.5308
SMI_MCC,43.1146,-74.8412
STA_COL_1,43.177249,-77.845157
STA_HEM_1,42.91277,-77.105291
STA_HEM_2,42.863661,-77.081969
STA_SWE_1,42.798289,-78.09961
STA_WIL_1,43.015747,-77.132345
WIS_COO_1,41.879183,-73.613636
WIS_COO_2,41.843899,-73.606906
WIS_HIG,41.74846,-73.968149
WIS_KEN,41.665349,-73.956851
WIS_MEG_1,42.003939,-73.866452
ZUE_REE,42.783407,-76.983286
