ID,Container Number,Project,Seed type,Number Seeds,SCM Seeds,Other Seeds,Total SCM Maggots,Total SCM Pupae,Number Wireworm,Phorid Seeds,Total Phorid Maggots,Total Phorid Pupae,Notes
1,3011,R,Bean,8,1,2,1,2,0,1,1,1,
2,3011,R,Loose,NA,NA,NA,0,0,0,NA,1,2,
3,3011,R,Total,8,1,2,1,2,0,1,2,3,
4,3009,R,Corn,10,0,1,0,0,0,0,0,0,
5,3009,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
6,3009,R,Total,10,0,1,0,0,0,0,0,0,
7,3068,R,Bean,8,0,0,0,5,1,2,3,4,
8,3068,R,Loose,NA,NA,NA,0,0,0,NA,4,5,
9,3068,R,Total,8,0,0,0,5,1,2,7,9,
10,3067,R,Corn,10,0,3,0,0,0,0,0,0,
11,3067,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
12,3067,R,Total,10,0,3,0,0,0,0,0,0,
13,3010,R,Bean,10,0,1,0,0,0,0,0,16,
14,3010,R,Loose,NA,NA,NA,0,0,0,NA,0,3,
15,3010,R,Total,10,0,1,0,0,0,0,0,19,
16,3012,R,Corn,10,0,2,0,0,0,0,0,0,
17,3012,R,Loose,NA,NA,NA,0,0,1,NA,0,0,
18,3012,R,Total,10,0,2,0,0,1,0,0,0,
19,3003,R,Bean,5,0,1,0,7,0,0,0,0,
20,3003,R,Loose,NA,NA,NA,0,10,0,NA,0,0,
21,3003,R,Total,5,0,1,0,17,0,0,0,0,
22,3005,R,Corn,10,0,5,0,0,0,0,0,0,
23,3005,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
24,3005,R,Total,10,0,5,0,0,0,0,0,0,
25,3004,R,Corn,9,0,1,0,0,0,0,0,0,
26,3004,R,Loose,NA,NA,NA,0,0,2,NA,0,0,
27,3004,R,Total,9,0,1,0,0,2,0,0,0,
28,3042,R,Bean,10,0,0,0,0,0,0,0,0,
29,3042,R,Loose,NA,NA,NA,0,1,0,NA,0,0,
30,3042,R,Total,10,0,0,0,1,0,0,0,0,
31,3075,R,Bean,10,1,0,1,0,0,0,0,14,
32,3075,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
33,3075,R,Total,10,1,0,1,0,0,0,0,14,
34,3041,R,Corn,10,0,2,0,0,0,0,0,0,
35,3041,R,Loose,NA,NA,NA,0,0,1,NA,0,0,
36,3041,R,Total,10,0,2,0,0,1,0,0,0,
37,3001,R,Corn,10,0,2,0,0,0,0,0,0,
38,3001,R,Loose,NA,NA,NA,0,0,1,NA,0,0,
39,3001,R,Total,10,0,2,0,0,1,0,0,0,
40,3007,R,Bean,10,0,0,0,0,0,1,1,6,
41,3007,R,Loose,NA,NA,NA,0,0,0,NA,0,2,
42,3007,R,Total,10,0,0,0,0,0,1,1,8,
43,3002,R,Bean,11,1,1,1,0,2,1,1,0,
44,3002,R,Loose,NA,NA,NA,0,0,0,NA,>10,0,
45,3002,R,Total,11,1,1,1,0,2,1,>10,0,
46,3065,R,Bean,10,0,2,0,0,0,1,1,2,4 unkown maggots probably fungus gnats
47,3065,R,Loose,NA,NA,NA,0,0,0,NA,0,0,
48,3065,R,Total,10,0,2,0,0,0,1,1,2,
