,id,container_number,project,number_seeds,total_scm_maggots,collection_date,record_id,seed_type,total_scm_pupae,number_wireworm,total_phorid_maggots,scm_seeds,other_seeds
0,37,3001,R,10.0,0.0,4/18/23,POV_DUN,Corn,0,1.0,0.0,0.0,2.0
1,43,3002,R,11.0,1.0,4/18/23,POV_DUN,Bean,0,2.0,10.0,1.0,1.0
2,19,3003,R,5.0,0.0,4/18/23,DIP_CUR,Bean,17,0.0,0.0,0.0,1.0
3,25,3004,R,9.0,0.0,4/18/23,DIP_CUR,Corn,0,2.0,0.0,0.0,1.0
4,22,3005,R,10.0,0.0,4/18/23,DIP_PAT,Corn,0,0.0,0.0,0.0,5.0
5,61,3006,R,10.0,0.0,4/18/23,DIP_FLE,Bean,32,0.0,0.0,0.0,1.0
6,40,3007,R,10.0,0.0,4/18/23,DIP_PAT,Bean,0,0.0,1.0,0.0,0.0
7,58,3008,R,9.0,0.0,4/18/23,DIP_FLE,Corn,2,0.0,0.0,0.0,0.0
8,4,3009,R,10.0,0.0,4/17/23,GAB_STE,Corn,0,0.0,0.0,0.0,1.0
9,13,3010,R,10.0,0.0,4/17/23,GAB_STE,Bean,0,0.0,0.0,0.0,1.0
10,1,3011,R,8.0,1.0,4/17/23,GAB_ALL,Bean,2,0.0,2.0,1.0,2.0
11,16,3012,R,10.0,0.0,4/17/23,GAB_ALL,Corn,0,1.0,0.0,0.0,2.0
12,82,3025,R,9.0,0.0,4/17/23,SMI_DOU,Bean,0,0.0,0.0,0.0,0.0
13,64,3026,R,10.0,0.0,4/17/23,SMI_DOU,Corn,0,0.0,0.0,0.0,2.0
14,106,3027,R,10.0,0.0,4/18/23,SMI_LAT,Corn,0,0.0,0.0,0.0,1.0
15,109,3028,R,10.0,0.0,4/18/23,SMI_LAT,Bean,0,0.0,2.0,0.0,1.0
16,109,3028,R,10.0,0.0,4/18/23,SMI_LAT,Corn,0,0.0,2.0,0.0,1.0
17,79,3029,R,10.0,0.0,4/18/23,SMI_HOF,Corn,0,0.0,0.0,0.0,0.0
18,76,3030,R,8.0,0.0,4/18/23,SMI_HOF,Bean,0,1.0,10.0,0.0,0.0
19,97,3031,R,9.0,0.0,4/17/23,SMI_HOL,Corn,0,0.0,0.0,0.0,0.0
20,94,3032,R,6.0,0.0,4/17/23,SMI_HOL,Bean,8,0.0,1.0,0.0,4.0
21,100,3033,R,10.0,0.0,4/17/23,SMI_CAN,Bean,0,0.0,10.0,0.0,0.0
22,103,3034,R,10.0,0.0,4/17/23,SMI_CAN,Corn,0,0.0,0.0,0.0,3.0
23,91,3035,R,10.0,0.0,4/17/23,SMI_KEL,Corn,0,0.0,0.0,0.0,1.0
24,88,3036,R,9.0,0.0,4/17/23,SMI_KEL,Bean,0,0.0,2.0,0.0,1.0
25,73,3037,R,10.0,0.0,4/18/23,SMI_DUR,Bean,0,0.0,0.0,0.0,6.0
26,70,3038,R,10.0,0.0,4/18/23,SMI_DUR,Corn,0,0.0,0.0,0.0,2.0
27,55,3039,R,3.0,0.0,4/17/23,SMI_CRO,Bean,0,0.0,0.0,0.0,1.0
28,52,3040,R,10.0,0.0,4/17/23,SMI_CRO,Corn,0,2.0,0.0,0.0,2.0
29,34,3041,R,10.0,0.0,4/17/23,SMI_MCC,Corn,0,1.0,0.0,0.0,2.0
30,28,3042,R,10.0,0.0,4/17/23,SMI_MCC,Bean,1,0.0,0.0,0.0,0.0
31,85,3043,R,10.0,0.0,4/17/23,SMI_COB,Corn,0,0.0,0.0,0.0,0.0
32,67,3044,R,10.0,0.0,4/17/23,SMI_COB,Bean,0,0.0,10.0,0.0,2.0
33,46,3065,R,10.0,0.0,4/18/23,SMI_JOH,Bean,0,0.0,1.0,0.0,2.0
34,49,3066,R,10.0,0.0,4/18/23,SMI_JOH_2,Corn,0,0.0,0.0,0.0,0.0
35,10,3067,R,10.0,0.0,4/18/23,SMI_JOH_2,Corn,0,0.0,0.0,0.0,3.0
36,7,3068,R,8.0,0.0,4/18/23,SMI_JOH_2,Bean,5,1.0,7.0,0.0,0.0
37,112,3073,R,10.0,0.0,4/20/23,STA_COL,Corn,0,0.0,0.0,0.0,5.0
38,190,3074,R,11.0,0.0,4/20/23,STA_COL,Bean,0,0.0,0.0,0.0,0.0
