Container Number,Container Type,Project,Record ID,Collection Date,Notes
4712,large deli cup,C,DEF_VIL_WM_D_CC,6/1/23,
4307,deli cup,C,DEG_DIE_HILL_FS_D_CC,5/26/23,13 days in ground
4308,deli cup,C,DEG_DIE_HILL_FS_D_CC,5/26/23,13 days in ground
4295,deli cup,C,DEG_DIE_HILL_FS_D_NOCC,5/26/23,13 days in ground
4297,deli cup,C,DEG_DIE_HILL_FS_D_NOCC,5/26/23,13 days in ground
4305,deli cup,C,DEG_DIE_HILL_FS_FUNG_CC,5/26/23,13 days in ground
4310,deli cup,C,DEG_DIE_HILL_FS_FUNG_CC,5/26/23,13 days in ground
4302,deli cup,C,DEG_DIE_HILL_FS_FUNG_NOCC,5/26/23,13 days in ground
4309,deli cup,C,DEG_DIE_HILL_FS_FUNG_NOCC,5/26/23,13 days in ground
4289,deli cup,C,DEG_DIE_HILL_FS_N_CC,5/26/23,13 days in ground
4294,deli cup,C,DEG_DIE_HILL_FS_N_CC,5/26/23,13 days in ground
4290,deli cup,C,DEG_DIE_HILL_FS_N_NOCC,5/26/23,13 days in ground
4292,deli cup,C,DEG_DIE_HILL_FS_N_NOCC,5/26/23,13 days in ground
4288,deli cup,C,DEG_DIE_HILL_WM_D_CC,5/26/23,13 days in ground
4298,deli cup,C,DEG_DIE_HILL_WM_D_CC,5/26/23,13 days in ground
4300,deli cup,C,DEG_DIE_HILL_WM_D_CC,5/26/23,13 days in ground
4283,deli cup,C,DEG_DIE_HILL_WM_D_NOCC,5/26/23,14 days seed in ground
4287,deli cup,C,DEG_DIE_HILL_WM_D_NOCC,5/26/23,14 days in ground
4301,deli cup,C,DEG_DIE_HILL_WM_DIAM_NOCC,5/26/23,13 days in ground
4304,deli cup,C,DEG_DIE_HILL_WM_FUNG_CC,5/26/23,13 days in ground
4306,deli cup,C,DEG_DIE_HILL_WM_FUNG_CC,5/26/23,13 days in ground
4311,deli cup,C,DEG_DIE_HILL_WM_FUNG_CC,5/26/23,13 days in ground
4285,deli cup,C,DEG_DIE_HILL_WM_FUNG_NOCC,5/26/23,13 days in ground
4303,deli cup,C,DEG_DIE_HILL_WM_FUNG_NOCC,5/26/23,13 days in ground
4293,deli cup,C,DEG_DIE_HILL_WM_N_CC,5/26/23,13 days in ground
4296,deli cup,C,DEG_DIE_HILL_WM_N_CC,5/26/23,13 days in ground
4299,deli cup,C,DEG_DIE_HILL_WM_N_CC,5/26/23,13 days in ground
4284,deli cup,C,DEG_DIE_HILL_WM_N_NOCC,5/26/23,13days in ground
4291,deli cup,C,DEG_DIE_HILL_WM_N_NOCC,5/26/23,13 days in ground
4286,deli cup,C,DEG_DIE_HILL_WM_NOCC_N,5/26/23,13 days in ground
