record_id,collection_date,min_temp_f_1_week,ave_temp_f_1_week,max_temp_f_1_week,mean_dew_point_1_week,vpd_min_1_week,vpd_max_1_week,rain_inches_1_week
DIP_CUR,4/18/23,43.0875,57.075,71.0625,39.1625,1.9175,18.53875,1.4
DIP_CUR,5/2/23,36.6625,43.875,51.1,36.9375,0.54,5.22875,6.32
DIP_CUR,5/16/23,38.95,52.35,65.7375,36.475,1.28125,14.7875,0
DIP_CUR,5/19/23,37.8,51.675,65.55,34.1875,1.5325,15.8125,0
DIP_CUR,6/2/23,45.7125,60.875,76.1,42.4125,2.0075,22.5775,0
DIP_FLE,4/18/23,46.5125,60.3125,74.1375,41.625,2.3275,20.94625,1.14
DIP_FLE,5/2/23,38.075,45.85,53.6,38.6625,0.41375,6.0625,3.9
DIP_FLE,5/16/23,42.2125,55.0375,67.825,39.1375,1.4,16.045,0
DIP_FLE,5/23/23,41.8,54.325,66.8625,39.9,1.49875,14.4725,0.5
DIP_FLE,6/6/23,52.55,66.1375,79.725,48.725,2.07375,24.12,0.12
DIP_PAT,4/18/23,47.475,61.6875,75.925,42.0625,2.49375,22.76,0.9
DIP_PAT,5/2/23,38.25,46.5875,54.9125,39.0625,0.405,6.8325,3.92
DIP_PAT,5/11/23,39.975,50.7625,61.55,39.85,0.6125,11.63375,0.76
DIP_PAT,5/16/23,43.7875,56.5875,69.3625,39.025,2.01375,17.68,0
DIP_PAT,5/25/23,44.15,56.0625,67.9625,43.125,1.51875,14.10625,0.68
GAB_ALL,4/17/23,48.3875,62.5875,76.7625,39.45,2.9,24.62125,0.14
GAB_ALL,5/1/23,39.6625,48.975,58.3,39.3,0.58,9.18625,4.34
GAB_ALL,5/15/23,45.0375,59.675,74.325,39.125,1.82125,22.29625,0
GAB_ALL,5/26/23,46.375,58.75,71.1375,45.075,1.3975,15.30875,0.9
GAB_STE,4/17/23,46.8875,61.4625,76.0125,38.975,2.54875,24.02375,0.04
GAB_STE,5/1/23,38.075,47.8,57.575,38.575,0.52125,8.9275,2.39
GAB_STE,5/15/23,41.625,57.7,73.75,38.65,0.94375,21.9525,0.14
GAB_STE,5/26/23,43.725,57.275,70.8125,44.2625,0.85625,15.27,0.8
LET_NOB,5/8/23,37.9,46.6375,55.375,40.8,0.23375,6.9025,2.44
LET_NOB,5/16/23,44.625,56.45,68.25,38.2125,2.42625,16.4925,0
LET_NOB,6/1/23,46.875,60.6875,74.5,43.975,1.78125,19.86,0
LET_TAB,5/8/23,37.2875,46.1375,54.9625,39.75,0.3475,6.9775,2.68
LET_TAB,5/23/23,41.6,53.775,65.9875,38.725,1.56875,14.21625,1.36
MIL_CHA,4/27/23,36.5625,46.3,56.05,36.4875,0.68125,9.43875,1.71
MIL_CHA,5/11/23,38.875,49.575,60.275,38.6625,0.53125,10.79125,0.78
MIL_CHA,5/26/23,43.9375,55.9375,67.9625,43.2875,1.51375,13.365,0.52
MIL_CHA,6/9/23,47.5,59.7125,71.9125,46.575,0.935,17.65,1.08
MIL_MCC,4/27/23,35.7125,45.8125,55.9,36.2,0.5525,9.3675,3.02
MIL_MCC,5/11/23,37.65,48.7625,59.85,37.95,0.41625,10.6975,1.02
MIL_MCC,5/26/23,42.4125,54.9125,67.4125,42.6,1.255,13.12375,0.4
MIL_MCC,6/9/23,45.2375,58.4375,71.6375,45.4625,0.66,17.9275,1.24
MIL_YOD,4/27/23,35.725,45.8,55.9125,35.8125,0.62625,9.615,3.12
MIL_YOD,5/11/23,37.825,48.8125,59.7875,37.45,0.57125,10.84,0.82
MIL_YOD,5/26/23,42.25,54.9125,67.6,42.075,1.345,13.56,0.5
MIL_YOD,6/9/23,46.775,59.1875,71.6,45.3125,1.055,17.91125,0.68
POV_DUN,4/18/23,43.675,58.1625,72.625,40.25,1.7325,19.825,1.4
POV_DUN,5/2/23,36.95,44.7,52.475,37.5625,0.40625,5.785,2.73
POV_DUN,5/16/23,38.925,52.9875,67.0875,37.5875,0.82125,15.69625,0
SEA_HOO,5/17/23,45.925,58.1125,70.3,38.2125,3.12125,18.3825,0
SEA_HOO,5/31/23,47.725,60.9875,74.2625,43.9125,2.425,19.72875,0.02
SMI_CAN,4/17/23,39.65,55.3875,71.1625,37.4875,1.03875,19.17,0.38
SMI_CAN,5/1/23,34.55,42.9375,51.35,36.3625,0.255,5.63375,4.18
SMI_CAN,5/15/23,37.275,52.1,66.9,36.85,0.57,15.77875,0.18
SMI_CAN,5/31/23,40.7,56.875,73.075,41.1125,0.92375,19.34625,0.04
SMI_CAN,6/12/23,44.0125,54.2875,64.575,44.975,0.35125,11.46875,0.86
