record_id,collection_date,min_temp_f_1_week,ave_temp_f_1_week,max_temp_f_1_week,rain_inches_1_week
DEG_DIE_HILL,4/21/23,40.4875,52.575,64.6875,0.63
DEG_DIE_HILL,4/27/23,35.9625,46.4125,56.8625,0.69
DEG_DIE_HILL,5/4/23,37.4125,44.4375,51.4875,3.11
DEG_DIE_HILL,5/11/23,36.0625,47.6,59.1,0.36
DEG_DIE_HILL,5/18/23,36.875,51.4625,66.0375,0
DEG_DIE_HILL,5/26/23,41.0875,54.225,67.35,0.15
DEG_DIE_HILL,6/1/23,42.625,58.525,74.45,0.02
DEG_DIE_SWC,4/21/23,40.95,52.5875,64.2375,0.63
DEG_DIE_SWC,4/27/23,36.2625,46.2,56.1625,0.82
DEG_DIE_SWC,5/4/23,37.9875,44.5625,51.1375,3.23
DEG_DIE_SWC,5/11/23,37.025,47.9,58.775,0.4
DEG_DIE_SWC,5/18/23,37.8375,51.8,65.7625,0
DEG_DIE_SWC,5/26/23,41.75,54.325,66.925,0.16
DEG_DIE_SWC,6/1/23,43.425,58.7375,74.0375,0.02
DEG_FOU_WOOD,4/21/23,40.75,52.7875,64.775,0.69
DEG_FOU_WOOD,4/27/23,36,46.4625,56.9125,0.53
DEG_FOU_WOOD,5/12/23,37.2875,50.0375,62.7625,0.22
DEG_FOU_WOOD,5/18/23,36.75,51.4625,66.1625,0
DEG_FOU_WOOD,5/25/23,40.2125,53.125,66.0875,0.18
DEG_PER_STRIP,4/20/23,41.8125,53.9,66.0125,0.63
DEG_PER_STRIP,4/27/23,35.85,46.0625,56.325,0.61
DEG_PER_STRIP,5/4/23,37.4875,44.375,51.25,3
DEG_PER_STRIP,5/12/23,37.725,50.05,62.425,0.35
DEG_PER_STRIP,5/19/23,36.9,51.2625,65.6625,0
DEG_PER_STRIP,5/25/23,40.45,53.0625,65.7,0.21
DEG_PER_STRIP,6/1/23,43.05,58.575,74.075,0.03
DEG_VIL,4/20/23,42.025,53.9875,65.95,0.65
DEG_VIL,4/27/23,35.9125,45.9,55.9,0.64
DEG_VIL,5/4/23,37.8,44.525,51.2625,3.06
DEG_VIL,5/11/23,37.0125,47.8375,58.6625,0.57
DEG_VIL,5/18/23,37.825,51.75,65.7,0
DEG_VIL,5/25/23,40.7125,53.1,65.475,0.22
DEG_VIL,6/1/23,43.3,58.5875,73.8625,0.03
DEG_YOU_BOCES,5/4/23,37.8,44.825,51.8625,3.03
DEG_YOU_BOCES,5/11/23,36.9,48.1875,59.5,0.39
DEG_YOU_BOCES,5/18/23,37.8375,52.1625,66.475,0
DEG_YOU_BOCES,5/25/23,40.875,53.65,66.4,0.16
DEG_YOU_BOCES,6/1/23,43.5375,59.1875,74.8375,0.02
DEG_YOU_JONES,4/20/23,42.3125,54.4,66.45,0.63
DEG_YOU_JONES,4/27/23,36.175,46.45,56.75,0.67
DEG_YOU_JONES,5/11/23,37.075,48.2125,59.325,0.47
DEG_YOU_JONES,5/18/23,38.0625,52.2,66.3375,0
DEG_YOU_JONES,5/25/23,40.925,53.525,66.1375,0.2
DEG_YOU_JONES,6/1/23,43.6,59.0875,74.575,0.03
DEG_YOU_OSHEA,4/21/23,41.0125,53.0375,65.0625,0.6
DEG_YOU_OSHEA,4/27/23,36.2625,46.725,57.175,0.72
DEG_YOU_OSHEA,5/4/23,37.8,44.825,51.8625,3.03
DEG_YOU_OSHEA,5/11/23,36.9,48.1875,59.5,0.39
DEG_YOU_OSHEA,5/18/23,37.8375,52.1625,66.475,0
DEG_YOU_OSHEA,5/25/23,40.875,53.65,66.4,0.16
DEG_YOU_OSHEA,6/1/23,43.5375,59.1875,74.8375,0.02
DIP_CUR,3/13/23,19.9625,25.625,31.2875,0.96
DIP_CUR,3/21/23,20.825,28.675,36.5375,2.04
DIP_CUR,3/28/23,28.4375,38.625,48.8,1.6
DIP_CUR,4/6/23,30.2875,41.575,52.8625,1.65
DIP_CUR,4/11/23,32.8875,44.25,55.6,1.07
DIP_CUR,4/18/23,43.3125,57.0125,70.75,0.73
DIP_CUR,4/25/23,37.15,46.6625,56.225,0.61
DIP_CUR,5/2/23,36.775,43.8125,50.8375,3.2
DIP_CUR,5/16/23,39.3625,52.4125,65.45,0
DIP_CUR,5/23/23,39.9375,52.475,65.05,0.09
DIP_CUR,5/30/23,42.3,56.7625,71.2625,0
DIP_CUR,6/6/23,49.6875,63.875,78.0375,0
DIP_FLE,3/13/23,23.45,28.8125,34.2,0.7
DIP_FLE,3/21/23,24.6,32.075,39.5375,2.08
DIP_FLE,3/28/23,30.325,40.6375,50.9625,1.64
DIP_FLE,4/4/23,27.4875,38.75,50.0375,1.17
DIP_FLE,4/11/23,34.325,45.9125,57.525,1.05
DIP_FLE,4/18/23,46.4125,60.1875,73.9625,0.56
DIP_FLE,4/25/23,37.825,48.0375,58.2375,0.66
DIP_FLE,5/2/23,38.05,45.7625,53.4875,1.99
DIP_FLE,5/16/23,42.1125,54.95,67.8,0
DIP_FLE,5/23/23,41.725,54.275,66.7875,0.23
DIP_FLE,5/30/23,44.05,58.2125,72.3875,0
DIP_PAT,4/11/23,34.35,45.9,57.4625,2.22
DIP_PAT,4/18/23,47.4125,61.6875,75.95,0.43
DIP_PAT,4/25/23,38.0125,48.225,58.475,1.05
DIP_PAT,5/2/23,38.2375,46.575,54.9375,1.96
DIP_PAT,5/9/23,39.475,49.0875,58.7125,0.83
