record_id,collection_date,min_temp_f_2_week,ave_temp_f_2_week,max_temp_f_2_week,rain_inches_2_week
DEG_DIE_HILL,4/21/23,36,48.54666667,61.10666667,0.63
DEG_DIE_HILL,4/27/23,39.19333333,50.92,62.66,1.32
DEG_DIE_HILL,5/4/23,36.94,45.71333333,54.5,3.69
DEG_DIE_HILL,5/11/23,36.76666667,46.38,55.99333333,3.33
DEG_DIE_HILL,5/18/23,36.46,49.46,62.42666667,0.36
DEG_DIE_HILL,5/26/23,39.14,52.99333333,66.82666667,0.15
DEG_DIE_HILL,6/1/23,42.05333333,56.22,70.4,0.15
DEG_DIE_SWC,4/21/23,36.63333333,48.64666667,60.67333333,0.63
DEG_DIE_SWC,4/27/23,39.66666667,50.85333333,62.06666667,1.45
DEG_DIE_SWC,5/4/23,37.36666667,45.67333333,53.98666667,3.92
DEG_DIE_SWC,5/11/23,37.53333333,46.59333333,55.64666667,3.48
DEG_DIE_SWC,5/18/23,37.40666667,49.76,62.12,0.4
DEG_DIE_SWC,5/26/23,39.92666667,53.18666667,66.46666667,0.16
DEG_DIE_SWC,6/1/23,42.75333333,56.36666667,69.98666667,0.16
DEG_FOU_WOOD,4/21/23,36.19333333,48.68,61.12666667,0.69
DEG_FOU_WOOD,4/27/23,39.33333333,51.02666667,62.7,1.22
DEG_FOU_WOOD,5/12/23,37.81333333,47.76,57.68,2.7
DEG_FOU_WOOD,5/18/23,36.46666667,49.51333333,62.53333333,0.34
DEG_FOU_WOOD,5/25/23,39.32666667,53.36666667,67.42666667,0.18
DEG_PER_STRIP,4/20/23,37,49.09333333,61.18666667,1.59
DEG_PER_STRIP,4/27/23,39.28666667,50.76666667,62.28,1.24
DEG_PER_STRIP,5/4/23,36.92,45.51333333,54.12666667,3.52
DEG_PER_STRIP,5/12/23,37.92,47.64,57.38,3.26
DEG_PER_STRIP,5/19/23,36.75333333,50.07333333,63.44,0.35
DEG_PER_STRIP,5/25/23,39.81333333,53.42,67.06,0.21
DEG_PER_STRIP,6/1/23,42.33333333,56.2,70.06666667,0.21
DEG_VIL,4/20/23,37.13333333,49.12,61.10666667,1.63
DEG_VIL,4/27/23,39.46,50.75333333,62.05333333,1.29
DEG_VIL,5/4/23,37.09333333,45.5,53.92,3.61
DEG_VIL,5/11/23,37.43333333,46.56,55.69333333,3.42
DEG_VIL,5/18/23,37.39333333,49.7,62.01333333,0.57
DEG_VIL,5/25/23,40.15333333,53.50666667,66.87333333,0.22
DEG_VIL,6/1/23,42.58666667,56.22666667,69.85333333,0.22
DEG_YOU_BOCES,5/4/23,37.28666667,46.06666667,54.84666667,3.64
DEG_YOU_BOCES,5/11/23,37.39333333,46.88,56.38666667,3.29
DEG_YOU_BOCES,5/18/23,37.34,50.08666667,62.84,0.39
DEG_YOU_BOCES,5/25/23,40.21333333,53.98666667,67.74666667,0.16
DEG_YOU_BOCES,6/1/23,42.79333333,56.79333333,70.78,0.16
DEG_YOU_JONES,4/20/23,37.55333333,49.6,61.62666667,1.58
DEG_YOU_JONES,4/27/23,39.70666667,51.22666667,62.74,1.3
DEG_YOU_JONES,5/11/23,37.50666667,46.88666667,56.24,3.38
DEG_YOU_JONES,5/18/23,37.53333333,50.10666667,62.67333333,0.47
DEG_YOU_JONES,5/25/23,40.36,53.94666667,67.54,0.2
DEG_YOU_JONES,6/1/23,42.84666667,56.68,70.52666667,0.2
DEG_YOU_OSHEA,4/21/23,36.75333333,49.12,61.48,0.6
DEG_YOU_OSHEA,4/27/23,39.7,51.37333333,63.04,1.32
DEG_YOU_OSHEA,5/4/23,37.28666667,46.06666667,54.84666667,3.64
DEG_YOU_OSHEA,5/11/23,37.39333333,46.88,56.38666667,3.29
DEG_YOU_OSHEA,5/18/23,37.34,50.08666667,62.84,0.39
DEG_YOU_OSHEA,5/25/23,40.21333333,53.98666667,67.74666667,0.16
DEG_YOU_OSHEA,6/1/23,42.79333333,56.79333333,70.78,0.16
DIP_CUR,3/13/23,21.64,27.94666667,34.26666667,3.2
DIP_CUR,3/21/23,19.79333333,26.76666667,33.74666667,3
DIP_CUR,3/28/23,24.97333333,33.7,42.43333333,3.64
DIP_CUR,4/6/23,29.74666667,39.98666667,50.22666667,2.45
DIP_CUR,4/11/23,29.06,40.04666667,51.03333333,1.87
DIP_CUR,4/18/23,38.53333333,50.92,63.31333333,1.8
DIP_CUR,4/25/23,40.44,52.31333333,64.22666667,1.28
DIP_CUR,5/2/23,37.46,45.72,54,3.73
DIP_CUR,5/16/23,38.73333333,49.57333333,60.38,0.52
DIP_CUR,5/23/23,39.78666667,52.44,65.11333333,0.09
DIP_CUR,5/30/23,41.02666667,54.59333333,68.19333333,0.09
DIP_CUR,6/6/23,45.5,59.78666667,74.07333333,0
DIP_FLE,3/13/23,24.37333333,30.52666667,36.68666667,2.48
