card_id,collection_date,week,total_m,total_f,total_scm,container_number,seed_type,number_seeds,scm_seeds,other_seeds,total_scm_maggots,total_scm_pupae,number_wireworm,phorid_seeds,total_phorid_maggots,total_phorid_pupae,record_id
2068,4/17/23,16,2,3,5,3010,Bean,10,0,1,0,0,0,0,0,19,GAB_STE
2068,4/17/23,16,2,3,5,3009,Corn,10,0,1,0,0,0,0,0,0,GAB_STE
2072,4/17/23,16,4,3,7,3011,Bean,8,1,2,1,2,0,1,2,3,GAB_ALL
2072,4/17/23,16,4,3,7,3012,Corn,10,0,2,0,0,1,0,0,0,GAB_ALL
2074,4/18/23,16,44,28,72,3007,Bean,10,0,0,0,0,0,1,1,8,DIP_PAT
2074,4/18/23,16,44,28,72,3005,Corn,10,0,5,0,0,0,0,0,0,DIP_PAT
2076,4/18/23,16,64,24,88,3006,Bean,10,0,1,0,32,0,0,0,10,DIP_FLE
2076,4/18/23,16,64,24,88,3008,Corn,9,0,0,0,2,0,0,0,0,DIP_FLE
2078,4/18/23,16,25,35,60,3003,Bean,5,0,1,0,17,0,0,0,0,DIP_CUR
2078,4/18/23,16,25,35,60,3004,Corn,9,0,1,0,0,2,0,0,0,DIP_CUR
2080,4/18/23,16,2,0,2,3002,Bean,11,1,1,1,0,2,1,10,0,POV_DUN
2080,4/18/23,16,2,0,2,3001,Corn,10,0,2,0,0,1,0,0,0,POV_DUN
2122,4/17/23,16,0,0,0,3039,Bean,3,0,1,0,0,0,0,0,0,SMI_CRO
2122,4/17/23,16,0,0,0,3040,Corn,10,0,2,0,0,2,0,0,0,SMI_CRO
2124,4/17/23,16,9,14,23,3033,Bean,10,0,0,0,0,0,8,10,10,SMI_CAN
2124,4/17/23,16,9,14,23,3034,Corn,10,0,3,0,0,0,0,0,0,SMI_CAN
2126,4/17/23,16,0,0,0,3036,Bean,9,0,1,0,0,0,2,2,10,SMI_KEL
2126,4/17/23,16,0,0,0,3035,Corn,10,0,1,0,0,0,0,0,0,SMI_KEL
2128,4/17/23,16,13,2,15,3044,Bean,10,0,2,0,0,0,0,10,10,SMI_COB
2128,4/17/23,16,13,2,15,3043,Corn,10,0,0,0,0,0,0,0,0,SMI_COB
2130,4/17/23,16,0,0,0,3025,Bean,9,0,0,0,0,0,0,0,1,SMI_DOU
2130,4/17/23,16,0,0,0,3026,Corn,10,0,2,0,0,0,0,0,0,SMI_DOU
2132,4/18/23,16,9,8,17,3028,Bean,10,0,0,0,0,0,0,2,5,SMI_LAT
2132,4/18/23,16,9,8,17,3028,Bean,10,0,1,0,0,0,0,0,0,SMI_LAT
2132,4/18/23,16,9,8,17,3027,Corn,10,0,1,0,0,0,0,0,0,SMI_LAT
2132,4/18/23,16,9,8,17,3028,Corn,10,0,0,0,0,0,0,2,5,SMI_LAT
2132,4/18/23,16,9,8,17,3028,Corn,10,0,1,0,0,0,0,0,0,SMI_LAT
2134,4/17/23,16,11,2,13,3042,Bean,10,0,0,0,1,0,0,0,0,SMI_MCC
2134,4/17/23,16,11,2,13,3041,Corn,10,0,2,0,0,1,0,0,0,SMI_MCC
2136,4/18/23,16,22,41,63,3037,Bean,10,0,6,0,0,0,0,0,3,SMI_DUR
2136,4/18/23,16,22,41,63,3038,Corn,10,0,2,0,0,0,0,0,0,SMI_DUR
2138,4/17/23,16,3,2,5,3032,Bean,6,0,4,0,8,0,1,1,0,SMI_HOL
2138,4/17/23,16,3,2,5,3031,Corn,9,0,0,0,0,0,0,0,0,SMI_HOL
2140,4/18/23,16,5,3,8,3030,Bean,8,0,0,0,0,1,8,10,10,SMI_HOF
2140,4/18/23,16,5,3,8,3029,Corn,10,0,0,0,0,0,0,0,1,SMI_HOF
2142,4/18/23,16,63,25,88,3068,Bean,8,0,0,0,5,1,2,7,9,SMI_JOH_2
2142,4/18/23,16,63,25,88,3067,Corn,10,0,3,0,0,0,0,0,0,SMI_JOH_2
2142,4/18/23,16,63,25,88,3066,Corn,10,0,0,0,0,0,0,0,0,SMI_JOH_2
2144,4/18/23,16,18,2,20,3065,Bean,10,0,2,0,0,0,1,1,2,SMI_JOH
2146,4/20/23,16,3,3,6,3074,Bean,11,0,0,0,0,0,0,0,10,STA_COL
2146,4/20/23,16,3,3,6,3073,Corn,10,0,5,0,0,0,0,0,1,STA_COL
2148,4/20/23,16,2,1,3,3077,Bean,9,0,0,0,0,0,0,0,8,STA_SWE
2148,4/20/23,16,2,1,3,3078,Corn,10,0,2,0,0,0,0,0,0,STA_SWE
2150,4/20/23,16,3,4,7,3082,Bean,10,0,0,0,15,0,0,0,4,STA_HEM
2150,4/20/23,16,3,4,7,3081,Corn,10,0,2,0,0,0,0,0,0,STA_HEM
2152,4/20/23,16,23,7,30,3079,Bean,11,0,0,0,0,0,0,1,0,STA_WIL
2152,4/20/23,16,23,7,30,3080,Corn,10,0,1,0,0,0,0,0,0,STA_WIL
2153,4/20/23,16,15,17,32,3075,Bean,10,1,0,1,0,0,0,0,14,STA_HEM_2
2153,4/20/23,16,15,17,32,3076,Corn,10,0,0,0,0,0,0,0,0,STA_HEM_2
2196,4/19/23,16,1,0,1,3172,Bean,8,0,0,0,0,0,0,1,0,WIS_COO
2196,4/19/23,16,1,0,1,3173,Corn,10,0,0,0,0,0,0,0,1,WIS_COO
2198,4/19/23,16,0,0,0,3175,Bean,10,1,0,2,1,0,0,0,0,WIS_COO_2
2198,4/19/23,16,0,0,0,3174,Corn,11,0,0,0,0,0,0,0,0,WIS_COO_2
2200,4/21/23,16,10,5,15,3190,Bean,6,0,0,0,2,0,0,0,0,WIS_MEG
2200,4/21/23,16,10,5,15,3171,Corn,9,0,0,0,0,0,0,0,0,WIS_MEG
2202,4/21/23,16,2,0,2,3189,Bean,5,0,2,0,1,0,0,0,0,WIS_HIG
2202,4/21/23,16,2,0,2,3188,Corn,10,0,0,0,0,0,0,0,0,WIS_HIG
2204,4/21/23,16,8,4,12,3176,Bean,1,0,0,0,0,0,0,0,0,WIS_KEN
2232,4/27/23,17,36,10,46,3151,Bean,4,0,2,1,0,2,0,0,0,MIL_YOD
2232,4/27/23,17,36,10,46,3153,Corn,10,0,0,0,0,0,0,0,0,MIL_YOD
2234,4/27/23,17,33,16,49,3152,Corn,10,0,4,0,0,0,0,0,0,MIL_CHA
2236,4/27/23,17,72,61,133,3150,Bean,8,0,2,0,0,0,1,1,0,MIL_MCC
2236,4/27/23,17,72,61,133,3149,Corn,10,0,2,0,0,0,0,0,0,MIL_MCC
2272,4/26/23,17,65,68,133,3233,Corn,10,0,3,0,0,0,0,0,0,ZUE_REE
2274,5/1/23,18,18,3,21,3213,Corn,10,0,0,0,0,0,0,0,0,SMI_COB
2276,5/1/23,18,4,4,8,3222,Bean,7,0,1,0,0,11,3,5,6,SMI_HOL
2276,5/1/23,18,4,4,8,3221,Corn,10,0,0,0,0,0,0,0,0,SMI_HOL
2278,5/1/23,18,3,7,10,3207,Bean,10,0,0,0,0,0,0,0,0,SMI_DOU
2280,5/1/23,18,1,2,3,3219,Bean,8,4,0,23,0,0,0,0,0,SMI_KEL
2280,5/1/23,18,1,2,3,3220,Bean,10,0,0,0,0,0,0,0,0,SMI_KEL
2282,5/1/23,18,3,7,10,3210,Bean,10,0,0,0,0,0,0,0,0,SMI_CRO
2282,5/1/23,18,3,7,10,3209,Corn,10,0,0,0,0,0,0,0,0,SMI_CRO
2284,5/1/23,18,21,96,117,3215,Bean,10,0,0,0,0,0,0,0,0,SMI_CAN
2284,5/1/23,18,21,96,117,3216,Corn,10,0,0,0,0,0,0,0,0,SMI_CAN
2286,5/1/23,18,14,4,18,3212,Bean,9,0,0,0,0,10,1,2,3,SMI_JOH
2286,5/1/23,18,14,4,18,3211,Corn,10,0,1,0,0,3,0,0,0,SMI_JOH
2288,5/1/23,18,22,21,43,3218,Bean,9,0,1,0,0,3,0,0,0,SMI_MCC
2288,5/1/23,18,22,21,43,3217,Corn,10,0,0,0,0,0,0,0,0,SMI_MCC
2298,5/1/23,18,122,43,165,3332,Corn,10,0,2,0,0,0,0,0,0,GAB_ALL
2298,5/1/23,18,122,43,165,3333,Corn,8,0,0,0,0,0,0,0,0,GAB_ALL
2304,5/1/23,18,16,50,66,3335,Corn,10,0,1,0,0,0,0,0,0,GAB_STE
2316,5/2/23,18,12,10,22,3235,Corn,10,1,2,2,0,0,1,2,0,POV_DUN
2318,5/2/23,18,94,93,187,3241,Bean,10,0,0,0,0,2,3,4,0,DIP_CUR
2318,5/2/23,18,94,93,187,3242,Corn,10,0,0,0,0,0,0,0,0,DIP_CUR
2319,5/2/23,18,34,26,60,3240,Corn,10,0,0,0,0,0,0,0,0,DIP_FLE
2319,5/2/23,18,34,26,60,3239,Corn,10,0,0,0,0,0,0,0,0,DIP_FLE
2322,5/2/23,18,16,50,66,3238,Bean,9,0,0,0,0,0,0,0,0,DIP_PAT
2322,5/2/23,18,16,50,66,3237,Corn,10,0,0,0,0,0,0,0,0,DIP_PAT
2324,5/2/23,18,56,70,126,3572,Bean,10,0,0,0,1,0,0,0,0,SMI_LAT
2324,5/2/23,18,56,70,126,3571,Corn,10,0,0,0,0,0,0,0,0,SMI_LAT
2326,5/2/23,18,5,5,10,3575,Bean,10,0,1,0,0,0,0,0,0,SMI_JOH_2
2326,5/2/23,18,5,5,10,3575,Bean,9,0,0,0,0,0,0,0,0,SMI_JOH_2
