Card_ID,Site,Collection Date,N.SCM.I.M,N.SCM.I.F,N.SCM.O.M,N.SCM.O.F,N.D.Florilega.I,N.D.Florilega.O
2001,DIP_CUR,3/13/23,0,0,0,0,0,0
2002,DIP_CUR,3/13/23,0,0,0,0,0,0
2009,DIP_CUR,3/21/23,0,0,0,0,0,0
2010,DIP_CUR,3/21/23,0,0,0,0,0,0
2017,DIP_CUR,3/28/23,0,0,0,0,0,0
2018,DIP_CUR,3/28/23,0,0,0,0,0,0
2021,DIP_CUR,4/6/23,,,,,,
2022,DIP_CUR,4/6/23,5,3,9,12,0,0
2005,DIP_FLE,3/13/23,0,0,0,0,0,0
2006,DIP_FLE,3/13/23,0,0,0,0,0,0
2007,DIP_FLE,3/21/23,0,0,0,0,0,0
2008,DIP_FLE,3/21/23,0,0,0,0,0,0
2013,DIP_FLE,3/28/23,5,6,9,3,0,0
2025,GAB_STE,3/28/23,,,,,,
2026,GAB_STE,3/28/23,4,3,3,6,0,0
2003,POV_DUN,3/13/23,0,0,0,0,0,0
2004,POV_DUN,3/13/23,0,0,0,0,0,0
2011,POV_DUN,3/21/23,0,0,0,0,0,0
2012,POV_DUN,3/21/23,0,0,0,0,0,0
2015,POV_DUN,3/28/23,,,,,,
2016,POV_DUN,3/28/23,14,7,27,2,0,0
