recordId,date,tempMaxF,tempMinF,tempMeanF,gddFahrenheitSimple,gddFahrenheitSimpleCumsum
DIP_CUR,1/1/23,51,37,44,5,5
DIP_CUR,1/2/23,40,36,38,0,5
DIP_CUR,1/3/23,47,29,38,0,5
DIP_CUR,1/4/23,56,37,46.5,7.5,12.5
DIP_CUR,1/5/23,56,38,47,8,20.5
DIP_CUR,1/6/23,47,32,39.5,0.5,21
DIP_CUR,1/7/23,34,32,33,0,21
DIP_CUR,1/8/23,33,25,29,0,21
DIP_CUR,1/9/23,31,23,27,0,21
DIP_CUR,1/10/23,36,26,31,0,21
DIP_CUR,1/11/23,29,25,27,0,21
DIP_CUR,1/12/23,36,25,30.5,0,21
DIP_CUR,1/13/23,44,32,38,0,21
DIP_CUR,1/14/23,30,19,24.5,0,21
DIP_CUR,1/15/23,19,17,18,0,21
DIP_CUR,1/16/23,21,17,19,0,21
DIP_CUR,1/17/23,29,17,23,0,21
DIP_CUR,1/18/23,41,26,33.5,0,21
DIP_CUR,1/19/23,37,32,34.5,0,21
DIP_CUR,1/20/23,39,32,35.5,0,21
DIP_CUR,1/21/23,35,28,31.5,0,21
DIP_CUR,1/22/23,27,27,27,0,21
DIP_CUR,1/23/23,32,29,30.5,0,21
DIP_CUR,1/24/23,29,27,28,0,21
DIP_CUR,1/25/23,29,17,23,0,21
DIP_CUR,1/26/23,38,25,31.5,0,21
DIP_CUR,1/27/23,34,18,26,0,21
DIP_CUR,1/28/23,33,24,28.5,0,21
DIP_CUR,1/29/23,39,22,30.5,0,21
DIP_CUR,1/30/23,41,26,33.5,0,21
DIP_CUR,1/31/23,29,20,24.5,0,21
DIP_CUR,2/1/23,19,6,12.5,0,21
DIP_CUR,2/2/23,22,6,14,0,21
DIP_CUR,2/3/23,31,5,18,0,21
DIP_CUR,2/4/23,6,-11,-2.5,0,21
DIP_CUR,2/5/23,21,-10,5.5,0,21
DIP_CUR,2/6/23,40,22,31,0,21
DIP_CUR,2/7/23,32,20,26,0,21
DIP_CUR,2/8/23,39,21,30,0,21
DIP_CUR,2/9/23,41,26,33.5,0,21
DIP_CUR,2/10/23,50,32,41,2,23
DIP_CUR,2/11/23,42,26,34,0,23
DIP_CUR,2/12/23,30,20,25,0,23
DIP_CUR,2/13/23,47,20,33.5,0,23
DIP_CUR,2/14/23,49,21,35,0,23
DIP_CUR,2/15/23,46,27,36.5,0,23
DIP_CUR,2/16/23,62,32,47,8,31
DIP_CUR,2/17/23,54,31,42.5,3.5,34.5
DIP_CUR,2/18/23,43,15,29,0,34.5
DIP_CUR,2/19/23,38,15,26.5,0,34.5
DIP_CUR,2/20/23,45,28,36.5,0,34.5
DIP_CUR,2/21/23,47,26,36.5,0,34.5
DIP_CUR,2/22/23,40,23,31.5,0,34.5
DIP_CUR,2/23/23,34,26,30,0,34.5
DIP_CUR,2/24/23,39,25,32,0,34.5
DIP_CUR,2/25/23,22,14,18,0,34.5
DIP_CUR,2/26/23,25,14,19.5,0,34.5
DIP_CUR,2/27/23,40,22,31,0,34.5
DIP_CUR,2/28/23,37,23,30,0,34.5
DIP_CUR,3/1/23,34,19,26.5,0,34.5
DIP_CUR,3/2/23,41,22,31.5,0,34.5
DIP_CUR,3/3/23,38,24,31,0,34.5
