record_id,rain_inches,min_temp_f,ave_temp_f,max_temp_f,planting_date
DEG_FOU_WOOD,0.0,36.75,51.4625,66.1625,2023-05-18
DEG_PER_STRIP,0.08750000000000001,36.325,46.5125,56.725,2023-05-10
DEG_VIL,0.03375,39.4375,52.85,66.275,2023-05-15
DIP_CUR,0.0,38.1875,51.75,65.3,2023-05-19
DIP_FLE,0.02875,41.725,54.275,66.7875,2023-05-23
DIP_PAT,0.04625,39.9625,50.825,61.7,2023-05-11
GAB_ALL,0.049999999999999996,43.275,53.5625,63.85,2023-05-09
GAB_STE,0.03125,43.7,56.375,69.075,2023-05-23
KAT_BAR,0.02125,37.9125,53.3875,68.8625,2023-05-22
KAT_HAB_2,0.0,43.2125,57.7,72.125,2023-05-29
KAT_JEF_1,0.0,41.525,56.775,72.075,2023-05-29
KAT_JEF_2,0.07375000000000001,38.0625,51.8125,65.6,2023-05-22
KAT_SAU_2,0.0,46.2375,60.575,74.9125,2023-06-08
KAT_TEE_1,0.01,39.6375,54.0,68.325,2023-05-13
KAT_TEE_2,0.0375,37.175,48.9375,60.675000000000004,2023-05-11
LET_TAB,0.14500000000000002,37.175000000000004,45.7375,54.3375,2023-05-07
ONE_STA_1,0.0075,42.2,56.25,70.3125,2023-05-15
POV_DUN,0.0,37.4625,52.2,66.925,2023-05-19
SEA_HOO,0.02125,45.8875,57.6125,69.3,2023-05-15
SMI_COB,0.00875,40.1875,54.625,69.0875,2023-05-13
SMI_CRO,0.12,39.3,49.1375,59.0,2023-05-09
SMI_DOU,0.06625,39.225,50.0625,60.875,2023-05-10
SMI_HOF,0.0,37.4,53.262499999999996,69.1125,2023-05-18
SMI_HOL,0.00625,45.525,57.5125,69.4375,2023-05-24
SMI_JOH_1,0.018750000000000003,42.275,55.075,67.8875,2023-05-13
SMI_LAT,0.0,36.825,54.1375,71.4625,2023-05-17
SMI_MCC,0.00625,38.75,53.2125,67.7125,2023-05-15
STA_COL_1,0.0025,45.35,57.8875,70.4125,2023-05-30
STA_HEM_1,0.02875,45.1875,56.85,68.525,2023-05-15
STA_HEM_2,0.02625,45.525,56.8625,68.2125,2023-05-15
STA_WIL_1,0.005,45.7125,58.3375,70.9625,2023-05-30
