,card_id
0,2245
1,2246
2,2265
3,2266
4,2373
5,2374
6,2555
7,2556
8,2557
9,2558
10,2559
11,2560
12,2243
13,2244
14,2261
15,2262
16,2363
17,2364
18,2561
19,2562
20,2563
21,2564
22,2565
23,2566
24,2251
25,2252
26,2267
27,2268
28,2371
29,2372
30,2239
31,2240
32,2253
33,2254
34,2361
35,2362
36,2241
37,2242
38,2255
39,2256
40,2367
41,2368
42,2567
43,2568
44,2569
45,2570
46,2571
47,2572
48,2359
49,2360
50,2247
51,2248
52,2263
53,2264
54,2237
55,2238
56,2257
57,2258
58,2369
59,2370
60,2573
61,2574
62,2575
63,2576
64,2577
65,2578
66,2249
67,2250
68,2259
69,2260
70,2365
71,2366
72,2001
73,2002
74,2009
75,2010
76,2017
77,2018
78,2021
79,2022
80,2031
81,2032
82,2077
86,2078
90,2181
91,2182
92,2317
96,2318
100,2379
101,2380
102,2435
106,2436
110,2005
111,2006
112,2007
113,2008
114,2013
115,2014
116,2019
117,2020
118,2033
119,2034
120,2075
124,2076
128,2179
129,2180
130,2319
134,2320
138,2377
139,2378
140,2437
144,2438
148,2029
149,2030
150,2073
154,2074
158,2177
159,2178
160,2321
164,2322
168,2375
169,2376
170,2439
174,2440
178,2069
179,2070
180,2071
184,2072
188,2297
192,2298
196,2299
197,2300
198,2459
199,2460
200,2461
204,2462
208,2025
209,2026
210,2063
211,2064
212,2065
213,2066
214,2067
218,2068
222,2301
223,2302
224,2303
228,2304
232,2463
233,2464
234,2465
238,2466
242,2049
243,2050
244,2089
245,2090
246,2167
247,2168
248,2341
249,2342
250,2389
251,2390
252,2457
253,2458
254,2039
255,2040
256,2081
257,2082
258,2159
259,2160
260,2353
261,2354
262,2391
263,2392
264,2453
265,2454
266,2041
267,2042
268,2083
269,2084
270,2161
271,2162
272,2343
273,2344
274,2393
275,2394
276,2455
277,2456
278,2037
279,2038
280,2085
281,2086
282,2163
283,2164
284,2351
285,2352
286,2395
287,2396
288,2445
289,2446
290,2035
291,2036
292,2087
293,2088
294,2165
295,2166
296,2349
297,2350
298,2397
299,2398
300,2447
301,2448
302,2045
303,2046
304,2091
305,2092
306,2169
307,2170
308,2355
309,2356
310,2403
311,2404
312,2449
313,2450
314,2047
315,2048
316,2093
317,2094
318,2171
319,2172
320,2357
321,2358
322,2405
323,2406
324,2451
325,2452
326,2051
327,2052
328,2095
329,2096
330,2173
331,2174
332,2345
333,2346
334,2399
335,2400
336,2441
337,2442
338,2043
339,2044
340,2097
341,2098
342,2175
343,2176
344,2347
345,2348
346,2401
347,2402
348,2443
349,2444
350,2155
351,2156
352,2207
353,2208
354,2291
355,2292
356,2385
360,2386
364,2467
368,2468
372,2157
373,2158
374,2205
375,2206
376,2289
377,2290
378,2387
382,2388
386,2469
387,2470
388,2427
392,2428
396,2221
397,2222
398,2227
399,2228
400,2233
403,2234
406,2431
410,2432
414,2223
415,2224
416,2229
417,2230
418,2235
422,2236
426,2429
430,2430
434,2219
435,2220
436,2225
437,2226
438,2231
442,2232
446,2003
447,2004
448,2011
449,2012
450,2015
451,2016
452,2023
453,2024
454,2027
455,2028
456,2079
460,2080
464,2183
465,2184
466,2315
470,2316
474,2381
475,2382
476,2433
480,2434
484,2293
485,2294
486,2295
490,2296
494,2553
495,2554
496,2101
497,2102
498,2124
502,2125
506,2283
510,2284
514,2485
515,2486
516,2487
517,2488
518,2489
522,2490
526,2105
527,2106
528,2128
532,2129
536,2273
540,2274
544,2509
545,2510
546,2511
547,2512
548,2513
552,2514
556,2099
557,2100
558,2122
562,2123
566,2281
570,2282
574,2491
575,2492
576,2493
577,2494
578,2495
582,2496
586,2107
587,2108
588,2130
592,2131
596,2277
600,2278
604,2479
605,2480
606,2481
607,2482
608,2483
612,2484
616,2113
617,2114
618,2136
622,2137
626,2329
630,2330
634,2533
635,2534
636,2535
637,2536
638,2537
642,2538
646,2117
647,2140
651,2327
655,2328
659,2521
660,2522
661,2523
662,2524
663,2525
667,2526
671,2115
672,2116
673,2138
677,2139
681,2275
685,2276
689,2515
690,2516
691,2517
692,2518
693,2519
697,2520
701,2118
702,2119
703,2143
706,2144
709,2285
713,2286
717,2539
718,2540
719,2541
720,2542
721,2543
725,2544
729,2120
730,2121
731,2141
736,2142
741,2325
745,2326
749,2545
750,2546
751,2547
752,2548
753,2549
757,2550
761,2103
762,2104
763,2126
767,2127
771,2279
775,2280
779,2503
780,2504
781,2505
782,2506
783,2507
787,2508
791,2109
792,2110
793,2132
797,2133
801,2323
805,2324
809,2527
810,2528
811,2529
812,2530
813,2531
816,2532
819,2111
820,2112
821,2134
825,2135
829,2287
833,2288
837,2497
838,2498
839,2499
840,2500
841,2501
845,2502
849,2471
853,2472
857,2061
858,2062
859,2145
863,2146
867,2209
868,2210
869,2337
873,2338
877,2407
878,2408
879,2053
880,2054
881,2149
885,2150
889,2211
890,2212
891,2331
895,2332
899,2409
900,2410
901,2475
902,2476
903,2055
904,2056
905,2153
909,2154
913,2217
914,2218
915,2333
919,2334
923,2411
924,2412
925,2477
926,2478
927,2059
928,2060
929,2147
933,2148
937,2215
938,2216
939,2335
943,2336
947,2413
948,2414
949,2473
952,2474
955,2057
956,2058
957,2151
961,2152
965,2213
966,2214
967,2339
971,2340
975,2415
976,2416
977,2185
978,2186
979,2195
983,2196
987,2311
988,2312
989,2423
993,2424
997,2187
998,2188
999,2197
1003,2198
1007,2313
1008,2314
1009,2425
1012,2426
1015,2191
1016,2192
1017,2201
1021,2202
1025,2305
1026,2306
1027,2189
1028,2190
1029,2203
1033,2204
1037,2309
1038,2310
1039,2421
1043,2422
1047,2193
1048,2194
1049,2199
1052,2200
1055,2307
1056,2308
1057,2419
1061,2420
1065,2269
1066,2270
1067,2271
1071,2272
1075,2383
1076,2384
1077,2417
1081,2418
1085,2551
1086,2552
