,id,container_number,project,seed_type,number_seeds,scm_seeds,other_seeds,total_scm_maggots,total_scm_pupae,number_wireworm,phorid_seeds,total_phorid_maggots,total_phorid_pupae,notes,container_type,collection_date,record_id,field_id_x,previous_crop,cover_crop,manure,ny_soils_0,ny_soils_01,muid,hsg,hsgint,muserial,hsga,hsgb,hsgc,hsgd,hsgw,one_week,two_weeks,rain_inches_one_week,min_temp_f_one_week,ave_temp_f_one_week,max_temp_f_one_week,rain_inches_two_weeks,min_temp_f_two_weeks,ave_temp_f_two_weeks,max_temp_f_two_weeks,week,last_week,field_id_y,planting_date,start_week
0,3,3011,R,Bean,8.0,1.0,2.0,1.0,2,0.0,1.0,2.0,3.0,,deli cup,2023-04-17,GAB_ALL,GAB_ALL,Silage Corn,No,Yes,1205.0,5295.0,NY138,C,3.0,6805.0,0.0,11.0,63.0,26.0,0.0,2023-04-10,2023-04-03,0.01,48.5,62.6875,76.9,0.036,42.3,54.34666666666667,66.4,16,15,GAB_ALL,2023-05-09,2023-05-02
1,9,3068,R,Bean,8.0,0.0,0.0,0.0,5,1.0,2.0,7.0,9.0,,deli cup,2023-04-18,SMI_JOH_2,SMI_JOH_2,Wheat,Yes,No,1477.0,5478.0,NY142,D,4.0,6809.0,0.0,34.0,31.0,35.0,0.0,2023-04-11,2023-04-04,0.04750000000000001,46.8125,61.1,75.3875,0.118,40.88666666666667,53.46666666666667,66.04666666666667,16,15,,,
2,15,3010,R,Bean,10.0,0.0,1.0,0.0,0,0.0,0.0,0.0,19.0,,deli cup,2023-04-17,GAB_STE,GAB_STE,Silage Corn,No,Yes,1376.0,5311.0,NY084,A,1.0,6752.0,62.0,23.0,13.0,2.0,0.0,2023-04-10,2023-04-03,0.0025,47.025,61.65,76.2875,0.03933333333333333,40.57333333333334,53.08,65.6,16,15,GAB_STE,2023-05-23,2023-05-16
3,21,3003,R,Bean,5.0,0.0,1.0,0.0,17,0.0,0.0,0.0,0.0,,deli cup,2023-04-18,DIP_CUR,DIP_CUR,Silage Corn,Yes,No,2085.0,5669.0,NY134,A,1.0,6801.0,58.0,27.0,0.0,15.0,0.0,2023-04-11,2023-04-04,0.09125,43.3125,57.0125,70.75,0.11999999999999998,38.53333333333333,50.919999999999995,63.31333333333334,16,15,DIP_CUR,2023-05-19,2023-05-12
4,30,3042,R,Bean,10.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,,deli cup,2023-04-17,SMI_MCC,SMI_MCC,Soybean,No,No,1401.0,3769.0,NY142,D,4.0,6809.0,0.0,34.0,31.0,35.0,0.0,2023-04-10,2023-04-03,0.00875,41.3875,56.0375,70.7125,0.14,35.20666666666667,47.86666666666667,60.54666666666667,16,15,SMI_MCC,2023-05-15,2023-05-08
5,33,3075,R,Bean,10.0,1.0,0.0,1.0,0,0.0,0.0,0.0,14.0,,deli cup,2023-04-20,STA_HEM_2,STA_HEM_2,Grain Corn,Yes,Yes,1686.0,5631.0,NY128,B,2.0,6795.0,0.0,90.0,6.0,4.0,0.0,2023-04-13,2023-04-06,0.04875,45.75,57.025,68.325,0.11999999999999998,41.26,52.36,63.473333333333336,16,15,STA_HEM_2,2023-05-15,2023-05-08
6,42,3007,R,Bean,10.0,0.0,0.0,0.0,0,0.0,1.0,1.0,8.0,,deli cup,2023-04-18,DIP_PAT,DIP_PAT,Silage Corn,Yes,Yes,1577.0,5558.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-04-11,2023-04-04,0.05375,47.4125,61.6875,75.95,0.17666666666666667,40.986666666666665,53.88,66.76666666666667,16,15,DIP_PAT,2023-05-11,2023-05-04
7,45,3002,R,Bean,11.0,1.0,1.0,1.0,0,2.0,1.0,10.0,0.0,,deli cup,2023-04-18,POV_DUN,POV_DUN,Silage Corn,No,No,2404.0,4346.0,NY134,A,1.0,6801.0,58.0,27.0,0.0,15.0,0.0,2023-04-11,2023-04-04,0.08125,43.675,58.3125,72.95,0.09466666666666666,38.46,51.79333333333333,65.14,16,15,POV_DUN,2023-05-19,2023-05-12
8,48,3065,R,Bean,10.0,0.0,2.0,0.0,0,0.0,1.0,1.0,2.0,,deli cup,2023-04-18,SMI_JOH,SMI_JOH,Wheat,No,Yes,1483.0,5475.0,NY134,A,1.0,6801.0,58.0,27.0,0.0,15.0,0.0,2023-04-11,2023-04-04,0.04625,45.4125,59.6625,73.9125,0.13066666666666665,39.88,52.42666666666666,64.98666666666666,16,15,SMI_JOH,2023-05-13,2023-05-06
9,57,3039,R,Bean,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,,deli cup,2023-04-17,SMI_CRO,SMI_CRO,Grain Corn,No,No,1779.0,5454.0,NY131,A,1.0,6798.0,0.0,14.0,63.0,23.0,0.0,2023-04-10,2023-04-03,0.02125,43.0625,58.4875,73.9,0.07933333333333333,37.45333333333333,50.86666666666667,64.28,16,15,SMI_CRO,2023-05-09,2023-05-02
