record_id,collection_date,min_temp_f_1_week,ave_temp_f_1_week,max_temp_f_1_week,rain_inches_1_week
DIP_CUR,4/18/23,43.3125,57.0125,70.75,1.46
DIP_CUR,5/2/23,36.775,43.8125,50.8375,6.4
DIP_CUR,5/16/23,39.3625,52.4125,65.45,0
DIP_CUR,5/19/23,38.1875,51.75,65.3,0
DIP_CUR,6/2/23,46.1,60.9625,75.825,0
DIP_FLE,4/18/23,46.4125,60.1875,73.9625,1.12
DIP_FLE,5/2/23,38.05,45.7625,53.4875,3.98
DIP_FLE,5/16/23,42.1125,54.95,67.8,0
DIP_FLE,5/23/23,41.725,54.275,66.7875,0.46
DIP_FLE,6/6/23,52.2875,65.9875,79.6875,0.1
DIP_PAT,4/18/23,47.4125,61.6875,75.95,0.86
DIP_PAT,5/2/23,38.2375,46.575,54.9375,3.92
DIP_PAT,5/11/23,39.9625,50.825,61.7,0.74
DIP_PAT,5/16/23,43.7875,56.625,69.4875,0
DIP_PAT,5/25/23,44.125,56.1,68.05,0.7
GAB_ALL,4/17/23,48.5,62.6875,76.9,0.16
GAB_ALL,5/1/23,39.775,49.1125,58.425,4.34
GAB_ALL,5/15/23,45.2125,59.8125,74.425,0
GAB_ALL,5/26/23,46.4625,58.85,71.2,0.98
GAB_STE,4/17/23,47.025,61.65,76.2875,0.04
GAB_STE,5/1/23,38.225,48,57.7375,2.4
GAB_STE,5/15/23,41.975,57.9625,74,0.14
GAB_STE,5/26/23,43.9375,57.5,71.05,0.74
LET_NOB,5/8/23,37.8125,46.525,55.2375,2.46
LET_NOB,5/16/23,44.9125,56.5125,68.0875,0
LET_NOB,6/1/23,47.1,60.7,74.275,0
LET_TAB,5/8/23,37.55,46.6125,55.7125,2.56
LET_TAB,5/23/23,41.9625,54.4,66.8625,1.36
MIL_CHA,4/27/23,36.5125,46.2125,55.875,1.74
MIL_CHA,5/11/23,38.85,49.4875,60.15,0.76
MIL_CHA,5/26/23,43.875,55.85,67.825,0.54
MIL_CHA,6/9/23,47.525,59.65,71.7625,1.06
