record_id,collection_date,min_temp_f_2_week,ave_temp_f_2_week,max_temp_f_2_week,rain_inches_2_week
DIP_CUR,4/18/23,38.53333333,50.92,63.31333333,3.6
DIP_CUR,5/2/23,37.46,45.72,54,7.46
DIP_CUR,5/16/23,38.73333333,49.57333333,60.38,1.04
DIP_CUR,5/19/23,37.85333333,50.4,62.92666667,0.36
DIP_CUR,6/2/23,44.89333333,58.52666667,72.2,0.18
DIP_FLE,4/18/23,40.52666667,53.18666667,65.85333333,3.22
DIP_FLE,5/2/23,38.38666667,47.36666667,56.34666667,5.28
DIP_FLE,5/16/23,40.67333333,51.60666667,62.52,0.6
DIP_FLE,5/23/23,41.94,54.53333333,67.11333333,0.46
DIP_FLE,6/6/23,47.64666667,61.55333333,75.46666667,0.1
DIP_PAT,4/18/23,40.98666667,53.88,66.76666667,5.3
DIP_PAT,5/2/23,38.49333333,47.83333333,57.2,5.76
DIP_PAT,5/11/23,39.82,49.4,59,4.86
DIP_PAT,5/16/23,41.73333333,52.91333333,64.10666667,1.66
DIP_PAT,5/25/23,44.15333333,57.11333333,70.06,0.7
GAB_ALL,4/17/23,42.3,54.34666667,66.4,1.08
GAB_ALL,5/1/23,42.45333333,51.63333333,60.81333333,6.82
GAB_ALL,5/15/23,44.06666667,55.9,67.74666667,3.12
GAB_ALL,5/26/23,46.36,59.35333333,72.35333333,0.98
GAB_STE,4/17/23,40.57333333,53.08,65.6,1.18
GAB_STE,5/1/23,40.78666667,50.58666667,60.35333333,3.36
GAB_STE,5/15/23,41.56,54.42666667,67.32,4.54
GAB_STE,5/26/23,43.48666667,57.68,71.89333333,0.82
LET_NOB,5/8/23,36.83333333,45.44666667,54.04666667,3.4
LET_NOB,5/16/23,41.56666667,51.79333333,62.01333333,1.72
LET_NOB,6/1/23,45.96,58.16,70.34666667,1.66
LET_TAB,5/8/23,36.58666667,45.55333333,54.54,3.06
LET_TAB,5/23/23,42.76666667,55.33333333,67.92666667,1.36
MIL_CHA,4/27/23,40.06666667,51.32666667,62.56666667,2.16
MIL_CHA,5/11/23,38.79333333,47.83333333,56.88,5.5
MIL_CHA,5/26/23,41.94666667,54.70666667,67.46,0.54
MIL_CHA,6/9/23,46.98,60.4,73.82666667,1.06
MIL_MCC,4/27/23,39.20666667,51.04,62.84,3.84
MIL_MCC,5/11/23,37.90666667,47.45333333,57,5.54
MIL_MCC,5/26/23,40.58,54.00666667,67.44,0.4
MIL_MCC,6/9/23,45.14,59.61333333,74.11333333,1.24
MIL_YOD,4/27/23,39.19333333,50.75333333,62.32666667,3.92
MIL_YOD,5/11/23,37.50666667,46.98666667,56.46666667,5.68
MIL_YOD,5/26/23,40.17333333,53.55333333,66.94,0.52
MIL_YOD,6/9/23,45.82666667,59.62,73.37333333,0.66
POV_DUN,4/18/23,38.46,51.79333333,65.14,2.84
POV_DUN,5/2/23,37.45333333,46.59333333,55.69333333,3.31
POV_DUN,5/16/23,38.24,50.18666667,62.12,1.08
SEA_HOO,5/17/23,43.09333333,53.94,64.80666667,1.02
SEA_HOO,5/31/23,45.97333333,58.34,70.70666667,1.2
SMI_CAN,4/17/23,34.45333333,48.18666667,61.90666667,1.48
SMI_CAN,5/1/23,36.00666667,45.59333333,55.15333333,6.86
SMI_CAN,5/15/23,36.98666667,48.62,60.25333333,4.12
SMI_CAN,5/31/23,39.09333333,54.06666667,69.03333333,0.22
SMI_CAN,6/12/23,45.28666667,58.75333333,72.24,1.96
SMI_COB,4/17/23,36.64666667,50.24,63.84,1.26
SMI_COB,5/1/23,37.86,47.34666667,56.83333333,3.43
SMI_COB,5/15/23,39.38666667,51.17333333,62.98,3.7
SMI_COB,5/30/23,41.58666667,56.04666667,70.49333333,0.36
SMI_CRO,4/17/23,37.45333333,50.86666667,64.28,2.38
SMI_CRO,5/1/23,38.31333333,47.89333333,57.48666667,7.04
SMI_CRO,5/15/23,40.02,51.7,63.36666667,4.22
SMI_CRO,5/30/23,42.31333333,56.60666667,70.9,0.18
SMI_DOU,4/17/23,38.04666667,50.84666667,63.63333333,2.3
SMI_DOU,5/1/23,38.28666667,47.7,57.1,4.4
SMI_DOU,5/15/23,40.62666667,52.21333333,63.77333333,3.76
SMI_DOU,5/30/23,43.02666667,57.12,71.22666667,0.26
SMI_DUR,4/18/23,41.92,54.28666667,66.69333333,4.18
SMI_DUR,5/2/23,39.47333333,48.34666667,57.22666667,14.92
