,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Plums,Squash,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,28,0,0,0,0,0,0,0,0,0,0,62,1113,0,0,4,0,0,0,0,0,0,9,0,9,0,0,3,0,0,7,401,87,26,5,2,2211,108,918,362,828,168,6,3,0,0,0,0,2,0,6362,111,3775,828,521,7
1,DIP_FLE,2740,0,101,0,0,0,0,0,5,0,0,1183,550,3,0,11,0,0,0,0,0,0,52,0,7,0,6,3,0,0,2,146,13,0,0,1,746,0,24,156,524,107,17,0,0,0,2,0,0,0,6399,4106,1051,524,160,2
2,DIP_CUR,2289,0,71,0,0,0,4,0,11,0,0,1367,597,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,346,23,9,0,1,901,31,80,194,387,35,9,3,0,0,0,3,0,0,6369,3753,1251,387,379,0
3,GAB_STE,720,0,0,0,0,0,2,0,0,0,0,639,149,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,2,148,86,19,1,23,2381,1133,61,467,549,80,28,0,0,0,0,0,0,0,6499,1364,4173,549,277,2
4,SMI_CRO,881,0,1256,0,4,63,0,5,55,0,0,86,2846,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,127,63,7,0,0,241,22,49,91,541,87,8,0,0,0,0,0,0,0,6454,2352,498,541,197,0
5,SMI_CAN,696,0,373,2,0,0,0,1,168,0,0,814,1028,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,12,482,148,48,3,30,1083,10,86,368,963,68,61,0,0,0,0,0,0,0,6460,2055,1706,963,711,12
6,SMI_KEL,2182,0,111,0,0,2,0,11,9,0,0,175,1648,0,0,0,0,0,0,0,0,0,0,0,119,0,1,0,0,0,0,230,73,4,0,0,650,340,309,422,150,33,6,0,0,0,0,0,0,0,6475,2491,1760,150,307,0
7,SMI_COB,802,1,6,0,0,0,0,2,2,0,0,548,1839,0,0,0,7,0,0,0,0,0,0,0,25,0,0,0,0,0,2,681,724,189,28,2,828,12,9,135,463,95,12,0,0,0,0,0,0,0,6412,1368,1093,463,1624,2
8,SMI_DOU,341,0,139,0,0,0,7,2,50,0,0,846,2540,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,518,101,15,2,0,1046,93,97,231,429,7,12,0,0,0,0,0,0,0,6494,1385,1486,429,636,5
9,SMI_MCC,717,0,230,0,0,0,2,0,5,0,0,366,2397,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,4,222,24,3,0,0,1220,19,17,456,785,17,19,0,0,0,0,0,0,0,6513,1323,1748,785,249,4
10,SMI_HOL,1540,0,15,0,0,0,0,0,0,0,0,214,2474,0,0,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,247,24,2,0,0,1183,70,292,66,235,79,4,0,0,0,0,0,0,0,6463,1776,1694,235,273,0
11,DIP_PAT,1924,0,252,0,0,0,205,0,3,0,0,2649,40,0,0,9,0,0,0,0,0,0,7,0,5,0,0,1,3,0,0,111,11,0,0,3,671,2,15,198,185,154,11,5,0,0,0,0,2,0,6466,5060,1054,185,125,0
12,MIL_YOD,1227,0,793,0,0,0,29,0,22,0,0,918,213,3,0,15,0,0,0,0,0,0,2,2,25,0,0,0,2,0,0,66,12,0,0,0,1517,1,1,619,963,6,3,39,0,0,0,0,0,0,6478,3052,2147,963,78,0
13,MIL_CHA,2337,0,435,0,5,0,414,0,6,0,0,1373,148,2,0,11,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,108,3,0,0,0,922,4,6,246,456,10,3,0,0,0,0,0,0,0,6493,4585,1191,456,111,0
14,MIL_MCC,2171,0,463,0,0,0,0,4,59,0,0,526,293,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,4,79,3,0,0,4,1239,98,46,443,654,334,41,0,0,0,0,0,0,0,6471,3226,2205,654,86,4
15,KAT_SAU,705,0,16,0,0,0,49,2,1,0,0,118,1376,0,0,78,0,0,0,0,0,0,13,0,16,0,0,0,0,0,2,353,11,4,0,3,2299,275,236,182,536,11,4,0,0,0,0,0,0,0,6290,982,3010,536,371,2
16,KAT_SAU_2,791,0,12,0,0,0,84,5,99,0,0,211,2299,0,0,115,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,453,11,8,0,0,1329,78,38,105,629,10,2,2,0,0,0,0,0,0,6291,1327,1562,629,472,2
17,KAT_TEE,580,0,33,0,0,0,1,0,1,0,0,608,1053,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,11,243,46,2,0,2,2958,85,9,80,451,127,48,0,0,0,0,0,0,0,6347,1223,3309,451,293,11
18,KAT_TEE_2,661,0,40,0,0,0,2,0,0,0,0,239,378,0,0,0,0,0,0,0,0,10,0,0,5,0,0,0,0,0,0,66,0,0,0,0,3900,797,44,79,129,0,4,0,0,0,0,0,0,0,6354,952,4824,129,66,0
19,KAT_HAB_2,994,0,201,0,0,0,6,1,1,0,0,317,2081,6,0,2,6,0,0,0,0,0,2,0,6,0,0,0,5,0,0,240,2,0,0,0,1768,359,71,29,255,26,13,0,0,0,0,0,0,0,6391,1541,2266,255,242,0
20,KAT_HAB,1071,0,545,0,0,0,56,30,0,0,0,40,1151,0,0,13,0,0,0,0,0,0,4,0,1,0,0,43,0,0,0,960,8,0,0,0,1596,143,96,34,530,27,24,0,0,0,0,0,5,0,6377,1807,1920,530,968,0
21,KAT_BAR,955,0,26,0,0,0,6,0,1,0,0,197,386,0,0,18,0,0,0,0,0,0,4,0,0,0,1,15,25,0,234,402,48,8,0,41,2063,231,781,102,524,171,53,0,0,0,0,0,0,0,6292,1248,3442,524,499,234
22,SMI_LAT,1640,0,230,0,2,0,0,2,2,0,0,1140,342,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,77,366,21,4,1,0,1140,63,54,513,594,215,3,0,0,0,0,2,0,0,6417,3018,1988,594,392,77
23,SMI_DUR,1419,0,63,0,2,0,0,1,10,0,0,196,233,0,0,34,0,0,0,0,0,0,0,0,23,0,0,0,53,0,0,376,87,9,0,3,1681,107,28,982,626,553,4,6,0,0,0,0,0,0,6496,1784,3358,626,475,0
