,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Plums,Squash,Dbl Crop WinWht/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,114,0,7,0,6,0,22,67,11,0,0,860,2858,0,0,4,0,0,0,0,0,0,29,0,53,0,0,0,8,0,0,96,1499,246,72,8,287,8662,1134,3732,1874,2888,647,52,191,0,0,0,0,2,4,0,25433,1325,16388,2888,2112,96
1,DIP_FLE,7011,0,420,0,0,0,43,4,80,0,0,3357,2854,7,0,11,0,0,0,1,0,0,109,0,25,0,0,8,13,0,0,2,1120,177,17,0,10,5554,431,626,1263,1647,746,65,7,0,0,2,0,0,1,0,25611,11074,8695,1647,1324,2
2,DIP_CUR,4304,62,199,0,1,0,26,0,11,2,0,3987,3863,1,0,7,0,0,3,0,0,0,2,0,50,0,0,0,1,1,0,10,1095,97,40,10,15,6179,322,1392,1191,2177,331,71,10,0,0,0,0,5,0,0,25465,8622,9501,2177,1257,10
3,GAB_STE,3626,0,59,0,0,0,23,6,2,0,0,2361,963,0,0,0,0,0,0,0,0,0,2,8,18,0,0,3,0,0,0,263,583,344,93,3,58,8395,1800,105,2396,3946,551,385,6,0,0,0,0,0,0,0,25999,6096,13690,3946,1081,263
4,SMI_CRO,1679,0,1624,0,56,96,0,5,120,0,0,429,13572,0,0,11,0,0,0,0,0,0,0,2,65,0,0,0,0,2,0,39,780,190,21,0,1,2599,231,598,515,2723,372,74,0,0,0,0,0,2,0,0,25806,4026,4390,2723,992,39
5,SMI_CAN,2910,0,710,2,0,0,0,3,489,0,0,3744,3626,0,0,2,0,0,4,0,0,0,3,0,58,0,0,1,0,0,0,154,1295,254,53,4,35,5556,168,262,1253,3028,1904,317,0,0,0,0,0,0,0,0,25835,7868,9495,3028,1641,154
6,SMI_KEL,8912,0,704,0,0,4,3,35,123,0,0,598,7277,0,0,0,0,0,0,0,0,0,0,0,199,0,0,1,0,0,0,423,1084,484,195,3,3,1900,433,508,1354,1397,177,88,0,0,0,0,0,0,0,0,25905,10380,4463,1397,1769,423
7,SMI_COB,2040,3,70,0,0,0,0,2,2,0,0,1245,5955,0,0,2,11,0,0,0,0,0,0,0,48,0,0,0,0,0,0,12,2152,1860,714,178,16,7407,380,1070,407,1674,356,50,0,0,0,0,0,0,0,0,25654,3375,9686,1674,4920,12
8,SMI_DOU,1785,0,163,0,3,0,7,2,81,0,0,1667,8083,0,0,15,0,0,0,0,0,0,3,2,100,0,0,0,0,2,0,419,2822,1330,1148,276,5,4492,132,170,1185,1943,110,38,2,0,0,0,0,0,0,0,25985,3732,6132,1943,5581,419
9,SMI_MCC,3501,2,815,0,1,0,18,23,35,0,0,1482,8290,2,0,0,0,0,3,0,0,0,0,0,189,0,0,0,0,0,0,13,796,74,6,0,0,4846,110,128,2118,3360,160,58,2,0,0,0,0,0,0,0,26032,5884,7420,3360,876,13
10,SMI_HOL,4850,0,345,0,0,0,0,2,0,0,0,1159,9087,0,0,0,0,0,0,0,0,0,0,0,41,0,0,17,0,0,0,704,974,159,13,2,19,4623,402,964,365,1152,946,28,0,0,0,0,0,1,0,0,25853,6374,7347,1152,1167,704
11,DIP_PAT,8907,1,2687,0,0,0,2050,9,38,0,0,5320,330,0,0,36,0,0,0,0,0,0,20,0,36,0,0,8,12,11,0,4,447,80,25,2,32,2359,18,75,949,1744,568,64,22,0,0,0,0,0,2,0,25856,19123,4065,1744,586,4
12,MIL_YOD,3989,0,1931,0,14,2,70,0,146,0,0,4306,1270,3,0,29,0,0,0,0,0,0,10,2,73,0,0,1,0,5,0,11,455,56,18,0,2,6171,313,86,3047,3663,192,29,39,0,0,0,0,0,0,0,25933,10547,9840,3663,531,11
13,MIL_CHA,8547,0,1136,0,7,0,687,0,27,0,0,5505,469,6,0,37,0,0,0,0,0,0,2,0,6,0,0,0,1,0,0,0,367,13,1,0,0,5429,152,43,1564,1897,52,12,1,0,0,0,0,0,0,0,25961,15956,7252,1897,381,0
14,MIL_MCC,4906,1,1249,0,0,0,18,30,191,0,0,2867,1519,0,0,308,0,0,0,0,0,0,0,0,37,0,0,0,1,9,0,71,1356,792,286,48,16,5250,491,155,1948,3391,773,156,1,0,0,0,0,0,1,0,25871,9582,8789,3391,2498,71
15,KAT_SAU,1680,0,40,0,0,0,125,5,100,0,0,382,5357,0,0,193,0,0,0,0,0,0,28,0,40,0,0,0,0,0,0,2,896,15,8,0,4,11057,1144,709,802,2544,25,11,2,0,0,0,0,0,0,0,25169,2555,13752,2544,923,2
16,KAT_SAU_2,2910,0,53,0,0,0,135,10,184,0,0,573,6545,5,0,210,0,0,0,0,0,0,50,0,31,0,0,2,2,1,0,5,1029,25,8,1,3,8629,784,328,593,2981,23,16,30,0,0,0,0,0,0,0,25166,4165,10376,2981,1066,5
17,KAT_TEE,1662,8,97,0,0,0,12,0,7,0,0,1072,2156,0,0,5,0,0,0,0,0,0,0,0,41,0,0,0,1,3,0,17,620,65,5,0,4,16034,1602,105,396,1136,269,71,0,0,0,0,0,0,1,0,25389,2868,18481,1136,694,17
18,KAT_TEE_2,2188,0,78,0,0,0,3,2,7,0,0,1219,2408,0,0,0,0,0,0,0,0,18,4,0,21,0,0,0,0,0,0,34,543,54,7,0,7,15147,2092,162,535,668,111,90,0,0,0,0,0,0,2,0,25400,3521,18144,668,611,34
19,KAT_HAB_2,3788,0,692,0,0,0,16,6,13,0,0,921,6723,6,0,9,6,0,0,0,2,0,4,0,57,0,0,0,15,8,0,1,810,15,0,0,3,7581,2456,392,179,1377,397,85,2,0,0,3,0,0,0,0,25567,5491,11093,1377,828,1
20,KAT_HAB,3163,0,1735,0,0,0,68,35,1,0,0,553,3585,0,0,13,0,0,0,0,12,0,4,0,58,0,0,2,97,2,0,23,2821,528,96,18,5,8776,920,544,210,1838,329,86,1,0,0,0,0,0,5,0,25528,5691,10870,1838,3468,23
