,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Broccoli,Peppers,Greens,Plums,Squash,Dbl Crop WinWht/Corn,Pumpkins,Blueberries,Cabbage,Radishes,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,244,0,34,0,9,0,23,70,40,0,0,1325,5667,0,0,4,0,0,0,0,0,0,0,79,0,90,0,0,0,10,0,0,0,120,2429,370,111,21,310,23427,1918,8839,3621,6492,1606,155,192,0,0,0,0,0,0,0,2,8,0,0,57216,2040,39876,6492,3241,120
1,DIP_FLE,12985,7,1255,0,5,0,356,20,170,0,0,8757,4253,7,0,25,0,0,2,1,0,0,0,201,2,104,0,0,19,22,0,0,0,6,1998,252,17,0,19,15989,888,1469,3281,3681,1599,175,38,0,0,0,0,0,2,0,0,1,0,0,57606,23875,23420,3681,2286,6
2,DIP_CUR,5746,62,271,0,4,0,30,8,28,2,0,4611,5856,3,0,7,0,0,3,0,0,0,0,10,0,248,0,0,2,3,8,0,0,28,1806,121,54,13,17,20713,2446,6838,2951,4387,880,129,10,0,0,0,0,0,0,0,5,2,0,0,57302,10815,33974,4387,2011,28
3,GAB_STE,8246,5,240,0,1,0,26,49,19,0,0,5226,3061,0,0,0,0,0,0,0,0,0,0,6,110,51,0,0,4,0,0,0,0,621,2866,1995,1497,468,619,14225,2867,181,5091,8580,1648,759,39,0,0,0,0,0,0,0,0,0,0,0,58500,13971,25390,8580,7445,621
4,SMI_CRO,5604,0,1862,0,56,96,1,5,143,0,0,1012,29065,0,0,20,0,0,0,0,0,0,0,2,2,111,0,0,0,0,2,0,0,39,1960,381,33,0,1,7183,461,1175,1428,6578,704,140,0,0,0,0,0,0,0,0,2,1,0,0,58067,8808,11092,6578,2375,39
5,SMI_CAN,5405,2,1120,2,0,0,2,5,662,0,0,6814,10787,0,0,35,0,0,11,0,0,0,0,4,0,120,0,0,1,0,0,0,0,499,2519,374,78,4,36,11957,955,987,3107,7950,4115,565,0,0,0,0,0,0,0,0,0,3,0,0,58119,14066,21722,7950,3011,499
6,SMI_KEL,15123,4,2390,0,0,4,3,136,127,0,0,956,13877,0,0,27,0,0,2,0,0,0,0,2,0,356,0,0,1,0,10,0,0,2014,2929,1122,456,20,10,6851,1242,1655,3687,3579,1371,328,0,0,0,0,0,0,0,0,0,0,0,0,58282,18785,15144,3579,4537,2014
7,SMI_COB,3101,3,86,0,1,0,0,18,9,0,0,1741,11803,0,0,2,11,0,0,0,0,0,0,0,0,61,0,0,0,2,0,0,0,132,4698,3318,1662,404,31,20174,1326,3865,819,3596,755,102,0,0,0,0,0,0,0,0,0,3,0,0,57723,4977,27072,3596,10113,132
8,SMI_DOU,4422,0,1085,0,20,0,8,2,88,0,0,2978,13651,0,0,17,0,0,0,0,0,0,0,3,2,334,0,0,0,0,2,0,0,1014,6085,2857,1979,423,8,14588,648,702,2983,3922,533,103,2,0,0,0,0,0,0,0,0,0,0,0,58459,8629,19565,3922,11352,1014
9,SMI_MCC,6681,8,1532,0,1,0,18,35,59,0,0,2785,16499,2,0,3,1,0,3,0,0,0,0,41,0,404,0,0,0,0,0,0,0,65,1898,238,36,4,5,13394,1061,702,4867,7124,950,154,2,0,0,0,0,0,0,0,0,0,0,0,58572,11171,21133,7124,2181,65
10,SMI_HOL,8641,0,1270,0,11,0,0,3,2,0,0,1860,18530,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,26,0,0,0,0,1362,2213,316,74,23,108,13571,1358,3136,707,2340,2439,85,0,0,0,0,0,0,0,0,3,0,0,0,58174,11816,21404,2340,2734,1362
11,DIP_PAT,17393,4,5041,0,0,0,3668,12,62,0,0,12732,2341,0,0,64,0,0,0,0,0,0,0,48,0,85,0,0,37,22,11,0,0,48,1363,218,41,2,227,5745,62,189,2549,4271,1663,207,68,0,0,0,0,0,0,0,0,2,0,0,58175,39164,10642,4271,1851,48
12,MIL_YOD,9664,0,2925,0,183,2,134,0,349,0,0,12429,3039,11,0,84,0,0,0,0,0,0,0,15,4,247,0,0,1,2,5,0,0,26,1389,107,26,0,10,12433,480,167,6431,7604,438,95,52,0,0,0,0,0,0,0,0,0,0,0,58352,25860,20054,7604,1532,26
