,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,5,0,0,0,0,0,0,0,0,0,4,355,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,64,0,0,0,0,549,9,268,40,268,19,2,0,0,0,0,0,1588,10,887,268,64,0
1,DIP_FLE,526,0,7,0,0,0,0,0,0,0,399,21,0,0,0,0,0,0,0,0,17,0,7,0,2,0,0,0,37,8,0,0,0,211,0,7,70,215,62,14,0,0,0,0,0,1603,951,364,215,45,0
2,DIP_CUR,840,0,24,0,0,0,0,0,2,0,108,139,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,131,5,0,0,0,171,15,23,45,79,5,0,0,0,0,0,0,1593,978,259,79,136,0
3,GAB_STE,212,0,0,0,0,0,2,0,0,0,145,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,52,13,1,2,385,482,12,60,150,22,6,0,0,0,0,0,1627,359,969,150,114,0
4,SMI_CRO,496,0,251,0,4,4,0,0,35,0,18,644,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,37,3,0,0,0,4,0,0,2,109,0,0,0,0,0,0,0,1611,808,6,109,40,0
5,SMI_CAN,165,0,12,0,0,0,0,1,25,0,145,117,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,169,95,48,3,30,345,4,6,181,213,22,26,0,0,0,0,0,1616,348,614,213,345,7
6,SMI_KEL,304,0,1,0,0,0,0,0,0,0,2,423,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,69,0,2,0,0,346,36,88,256,36,8,4,0,0,0,0,0,1621,307,738,36,71,0
7,SMI_COB,229,0,0,0,0,0,0,0,0,0,189,267,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,250,153,47,2,0,264,0,0,63,87,39,9,0,0,0,0,0,1606,418,375,87,452,0
8,SMI_DOU,51,0,86,0,0,0,5,2,35,0,168,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,5,6,2,0,141,8,7,38,111,0,2,0,0,0,0,0,1625,347,196,111,122,0
9,SMI_MCC,360,0,185,0,0,0,0,0,4,0,133,577,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,55,8,0,0,0,52,0,0,40,203,3,1,0,0,0,0,0,1626,682,96,203,63,2
10,SMI_HOL,546,0,1,0,0,0,0,0,0,0,46,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,105,0,5,5,49,2,0,0,0,0,0,0,1617,593,117,49,30,0
11,DIP_PAT,153,0,6,0,0,0,14,0,0,0,807,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,455,2,9,77,19,64,3,1,0,0,0,0,1618,981,610,19,0,0
12,MIL_YOD,342,0,296,0,0,0,0,0,0,0,230,23,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,585,1,0,99,40,0,0,0,0,0,0,0,1622,874,685,40,0,0
13,MIL_CHA,773,0,51,0,0,0,2,0,1,0,490,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,0,91,0,0,32,120,4,3,0,0,0,0,0,1624,1320,130,120,42,0
14,MIL_MCC,696,0,170,0,0,0,0,2,4,0,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,367,48,13,102,75,74,6,0,0,0,0,0,1617,917,610,75,1,2
15,KAT_SAU,447,0,16,0,0,0,2,0,0,0,40,362,0,0,76,0,0,0,0,0,6,0,16,0,0,0,0,0,22,0,0,0,0,432,31,17,21,85,0,1,0,0,0,0,0,1574,587,502,85,22,0
16,KAT_SAU_2,284,0,9,0,0,0,40,2,63,0,76,640,0,0,88,0,0,0,0,0,2,0,0,0,0,0,0,0,57,0,0,0,0,116,13,8,23,157,0,0,0,0,0,0,0,1578,564,160,157,57,0
