,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Squash,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,30,0,2,0,0,3,1,1,0,0,0,0,117,745,0,0,0,0,0,0,0,0,0,0,5,0,38,3,0,0,0,1,0,9,502,107,20,5,12,2128,39,1147,61,1165,202,19,0,0,0,0,0,0,0,0,0,6362,163,3608,1165,646,9
1,DIP_FLE,1742,0,108,0,4,0,0,11,0,0,0,0,2068,528,2,0,8,0,0,0,0,0,0,0,13,0,89,0,0,0,3,0,0,2,177,32,4,0,3,875,0,33,16,538,129,8,3,0,0,3,0,0,0,0,0,6399,3965,1064,538,216,2
2,DIP_CUR,1752,1,88,0,3,7,0,329,18,22,0,0,1179,472,2,0,2,0,0,0,0,0,0,0,3,0,93,0,0,0,3,6,0,0,354,34,24,38,2,1054,19,105,23,487,50,19,177,0,0,0,2,1,0,0,0,6369,3595,1272,487,452,0
3,GAB_STE,746,0,5,0,0,0,0,0,12,0,0,0,661,173,0,0,0,0,0,0,0,0,0,0,2,2,20,0,0,3,0,0,0,2,71,60,13,1,43,2691,962,430,4,393,183,22,0,0,0,0,0,0,0,0,0,6499,1431,4335,393,188,2
4,SMI_CRO,1036,0,753,0,0,411,0,33,0,15,0,0,80,2297,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,1,126,91,9,0,4,533,47,59,7,755,94,1,0,0,0,0,0,0,0,0,0,6454,2328,745,755,230,1
5,SMI_CAN,1354,0,36,0,0,0,0,0,11,24,0,0,751,936,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,9,241,139,40,6,41,1693,14,134,32,840,117,15,0,0,0,0,0,0,0,0,0,6460,2178,2046,840,467,9
6,SMI_KEL,831,0,1387,0,0,0,0,2,0,1,0,0,181,1202,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,1,0,0,0,0,191,100,7,0,0,1074,309,370,3,355,42,6,0,0,0,0,0,0,0,0,0,6475,2403,1804,355,298,0
7,SMI_COB,706,7,5,0,1,0,0,6,0,3,0,0,538,1484,0,0,0,0,0,0,0,0,0,0,5,2,96,0,0,0,0,0,0,1,503,687,253,36,22,892,26,214,7,724,159,28,0,0,7,0,0,0,0,0,0,6412,1280,1348,724,1501,1
8,SMI_DOU,278,0,209,0,0,0,0,5,0,5,0,0,719,2201,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,5,537,137,25,4,0,1247,94,117,1,841,15,7,0,0,0,0,0,0,0,0,0,6494,1216,1481,841,703,5
9,SMI_MCC,575,2,284,0,0,0,0,0,0,0,0,0,345,1905,0,0,0,0,0,2,0,0,0,0,0,0,99,0,0,0,0,0,0,2,204,61,2,0,0,1738,14,24,8,1193,53,2,0,0,0,0,0,0,0,0,0,6513,1208,1839,1193,267,2
10,SMI_HOL,643,0,2,0,0,0,0,0,0,0,0,0,388,2651,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,7,0,0,0,0,243,33,2,5,0,986,72,672,0,148,99,0,0,0,0,0,0,0,0,0,0,6463,1040,1829,148,283,0
11,DIP_PAT,2424,0,290,0,4,0,0,306,1,0,0,0,1696,48,0,0,2,0,0,0,0,0,0,0,0,0,223,0,0,0,1,0,0,2,230,43,0,0,1,828,1,9,14,119,199,23,0,0,0,0,0,0,0,2,0,6466,4726,1075,119,274,2
12,MIL_YOD,993,0,818,0,0,2,2,1,0,0,0,0,945,218,0,0,14,0,0,0,0,0,0,0,1,2,193,0,0,0,0,2,0,0,226,22,4,0,3,1958,0,3,30,1017,8,16,0,0,0,0,0,0,0,0,0,6478,2780,2018,1017,255,0
13,MIL_CHA,2556,0,297,0,0,1,0,151,0,0,0,0,1387,103,0,0,1,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,332,9,2,0,2,1089,2,22,8,445,17,0,0,0,0,0,0,0,0,0,0,6493,4393,1140,445,345,0
14,MIL_MCC,2439,0,296,0,0,0,0,84,0,9,0,0,367,233,0,0,6,0,0,0,0,0,0,0,0,0,26,0,0,0,0,3,0,2,207,25,0,0,0,1610,76,75,15,553,425,20,0,0,0,0,0,0,0,0,0,6471,3204,2221,553,232,2
15,KAT_SAU,496,13,53,0,0,14,0,0,0,9,2,0,118,1343,0,0,196,0,0,0,0,0,0,0,5,0,124,0,0,0,0,0,0,2,395,20,2,0,2,2331,168,621,13,353,10,0,0,0,0,0,0,0,0,0,0,6290,906,3145,353,419,2
