,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,614,0,23,0,4,5,1,2,4,4,0,0,809,1925,0,0,0,0,0,0,0,0,0,0,28,0,123,3,0,0,5,6,0,146,1991,338,72,12,235,8799,484,4982,247,3751,718,97,2,0,0,0,0,0,0,0,3,0,25433,1513,15562,3751,2648,146
1,DIP_FLE,5755,0,349,0,22,6,2,25,1,92,0,2,4427,2827,2,0,9,0,0,0,1,0,0,0,32,0,291,0,0,0,11,0,0,4,1312,286,26,0,24,6382,222,1015,107,1603,738,28,5,0,0,0,3,0,0,2,0,0,25611,10746,8516,1603,1648,4
2,DIP_CUR,3984,1,168,0,8,10,0,340,26,39,0,0,3579,2584,5,0,5,0,0,0,5,0,0,0,10,0,209,0,0,0,9,6,0,10,1312,223,80,92,17,6858,146,1682,144,3316,345,69,177,0,0,0,0,5,1,0,0,0,25465,8378,9261,3316,1724,10
3,GAB_STE,3253,31,20,0,73,0,0,20,81,1,0,0,2516,1025,0,0,0,0,2,0,0,0,0,0,6,14,250,0,0,4,0,0,0,303,386,381,98,9,100,9889,1587,1816,33,2936,997,154,12,0,0,0,0,0,0,0,2,0,25999,6035,14576,2936,974,303
4,SMI_CRO,2235,0,1055,0,0,482,0,33,4,68,0,0,384,10330,0,0,13,0,2,0,0,0,0,0,4,3,246,0,0,0,0,2,0,45,817,311,35,0,8,3764,243,879,34,4319,465,25,0,0,0,0,0,0,0,0,0,0,25806,4285,5418,4319,1171,45
5,SMI_CAN,3851,0,224,0,0,2,0,7,23,136,0,0,3696,3419,0,0,0,0,0,4,0,0,0,0,5,4,198,0,0,1,0,0,0,105,896,296,52,6,49,7240,213,515,50,2659,2064,119,1,0,0,0,0,0,0,0,0,0,25835,7954,10250,2659,1299,105
6,SMI_KEL,5306,0,4383,0,0,0,0,3,1,12,0,0,579,5297,0,0,0,0,0,0,0,0,0,0,1,0,915,0,0,1,0,0,0,370,694,562,228,4,5,3658,417,600,20,2472,351,26,0,0,0,0,0,0,0,0,0,0,25905,10286,5077,2472,1493,370
7,SMI_COB,1807,17,33,0,1,0,0,12,8,3,0,0,1132,5049,2,0,0,4,0,0,0,0,0,0,8,2,206,0,0,0,0,0,0,17,1516,1893,843,245,53,7055,373,2466,31,2286,522,58,0,0,7,0,0,0,0,5,0,0,25654,3041,10558,2286,4550,17
8,SMI_DOU,969,0,414,0,0,1,0,5,0,11,0,0,1662,6739,0,0,0,0,0,0,0,0,0,0,3,2,617,0,0,0,0,2,0,385,2593,1427,1203,288,23,5891,123,253,25,3100,224,23,2,0,0,0,0,0,0,0,0,0,25985,3071,6562,3100,5534,385
9,SMI_MCC,3300,3,521,0,0,5,0,7,2,7,0,0,1268,6412,0,0,3,0,0,2,0,0,0,0,3,0,967,0,0,0,0,0,0,4,959,155,6,0,2,7105,120,222,21,4632,284,22,0,0,0,0,0,0,0,0,0,0,26032,5121,7776,4632,1122,4
10,SMI_HOL,3399,0,19,0,0,0,0,0,0,2,0,0,1278,8725,0,0,0,0,0,0,0,0,0,0,0,0,1454,0,0,17,0,0,0,636,1054,289,23,7,57,4004,358,2324,9,870,1278,42,0,0,0,0,0,0,0,8,0,0,25853,4723,8072,870,1430,636
11,DIP_PAT,9219,0,2261,0,10,0,0,961,1,4,0,0,4862,295,0,0,13,0,0,0,4,0,0,0,4,2,1600,1,0,7,11,8,0,7,793,295,122,15,26,3217,10,48,72,1327,611,48,0,0,0,0,0,0,0,0,2,0,25856,17370,4032,1327,1251,7
12,MIL_YOD,4175,3,1242,0,0,7,2,31,4,9,0,0,4299,1197,0,0,53,0,0,0,0,0,0,0,4,2,558,0,0,2,0,5,0,1,957,118,20,0,16,8142,207,243,223,3796,548,69,0,0,0,0,0,0,0,0,0,0,25933,9838,9448,3796,1111,1
13,MIL_CHA,7525,0,2058,0,2,13,0,308,0,23,0,0,5138,478,0,0,17,0,0,0,0,0,0,0,0,0,406,0,0,0,1,2,0,0,1116,71,5,0,9,6400,136,185,92,1851,113,12,0,0,0,0,0,0,0,0,0,0,25961,15087,6947,1851,1201,0
14,MIL_MCC,5590,0,555,0,0,2,0,499,0,37,0,0,2432,1312,0,0,176,0,0,0,0,0,0,0,2,0,352,0,0,1,0,11,0,51,1374,808,281,50,25,7126,413,540,150,2948,1058,70,7,0,0,0,0,0,0,0,1,0,25871,9313,9382,2948,2538,51
15,KAT_SAU,1506,46,105,1,0,90,0,7,10,65,3,0,457,4854,0,0,198,0,0,0,0,0,0,0,38,0,264,0,0,0,0,0,0,6,1187,43,2,0,4,11590,769,2028,41,1820,28,5,2,0,0,0,0,0,0,0,0,0,25169,2528,14465,1820,1236,6
16,KAT_SAU_2,2528,46,107,1,0,103,0,6,13,159,2,2,517,6448,0,0,218,0,0,0,0,0,0,0,43,0,251,2,0,2,2,1,0,9,1290,40,2,0,9,9232,546,1305,31,2214,29,8,0,0,0,0,0,0,0,0,0,0,25166,3752,11160,2214,1341,9
17,KAT_TEE,1381,0,83,0,0,0,0,0,0,1,0,0,999,2007,0,0,6,12,0,0,0,0,0,0,4,0,431,0,0,0,2,3,0,17,940,105,10,0,4,13514,1226,2900,8,1240,433,63,0,0,0,0,0,0,0,0,0,0,25389,2491,18148,1240,1059,17
18,KAT_TEE_2,1843,0,83,0,0,2,4,10,0,63,0,0,1129,2184,0,0,16,101,0,0,0,0,0,0,4,0,351,0,0,2,2,0,0,46,863,96,15,0,0,13069,1344,3148,7,746,222,46,1,0,0,0,0,0,0,1,2,0,25400,3263,17836,746,974,46
19,KAT_HAB_2,3938,0,312,0,0,4,0,9,0,3,0,0,812,6096,0,0,30,14,0,0,0,0,0,0,1,0,995,0,0,29,22,2,0,5,1070,71,0,0,10,5960,1851,2656,4,1151,448,68,3,0,0,3,0,0,0,0,0,0,25567,5182,10997,1151,1151,5
20,KAT_HAB,3963,0,1010,0,13,3,0,2,0,4,0,0,569,3026,0,1,68,2,0,0,0,0,0,0,15,0,418,0,0,39,220,0,1,23,2712,558,107,22,4,6357,713,3807,35,1468,293,68,2,0,0,0,0,0,0,1,0,4,25528,5917,11277,1468,3403,23
21,KAT_BAR,1344,5,196,0,1,3,0,25,2,34,0,0,591,1461,0,0,735,20,0,0,0,0,0,0,6,0,164,0,0,1,45,11,0,478,924,396,230,20,50,11283,467,5150,31,1061,289,133,0,0,0,0,0,0,0,0,0,0,25156,3019,17403,1061,1620,478
22,SMI_LAT,5841,0,57,0,4,0,0,8,0,216,0,0,4572,1530,0,0,47,0,0,0,0,0,0,0,7,0,103,0,0,2,0,0,0,182,1603,204,19,0,13,6040,315,711,76,2755,1279,91,2,0,0,0,0,0,0,0,0,0,25677,10756,8525,2755,1839,182
23,SMI_DUR,2657,1,365,0,4,23,0,249,14,0,0,0,757,1095,4,0,25,0,0,9,0,0,0,0,6,13,790,0,0,0,6,169,0,398,1518,431,70,13,86,8684,459,303,492,3405,3782,157,8,0,0,0,0,0,3,0,0,0,25996,4313,13963,3405,2118,398
24,SMI_HOF,3245,0,154,0,8,2,0,9,3,4,0,0,805,1446,0,0,11,0,0,0,0,0,0,0,22,0,193,0,0,0,0,0,0,567,944,228,13,0,118,9149,539,4208,30,2968,605,125,5,0,0,0,0,0,0,0,0,0,25401,4268,14774,2968,1303,567
25,SMI_JOH,3662,0,592,0,4,7,0,243,52,34,0,0,3322,1860,0,0,12,0,4,0,3,0,0,0,11,0,251,0,0,0,0,8,0,21,1293,363,63,3,22,7487,535,716,221,4559,553,36,4,0,0,0,0,0,0,0,0,0,25941,7958,9570,4559,1744,21
26,SMI_JOH_2,1306,0,900,0,0,1766,0,70,7,55,0,0,1999,569,3,0,81,0,0,0,0,0,0,0,2,0,690,0,0,0,0,0,0,237,1719,972,217,158,54,9897,641,334,313,3058,859,86,3,0,0,0,0,0,0,0,0,0,25996,6192,12184,3058,3120,237
27,GAB_ALL,542,1,7,0,0,0,0,0,0,0,0,0,277,583,0,0,0,0,0,0,0,0,0,0,0,3,259,0,0,2,0,0,0,2668,2112,2195,1327,443,70,5958,377,5224,30,615,3080,95,0,0,0,0,0,0,0,1,0,0,25869,833,14834,615,6147,2668
28,KAT_JEF,1475,0,25,0,0,3,0,0,0,4,0,0,170,5572,0,0,114,0,2,0,0,0,0,0,7,0,188,0,0,1,6,1,0,22,846,233,23,3,30,7309,924,1950,12,2666,3539,195,0,0,0,0,0,0,0,0,0,0,25320,1808,13959,2666,1135,22
29,KAT_JEF_2,1874,0,17,0,0,1,0,2,0,1,0,0,194,3615,0,0,3,0,0,0,0,0,0,0,2,0,105,0,0,1,12,1,0,53,465,120,8,0,15,6694,638,1982,29,1260,7781,462,0,0,0,0,0,0,0,0,0,0,25335,2108,17601,1260,608,53
30,STA_WIL,3297,0,997,0,3,0,0,1614,4,11,0,0,7558,533,0,0,495,0,0,0,0,0,0,0,5,0,1021,0,0,10,26,0,0,16,1212,135,1,0,2,4226,24,246,41,1984,1954,35,502,0,0,0,0,0,0,0,0,0,25952,14522,6528,1984,1350,16
31,STA_HEM_2,3008,0,818,0,28,0,0,1259,60,58,0,0,4030,836,4,0,53,2,0,4,2,0,20,3,19,0,4057,0,2,18,143,0,4,59,935,318,83,95,542,4062,7,291,79,1872,2070,84,43,0,0,0,1,0,0,0,1,853,25823,10433,7135,1872,1973,59
32,STA_HEM,5097,0,2831,0,8,9,0,392,1,58,0,1,3404,506,0,0,34,2,0,1,0,2,13,0,36,0,2854,0,0,17,221,27,1,144,1153,281,18,4,26,4318,49,413,34,1819,1454,74,198,0,0,0,86,0,0,0,0,279,25865,12718,6368,1819,1482,144
33,STA_SWE,2713,0,329,0,1,0,0,1246,1,12,0,12,4317,437,1,7,370,0,0,1,0,2,35,0,12,1,1148,0,0,12,1,1,1,34,1141,184,5,0,7,10632,49,618,74,1142,920,98,2,2,3,0,188,0,0,1,0,4,25764,9275,12398,1142,1337,34
