,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Turnips,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,850,0,53,0,4,5,1,3,4,7,0,0,1285,3777,0,0,1,0,0,0,0,0,0,0,97,0,195,3,0,0,5,6,0,0,179,3426,523,114,23,258,23809,827,10910,399,8398,1781,267,3,0,0,0,0,0,0,0,0,3,0,0,57216,2330,38251,8398,4344,179
1,DIP_FLE,12107,0,1096,0,34,6,2,268,39,260,0,2,9333,4199,2,0,9,0,0,0,1,0,0,0,62,0,642,0,0,8,21,5,0,0,13,2472,441,32,0,42,17957,426,2532,281,3550,1660,87,8,0,0,0,3,0,2,0,4,0,0,0,57606,23272,22985,3550,2987,13
2,DIP_CUR,5052,263,219,0,10,10,0,350,29,43,0,0,4312,3935,7,0,6,0,0,0,5,0,0,0,21,0,309,0,0,0,13,14,0,0,28,2291,318,89,92,37,22016,1137,8600,247,6573,955,137,178,0,0,0,0,0,5,1,0,0,0,0,57302,10538,33129,6573,2827,28
3,GAB_STE,6829,111,64,0,385,0,0,40,355,1,0,0,5650,3123,0,0,0,0,2,0,30,0,0,0,12,81,881,0,0,7,0,0,0,0,778,2476,2228,1518,527,886,16986,2572,3732,70,6306,2457,321,56,0,0,0,0,0,0,0,13,3,0,0,58500,13639,27024,6306,7635,778
4,SMI_CRO,4853,0,1890,0,0,482,0,41,4,70,0,0,975,22691,0,0,13,0,2,0,0,0,0,0,4,5,1057,0,0,0,0,2,0,0,46,1981,629,50,0,9,9834,448,1982,69,9895,975,59,0,0,0,0,0,0,0,0,0,1,0,0,58067,8342,13376,9895,2669,46
5,SMI_CAN,6349,2,431,0,0,2,0,7,25,493,0,0,6668,9688,0,0,1,0,2,8,0,0,0,0,9,6,338,0,0,1,0,0,0,0,319,2114,526,76,6,53,15893,842,1522,118,7640,4716,260,1,0,0,0,0,0,0,0,0,3,0,0,58119,14008,23404,7640,2775,319
6,SMI_KEL,12798,0,4812,0,0,0,0,9,3,12,0,0,928,10793,0,0,0,3,0,0,0,0,0,0,1,0,1459,0,0,1,0,6,0,0,1708,1687,1330,493,29,13,11222,1198,2035,84,5151,2370,137,0,0,0,0,0,0,0,0,0,0,0,0,58282,18573,17059,5151,3552,1708
7,SMI_COB,2803,21,38,0,1,0,0,26,8,3,0,0,1554,9810,2,0,0,4,0,0,0,0,0,0,10,3,267,0,0,0,2,0,0,0,138,3643,3503,1931,560,66,18259,1246,7876,51,4663,1096,124,0,0,7,0,0,0,0,0,5,3,0,0,57723,4490,28718,4663,9703,138
8,SMI_DOU,2643,0,747,0,0,1,0,6,12,47,0,0,3105,10950,0,0,0,0,0,0,0,0,0,0,3,2,2379,0,0,0,0,4,0,0,912,5226,3114,2107,444,27,17924,686,1158,72,5980,848,60,2,0,0,0,0,0,0,0,0,0,0,0,58459,6572,20775,5980,10918,912
9,SMI_MCC,5991,3,845,0,0,6,0,7,2,12,0,0,2251,13261,2,0,9,0,2,2,0,0,0,0,71,0,2138,0,0,0,0,1,0,0,32,2167,491,22,3,7,18063,1019,1307,69,9248,1482,57,1,0,1,0,0,0,0,0,0,0,0,0,58572,9206,22004,9248,2690,32
10,SMI_HOL,7966,0,27,0,0,0,0,0,9,9,0,0,1724,17377,0,0,0,0,0,0,2,0,0,0,0,3,2055,0,0,26,0,0,0,0,1228,2309,588,92,31,187,11310,1391,6371,16,2169,3169,105,0,0,0,0,0,0,0,0,10,0,0,0,58174,9776,22549,2169,3207,1228
11,DIP_PAT,17561,0,3581,0,12,0,3,1739,37,24,0,0,12819,2471,0,0,18,0,2,0,5,0,0,0,14,2,3199,2,0,29,18,8,0,0,73,1913,616,133,15,236,7995,51,142,170,3320,1850,109,6,0,0,0,0,0,0,0,0,2,0,0,58175,35882,10553,3320,2913,73
12,MIL_YOD,9039,3,2126,0,8,14,2,127,23,62,0,0,12687,3099,4,0,157,0,0,0,0,0,0,0,12,4,950,0,0,2,0,5,0,0,9,2664,246,34,0,34,16394,340,463,509,8015,1135,175,9,0,0,0,0,0,1,0,0,0,0,0,58352,24285,19050,8015,2978,9
13,MIL_CHA,13605,0,3279,0,4,13,0,312,0,49,0,2,8855,1437,0,0,51,0,0,0,0,0,0,0,2,0,759,0,0,4,8,2,0,0,69,2589,228,13,0,28,18385,1208,1198,237,5588,453,36,1,0,0,0,0,0,0,0,0,0,0,0,58415,26187,21545,5588,2858,69
14,MIL_MCC,10136,0,1444,0,0,2,0,736,0,55,0,0,4862,2369,0,0,482,0,0,0,0,0,0,0,4,0,458,0,0,1,0,15,0,0,133,3048,1318,482,165,52,20461,1385,1705,289,5821,2658,121,8,0,0,0,0,0,0,0,0,1,0,0,58211,17746,26671,5821,5065,133
15,KAT_SAU,3231,46,145,1,0,101,0,11,13,134,3,2,859,10039,0,0,231,0,0,0,0,0,0,0,68,0,473,2,0,2,2,0,0,0,11,2946,423,74,8,9,23551,3383,5447,73,5213,112,8,2,0,0,0,0,0,0,0,0,0,0,0,56623,4853,32583,5213,3460,11
16,KAT_SAU_2,4067,46,203,1,0,171,0,20,13,307,3,2,801,12054,0,0,333,0,0,0,0,0,0,0,127,0,425,2,0,6,2,3,0,2,9,2813,125,13,2,12,21835,2597,4431,53,6059,80,11,0,0,0,0,0,0,0,0,0,0,0,0,56628,6107,29019,6059,2965,11
17,KAT_TEE,2850,0,107,0,0,0,6,8,0,1,0,0,1891,5232,0,0,24,105,0,0,0,0,0,0,6,0,704,0,0,2,4,3,0,0,64,2009,186,17,0,6,29534,3437,7108,14,3144,555,98,1,0,0,3,0,0,0,0,1,5,0,0,57125,5017,40752,3144,2218,64
