,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,9,0,0,0,0,0,0,0,0,0,0,0,15,193,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,104,8,0,0,0,514,2,300,2,401,27,1,0,0,0,0,0,0,0,1588,27,846,401,112,0
1,DIP_FLE,301,0,30,0,0,0,0,0,0,0,0,0,597,35,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,64,8,0,0,0,248,0,5,5,208,90,6,0,0,0,0,0,0,0,1603,930,354,208,72,0
2,DIP_CUR,554,0,18,0,0,3,0,89,10,3,0,0,139,104,0,2,0,0,0,0,0,0,0,0,41,0,0,0,3,3,0,0,112,16,0,0,0,218,8,35,3,125,12,0,95,0,0,0,0,0,0,1593,919,276,125,128,0
3,GAB_STE,207,0,0,0,0,0,0,0,9,0,0,0,174,49,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,22,37,10,1,13,425,406,70,3,128,47,7,0,0,0,0,0,0,0,1627,392,971,128,83,0
4,SMI_CRO,372,0,337,0,0,193,0,4,0,3,0,0,13,434,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,39,13,0,0,0,48,0,7,0,111,3,0,0,0,0,0,0,0,0,1611,922,58,111,52,0
5,SMI_CAN,284,0,10,0,0,0,0,0,0,0,0,0,81,91,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,71,78,38,6,41,627,14,12,24,180,46,5,0,0,0,0,0,0,0,1616,375,769,180,234,0
6,SMI_KEL,192,0,171,0,0,0,0,0,0,0,0,0,7,281,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,92,12,0,0,0,582,40,98,0,75,16,2,0,0,0,0,0,0,0,1621,370,738,75,104,0
7,SMI_COB,207,5,0,0,0,0,0,2,0,0,0,0,186,247,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,156,147,64,4,2,294,11,81,2,106,67,5,0,0,0,0,0,0,0,1606,400,462,106,373,0
8,SMI_DOU,42,0,123,0,0,0,0,5,0,0,0,0,131,699,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,111,13,5,0,0,188,7,11,0,263,1,0,0,0,0,0,0,0,0,1625,301,207,263,129,0
9,SMI_MCC,372,0,146,0,0,0,0,0,0,0,0,0,85,551,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,42,22,2,0,0,112,1,0,2,263,1,2,0,0,0,0,0,0,0,1626,603,118,263,66,0
10,SMI_HOL,399,0,1,0,0,0,0,0,0,0,0,0,114,875,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,34,4,0,0,0,107,3,45,0,22,8,0,0,0,0,0,0,0,0,1617,514,163,22,38,0
11,DIP_PAT,470,0,13,0,0,0,0,0,0,0,0,0,490,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,491,1,6,8,1,109,8,0,0,0,0,0,0,0,1618,973,623,1,0,0
12,MIL_YOD,289,0,274,0,0,0,0,1,0,0,0,0,248,36,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,663,0,1,4,40,0,0,0,0,0,0,0,0,0,1622,812,668,40,0,0
13,MIL_CHA,711,0,109,0,0,1,0,0,0,0,0,0,418,6,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,145,2,0,0,2,112,0,0,4,98,6,0,0,0,0,0,0,0,0,1624,1240,124,98,149,0
14,MIL_MCC,684,0,227,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,1,0,0,0,410,36,46,1,60,108,8,0,0,0,0,0,0,0,1617,934,609,60,11,0
15,KAT_SAU,392,2,43,0,0,14,0,0,0,2,2,0,22,294,0,110,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,68,0,0,0,0,397,19,101,3,70,1,0,0,0,0,0,0,0,0,1574,587,521,70,68,0
16,KAT_SAU_2,301,30,12,1,0,51,0,0,0,36,0,0,143,467,0,0,0,0,0,0,0,0,8,0,34,0,0,0,0,0,0,0,107,0,0,0,0,160,7,48,5,162,4,2,0,0,0,0,0,0,0,1578,582,226,162,107,0
17,KAT_TEE,155,0,1,0,0,0,0,0,0,0,0,0,229,181,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,84,15,0,0,0,645,13,110,0,76,61,7,0,0,0,0,0,0,0,1587,385,836,76,99,0
18,KAT_TEE_2,188,0,3,0,0,0,2,4,0,0,0,0,70,201,0,16,94,0,0,0,0,0,0,0,191,0,0,2,0,0,0,0,50,0,0,0,0,582,30,82,0,68,0,2,1,0,0,0,1,0,0,1587,381,696,68,50,0
19,KAT_HAB_2,164,0,139,0,0,0,0,2,0,3,0,0,31,726,0,8,4,0,0,0,0,0,0,0,121,0,0,6,0,0,0,0,84,5,0,0,8,158,50,34,0,55,2,1,0,0,0,0,0,0,0,1601,357,253,55,97,0
20,KAT_HAB,583,0,152,0,0,2,0,0,0,0,0,0,9,193,0,0,1,0,0,0,0,0,0,0,12,0,0,3,50,0,0,0,135,5,0,0,0,299,0,55,1,90,2,4,0,0,0,0,0,0,0,1596,800,361,90,140,0
21,KAT_BAR,412,0,9,0,1,0,0,6,2,2,0,0,44,50,0,108,0,0,0,0,0,0,2,0,24,0,0,0,9,8,0,39,88,71,58,2,20,309,15,156,6,74,38,16,0,0,0,0,0,0,0,1569,603,560,74,239,39
22,SMI_LAT,415,0,4,0,0,0,0,3,0,95,0,0,301,66,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,128,14,1,0,0,423,0,14,3,127,4,1,0,0,0,0,0,0,0,1606,818,445,127,143,0
23,SMI_DUR,439,0,34,0,2,7,0,0,0,0,0,0,18,99,0,6,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2,77,20,1,0,2,439,35,28,25,153,186,8,0,0,0,3,0,0,0,1626,509,723,153,100,2
24,SMI_HOF,306,0,9,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,61,78,47,1,0,0,536,51,287,4,6,154,22,0,0,0,0,0,0,0,1587,327,1054,6,126,61
25,SMI_JOH,527,0,16,0,0,1,0,0,0,0,0,0,183,64,0,4,0,2,0,0,0,0,10,0,14,0,0,0,0,0,0,0,66,18,7,3,1,435,6,14,15,201,36,1,0,0,0,0,0,0,0,1624,743,508,201,95,0
26,SMI_JOH_2,45,0,52,0,0,488,0,2,2,11,0,0,62,20,0,6,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,91,72,6,0,0,0,485,31,21,17,83,75,5,0,0,0,0,0,0,0,1629,668,634,83,78,91
27,GAB_ALL,10,0,0,0,0,0,0,0,0,0,0,0,17,44,0,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,22,114,144,24,7,2,441,18,284,0,50,415,10,0,0,0,0,0,0,0,1618,30,1170,50,291,22
28,KAT_JEF,188,0,7,0,0,0,0,0,0,0,0,0,57,264,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,68,4,0,0,6,453,148,170,0,175,23,0,0,0,0,0,0,0,0,1582,252,800,175,78,0
29,KAT_JEF_2,220,0,3,0,0,1,0,0,0,1,0,0,35,448,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,4,73,18,2,0,5,314,7,93,0,130,182,31,0,0,0,0,0,0,0,1582,260,632,130,98,4
30,STA_WIL,279,0,11,0,0,0,0,116,0,2,0,0,448,23,0,4,0,0,0,0,0,0,1,0,111,0,0,0,0,0,0,0,132,11,0,0,0,221,0,10,3,185,63,8,0,0,0,0,0,0,0,1628,861,305,185,143,0
31,STA_HEM_2,223,0,39,0,0,0,0,144,4,0,0,0,360,32,0,4,0,0,0,0,0,2,0,0,256,0,0,4,8,0,0,1,37,32,10,3,1,149,0,16,5,51,81,5,5,0,0,0,0,0,142,1614,935,257,51,83,1
32,STA_HEM,656,0,22,0,0,0,0,1,0,0,0,0,69,53,0,0,0,0,0,0,0,0,0,0,34,0,0,0,121,0,0,11,117,12,0,0,0,228,0,33,0,176,80,4,0,0,0,0,0,0,0,1617,869,345,176,129,11
33,STA_SWE,147,0,0,0,0,0,0,296,0,0,0,1,583,39,0,0,0,0,0,0,0,0,0,0,50,0,0,1,0,0,0,10,132,29,0,0,0,120,0,13,2,115,41,29,0,0,0,0,0,0,0,1608,1028,205,115,161,10
34,STA_COL,805,0,37,0,0,0,0,1,0,0,0,0,131,4,0,14,0,0,0,0,0,0,2,0,397,0,0,6,0,3,0,0,32,31,0,0,5,44,0,36,13,56,14,0,0,0,0,0,0,0,7,1638,1006,112,56,68,0
35,WIS_COO_2,317,0,0,0,0,0,0,0,0,0,0,0,87,153,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,6,97,40,10,0,0,540,1,13,0,48,227,8,0,0,0,0,0,0,0,1557,406,789,48,147,6
36,WIS_COO,482,0,8,0,0,0,0,0,0,0,0,0,389,111,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,22,0,0,0,0,189,0,5,1,308,20,6,1,0,0,0,0,0,0,1565,880,221,308,22,0
37,LET_NOB,296,0,14,0,2,0,0,5,0,0,0,0,710,24,0,30,1,0,0,0,1,5,0,0,179,0,0,3,0,0,0,3,61,31,10,5,5,165,0,12,2,46,3,0,0,0,0,0,0,0,0,1613,1067,187,46,112,3
38,LET_TAB,135,0,0,0,0,0,0,0,0,0,0,0,801,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,128,5,4,0,0,416,7,57,2,34,2,0,0,0,0,0,0,0,0,1605,936,484,34,137,0
39,WIS_HIG,13,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6,2,3,77,0,0,0,4,146,130,102,6,7,843,0,11,0,98,86,0,0,0,0,0,0,0,0,1554,100,947,98,391,4
