,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Other Small Grains,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Other Tree Crops,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Peppers,Greens,Plums,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,399,5,52,0,6,0,0,66,0,1,4,6,0,0,1313,3028,1,0,3,0,0,4,0,0,0,0,0,64,0,9,0,0,2,6,6,0,0,155,3814,1161,276,72,239,21017,1140,10607,52,11760,1705,182,55,0,0,0,0,0,0,0,0,6,0,0,57216,1999,34942,11760,5562,155
1,DIP_FLE,11650,4,798,0,37,1,11,888,0,0,22,83,0,2,9684,4079,0,0,13,5,0,0,0,0,0,0,0,70,0,24,0,0,3,18,6,0,0,14,1411,1745,282,21,22,16946,605,1834,70,5721,1439,55,7,0,0,0,0,2,0,2,32,0,0,0,57606,23338,20971,5721,3481,14
2,DIP_CUR,6493,4,225,0,2,0,0,36,0,286,4,5,0,0,3075,2772,0,0,9,0,1,9,4,0,0,0,0,15,3,23,0,0,0,1,8,0,0,29,2170,733,216,124,18,20754,1472,7898,71,9626,1026,70,6,0,0,0,0,0,0,105,6,3,0,0,57302,10300,31309,9626,3261,29
3,GAB_STE,6096,75,198,1,302,0,0,2,0,0,337,27,0,0,5542,2931,0,0,0,0,0,0,0,0,0,0,0,10,120,30,0,0,6,2,0,0,0,741,2234,2358,1926,861,687,14291,3256,3621,53,10117,2474,187,5,0,0,0,0,0,0,0,4,6,0,0,58500,12733,24569,10117,8066,741
4,SMI_CRO,6133,0,1859,0,0,235,0,376,0,0,333,93,0,0,2391,19684,0,0,0,0,0,0,0,0,0,0,0,12,8,6,0,0,0,0,0,0,0,57,1968,982,212,17,7,8328,468,2345,36,11152,1298,20,22,0,0,0,0,0,0,0,24,1,0,0,58067,11487,12502,11152,3186,57
5,SMI_CAN,5947,0,101,0,0,0,0,94,0,0,29,73,0,0,7455,8172,2,0,0,0,0,0,0,0,0,0,0,5,0,19,0,0,2,0,0,0,0,310,1985,815,275,42,49,14261,853,1456,34,10980,4867,290,0,0,0,0,0,0,0,0,3,0,0,0,58119,13711,21810,10980,3166,310
6,SMI_KEL,15179,2,2560,0,0,0,0,19,0,0,0,2,0,0,2036,9859,0,0,0,0,0,0,0,0,0,0,0,1,0,32,0,0,0,0,2,0,0,1686,1648,1534,784,62,10,9772,1368,1941,59,6953,2571,89,107,0,0,0,0,0,0,0,6,0,0,0,58282,19914,15810,6953,4038,1686
7,SMI_COB,3523,7,77,0,6,0,0,4,0,0,0,2,0,0,5265,1445,2,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,2,2,0,0,0,128,3519,3193,2807,786,26,16280,1346,8055,25,9917,1239,51,0,0,0,0,0,0,0,0,0,3,0,0,57723,8904,27022,9917,10331,128
8,SMI_DOU,3643,1,2053,0,0,0,0,49,0,0,5,7,0,0,3384,9811,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,2,0,0,0,0,920,4691,2934,3002,760,14,16575,884,1040,39,7612,975,42,5,0,0,0,0,0,0,0,1,0,0,0,58459,9153,19569,7612,11401,920
9,SMI_MCC,6025,0,2871,0,0,0,0,40,0,0,24,7,0,0,2592,11530,0,0,0,0,0,0,0,0,0,0,0,4,0,56,0,0,0,0,0,0,0,46,2127,770,193,32,8,16777,994,1225,79,11368,1753,49,0,0,0,0,0,0,0,0,2,0,0,0,58572,11565,20885,11368,3130,46
