,Name,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,17,0,0,0,0,0,0,0,0,0,11,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,21,0,0,0,438,6,301,0,521,21,0,0,0,0,0,0,0,1588,28,766,521,138,0
1,DIP_FLE,530,0,5,0,0,0,0,0,0,0,373,19,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,38,38,9,0,0,232,2,6,2,285,56,5,0,0,0,0,0,0,1603,911,303,285,85,0
2,DIP_CUR,210,1,83,0,0,0,284,0,2,0,322,82,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,91,45,6,0,0,169,16,34,0,241,4,0,0,0,0,0,0,0,1593,905,223,241,142,0
3,GAB_STE,262,0,2,0,0,0,0,0,0,0,116,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,24,42,20,8,13,292,472,94,0,194,46,2,0,0,0,0,0,0,1627,381,919,194,107,2
4,SMI_CRO,626,0,351,0,180,13,0,5,1,0,22,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,19,4,0,0,28,0,12,0,153,6,0,0,0,0,0,0,0,1611,1198,46,153,67,0
5,SMI_CAN,227,0,6,0,0,0,0,0,0,0,152,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66,59,63,16,34,548,15,15,1,267,64,9,0,0,0,0,0,0,1616,385,686,267,238,6
6,SMI_KEL,262,0,66,0,0,0,0,0,0,0,35,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,23,4,0,0,574,41,82,0,102,20,0,18,0,0,0,0,0,1621,381,717,102,115,0
7,SMI_COB,103,0,4,0,0,1,0,0,0,0,321,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,157,106,4,0,264,5,64,0,334,62,1,0,0,0,0,0,0,1606,429,396,334,387,0
8,SMI_DOU,104,0,79,0,0,0,0,0,0,0,182,635,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,123,24,5,2,0,157,5,10,0,289,8,0,0,0,0,0,0,0,1625,367,180,289,154,0
9,SMI_MCC,550,0,90,0,0,0,0,0,0,0,59,437,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,44,30,10,2,0,93,0,0,6,294,7,0,0,0,0,0,0,0,1626,699,106,294,86,0
