Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_25,VALUE_26,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_47,VALUE_49,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_222,VALUE_228,VALUE_229,VALUE_242,VALUE_243
POV_DUN,,,,,,"-1","0","0",,,"18","0","0","0","1","0","0","2","0","0","0","0","0","0","93","625","0","0","0","0","0","0","0","2","0","3","0","0","0","1","0","5","576","205","46","8","7","1876","80","984","6","1599","209","14","0","0","0","0","0","2","0"
DIP_FLE,,,,,,"-1","0","0",,,"1431","0","36","0","19","0","4","2","0","0","0","0","0","0","2389","505","0","0","8","0","0","0","0","17","0","2","0","0","2","0","0","2","77","152","22","4","0","817","2","19","6","771","90","8","0","0","0","2","12","0","0"
DIP_CUR,,,,,,"-1","0","0",,,"2181","1","107","0","0","0","0","7","0","286","0","2","0","0","1040","291","0","0","0","0","6","0","0","6","0","0","0","0","0","6","0","0","267","125","60","39","1","943","25","93","3","830","41","4","5","0","0","0","0","0","0"
GAB_STE,,,,,,"-1","0","0",,,"726","0","4","0","0","0","0","0","0","0","2","0","0","0","604","132","0","0","0","0","0","0","0","2","1","4","0","0","0","0","0","2","82","81","26","8","43","2189","1189","495","6","702","188","13","0","0","0","0","0","0","0"
SMI_CRO,,,,,,"-1","0","0",,,"1279","0","650","0","0","180","0","231","0","0","249","91","0","0","139","1806","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","129","118","41","8","0","402","46","78","6","847","146","4","0","0","0","0","2","0","0"
SMI_CAN,,,,,,"-1","0","0",,,"772","0","6","0","0","0","0","15","0","0","6","35","0","0","1366","684","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","16","216","144","89","16","34","1485","20","146","3","1248","137","17","0","0","0","0","0","0","0"
SMI_KEL,,,,,,"-1","0","0",,,"2066","0","349","0","0","0","0","0","0","0","0","0","0","0","248","1167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","196","130","19","2","0","1011","260","379","0","535","93","1","18","0","0","0","1","0","0"
SMI_COB,,,,,,"-1","0","0",,,"862","0","13","0","0","0","0","1","0","0","0","0","0","0","1017","227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","425","582","498","52","0","751","19","155","3","1654","139","13","0","0","0","0","0","0","0"
SMI_DOU,,,,,,"-1","0","0",,,"320","0","180","0","0","0","0","0","0","0","0","0","0","0","791","2119","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","554","155","52","14","0","1113","104","122","4","914","41","6","0","0","0","0","0","0","0"
SMI_MCC,,,,,,"-1","0","0",,,"742","0","394","0","0","0","0","0","0","0","0","0","0","0","310","1735","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","2","199","112","21","4","0","1585","26","45","13","1243","70","3","0","0","0","0","0","0","0"
SMI_HOL,,,,,,"-1","0","0",,,"1113","0","71","0","0","0","0","0","0","0","0","0","0","0","813","1857","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","251","55","22","6","2","654","120","840","4","536","114","1","0","0","0","0","2","0","0"
DIP_PAT,,,,,,"-1","0","0",,,"2653","2","353","0","10","0","0","1024","0","0","0","0","0","0","739","122","0","0","9","3","0","0","0","1","0","7","0","0","0","0","0","0","72","190","47","2","1","820","3","10","2","237","148","3","2","0","0","0","2","2","2"
MIL_YOD,,,,,,"-1","0","0",,,"1197","2","701","0","0","0","0","169","0","0","0","2","0","0","961","229","0","0","8","0","0","0","0","1","0","3","0","0","0","0","0","0","234","36","13","3","0","1781","0","7","5","1111","11","1","1","0","0","2","0","0","0"
MIL_CHA,,,,,,"-1","0","0",,,"2777","0","549","0","0","0","0","78","0","0","0","0","0","0","1014","99","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","248","37","40","1","0","1011","4","21","0","564","22","0","23","3","0","0","0","0","0"
MIL_MCC,,,,,,"-1","0","0",,,"2389","0","221","0","0","4","0","206","0","0","0","0","0","0","371","203","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","237","39","8","0","0","1364","94","99","9","760","448","15","0","0","0","0","0","0","0"
KAT_SAU,,,,,,"-1","0","0",,,"651","1","26","0","0","0","0","31","0","0","0","0","0","0","158","1240","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","2","390","57","11","6","0","2114","154","604","2","833","5","0","1","0","0","0","0","0","0"
