Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_12,VALUE_21,VALUE_24,VALUE_26,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_43,VALUE_47,VALUE_49,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_228,VALUE_229,VALUE_242,VALUE_243
POV_DUN,,,,,,"-1","0","0",,,"17","0","0","0","0","0","0","0","0","0","11","135","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117","21","0","0","0","438","6","301","0","521","21","0","0","0","0","0","0","0"
DIP_FLE,,,,,,"-1","0","0",,,"530","0","5","0","0","0","0","0","0","0","373","19","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","38","38","9","0","0","232","2","6","2","285","56","5","0","0","0","0","0","0"
DIP_CUR,,,,,,"-1","0","0",,,"210","1","83","0","0","0","284","0","2","0","322","82","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","91","45","6","0","0","169","16","34","0","241","4","0","0","0","0","0","0","0"
GAB_STE,,,,,,"-1","0","0",,,"262","0","2","0","0","0","0","0","0","0","116","37","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","24","42","20","8","13","292","472","94","0","194","46","2","0","0","0","0","0","0"
SMI_CRO,,,,,,"-1","0","0",,,"626","0","351","0","180","13","0","5","1","0","22","147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","19","4","0","0","28","0","12","0","153","6","0","0","0","0","0","0","0"
SMI_CAN,,,,,,"-1","0","0",,,"227","0","6","0","0","0","0","0","0","0","152","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","66","59","63","16","34","548","15","15","1","267","64","9","0","0","0","0","0","0"
SMI_KEL,,,,,,"-1","0","0",,,"262","0","66","0","0","0","0","0","0","0","35","306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","23","4","0","0","574","41","82","0","102","20","0","18","0","0","0","0","0"
SMI_COB,,,,,,"-1","0","0",,,"103","0","4","0","0","1","0","0","0","0","321","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","120","157","106","4","0","264","5","64","0","334","62","1","0","0","0","0","0","0"
SMI_DOU,,,,,,"-1","0","0",,,"104","0","79","0","0","0","0","0","0","0","182","635","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","123","24","5","2","0","157","5","10","0","289","8","0","0","0","0","0","0","0"
SMI_MCC,,,,,,"-1","0","0",,,"550","0","90","0","0","0","0","0","0","0","59","437","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","44","30","10","2","0","93","0","0","6","294","7","0","0","0","0","0","0","0"
SMI_HOL,,,,,,"-1","0","0",,,"466","0","0","0","0","0","0","0","0","0","168","701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","14","1","0","0","62","2","59","0","105","7","0","0","0","0","0","0","0"
DIP_PAT,,,,,,"-1","0","0",,,"788","0","24","0","0","11","0","0","0","0","120","46","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","4","0","0","0","493","2","5","0","42","77","0","0","0","0","0","0","0"
MIL_YOD,,,,,,"-1","0","0",,,"270","0","202","0","0","18","0","0","0","0","349","56","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","620","0","1","3","96","0","1","0","0","2","0","0","0"
MIL_CHA,,,,,,"-1","0","0",,,"723","0","81","0","0","25","0","0","0","0","388","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106","22","15","0","0","108","0","0","0","121","5","0","9","0","0","0","0","0"
MIL_MCC,,,,,,"-1","0","0",,,"935","0","4","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1","0","0","0","372","46","48","3","75","115","5","0","0","0","0","0","0"
KAT_SAU,,,,,,"-1","0","0",,,"372","0","12","0","0","29","0","0","0","0","79","361","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","12","6","2","0","372","25","83","0","167","1","0","1","0","0","0","0","0"
KAT_SAU_2,,,,,,"-1","0","0",,,"450","0","0","0","0","7","0","0","0","0","70","445","0","78","0","0","0","0","1","0","0","0","0","0","0","0","0","88","12","8","0","0","86","15","64","0","254","0","0","0","0","0","0","0","0"
KAT_TEE,,,,,,"-1","0","0",,,"376","0","0","0","0","0","0","0","0","0","34","117","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","93","20","11","0","0","523","6","111","6","214","65","9","0","0","0","0","0","0"
KAT_TEE_2,,,,,,"-1","0","0",,,"547","0","2","0","0","0","0","0","0","0","26","115","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","61","0","2","0","0","467","22","137","3","200","2","1","0","0","0","0","0","0"
KAT_HAB_2,,,,,,"-1","0","0",,,"720","0","43","0","0","14","0","0","4","0","21","251","0","9","2","0","2","8","0","0","40","0","0","0","0","0","0","79","17","13","7","4","117","48","49","0","148","5","0","0","0","0","0","0","0"
KAT_HAB,,,,,,"-1","0","0",,,"712","0","18","0","0","0","0","0","4","0","5","191","0","0","3","0","0","0","0","0","2","0","0","26","0","0","0","145","24","2","4","2","236","0","34","0","184","4","0","0","0","0","0","0","0"
KAT_BAR,,,,,,"-1","0","0",,,"536","0","3","0","0","2","0","0","1","0","17","27","0","0","0","0","0","0","4","0","0","0","0","7","0","0","47","92","83","76","3","3","233","13","143","0","244","30","5","0","0","0","0","0","0"
SMI_LAT,,,,,,"-1","0","0",,,"325","0","4","0","0","0","0","0","26","3","410","102","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","126","38","7","1","0","397","0","4","0","158","3","2","0","0","0","0","0","0"
SMI_DUR,,,,,,"-1","0","0",,,"585","0","19","0","0","0","0","0","0","0","30","67","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","73","27","15","3","2","410","28","23","7","167","168","0","0","0","0","0","0","0"
SMI_HOF,,,,,,"-1","0","0",,,"126","0","0","0","0","0","0","0","0","0","168","17","0","0","0","0","0","0","1","0","0","0","0","0","0","0","56","58","70","3","0","0","475","39","264","8","92","187","23","0","0","0","0","0","0"
SMI_JOH,,,,,,"-1","0","0",,,"526","0","86","0","0","0","0","0","0","0","84","103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","57","19","22","12","0","388","13","7","0","271","36","0","0","0","0","0","0","0"
SMI_JOH_2,,,,,,"-1","0","0",,,"36","0","38","0","4","75","0","0","0","0","57","11","0","476","0","0","0","0","0","0","0","0","0","0","0","0","96","60","24","11","0","0","410","43","24","7","170","81","6","0","0","0","0","0","0"
GAB_ALL,,,,,,"-1","0","0",,,"3","0","3","0","0","0","0","0","0","0","16","24","0","0","0","0","0","0","2","3","0","0","0","0","0","0","20","122","161","60","11","2","256","54","315","4","169","389","4","0","0","0","0","0","0"
KAT_JEF,,,,,,"-1","0","0",,,"111","0","3","0","0","0","0","0","0","0","50","292","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","21","4","2","3","326","110","274","0","314","15","3","0","0","0","0","0","0"
KAT_JEF_2,,,,,,"-1","0","0",,,"207","0","2","0","0","0","0","0","0","0","89","341","0","4","0","0","0","0","1","0","0","0","0","0","0","0","2","77","33","9","5","5","252","8","76","0","268","167","36","0","0","0","0","0","0"
STA_WIL,,,,,,"-1","0","0",,,"123","0","22","0","0","11","0","0","0","0","772","26","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","156","23","10","0","0","136","0","17","0","255","60","5","8","0","0","0","0","0"
STA_HEM_2,,,,,,"-1","0","0",,,"489","0","21","0","0","194","0","3","12","0","402","19","0","35","0","0","0","2","0","0","0","0","2","5","0","0","1","43","38","18","1","4","122","0","7","0","114","79","1","0","0","0","0","0","2"
STA_HEM,,,,,,"-1","0","0",,,"144","0","17","0","0","161","0","2","0","0","49","34","0","3","0","0","0","0","0","0","0","0","0","73","0","0","4","102","22","15","1","0","222","7","21","0","296","62","5","0","0","0","0","0","377"
STA_SWE,,,,,,"-1","0","0",,,"153","0","5","0","0","8","0","0","0","0","872","44","0","0","0","0","0","0","0","0","2","0","1","0","0","0","10","107","36","2","0","0","85","0","7","1","222","38","15","0","0","0","0","0","0"
STA_COL,,,,,,"-1","0","0",,,"267","0","347","0","0","455","0","7","2","0","68","16","0","2","0","0","0","160","0","0","0","0","1","2","2","0","0","39","54","2","0","0","50","0","16","0","136","2","0","0","0","10","0","0","0"
WIS_COO_2,,,,,,"-1","0","0",,,"348","0","18","0","0","0","0","0","0","0","88","58","0","0","0","0","0","0","0","0","14","0","0","0","0","0","4","36","77","26","0","0","446","1","38","3","182","211","7","0","0","0","0","0","0"
WIS_COO,,,,,,"-1","0","0",,,"600","0","15","0","0","0","0","1","0","0","254","90","0","0","0","0","0","0","0","0","7","0","5","0","0","0","6","33","3","0","0","0","136","0","0","0","400","13","0","2","0","0","0","0","0"
LET_NOB,,,,,,"-1","0","0",,,"781","1","21","6","0","38","0","0","0","0","249","22","0","69","0","0","0","6","0","0","2","0","3","0","0","0","3","71","11","25","14","5","161","0","4","0","116","5","0","0","0","0","0","0","0"
LET_TAB,,,,,,"-1","0","0",,,"482","0","0","0","0","0","0","0","0","0","461","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","135","5","9","0","0","364","7","74","0","56","9","0","0","0","0","0","0","0"
WIS_HIG,,,,,,"-1","0","0",,,"3","0","0","0","0","0","0","0","0","0","7","4","0","0","0","5","0","0","0","0","11","1","29","0","0","0","6","117","124","161","28","1","726","0","22","0","229","77","3","0","0","0","0","0","0"
WIS_MEG,,,,,,"-1","0","0",,,"59","7","10","74","0","3","0","102","22","0","38","76","0","0","0","0","0","4","0","0","9","0","12","0","0","0","28","119","247","90","6","4","282","0","8","5","326","34","0","0","0","0","7","0","0"
WIS_KEN,,,,,,"-1","0","0",,,"5","0","1","0","0","0","0","0","0","0","5","10","0","0","0","0","0","0","0","0","17","1","91","0","0","0","76","169","202","128","37","4","431","4","5","4","298","41","22","0","0","0","0","0","0"
ZUE_REE,,,,,,"-1","0","0",,,"206","0","289","12","0","149","0","3","7","0","189","44","0","52","0","0","0","0","0","0","2","0","0","13","0","0","0","63","20","9","0","0","231","0","26","0","250","29","1","0","1","0","0","0","14"
DEG_PER_STRIP,,,,,,"-1","0","0",,,"249","0","245","0","0","107","0","0","0","0","365","111","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","61","13","2","3","0","167","0","0","3","273","0","0","0","0","0","0","3","0"
DEG_FOU_WOOD,,,,,,"-1","0","0",,,"709","0","7","0","0","32","0","18","0","0","202","113","0","0","0","0","0","0","0","0","1","0","0","0","4","1","0","108","46","1","0","0","69","0","1","1","286","2","0","0","0","0","0","0","0"
DEG_DIE_HILL,,,,,,"-1","0","0",,,"842","0","9","0","0","0","0","0","0","0","61","69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","58","4","0","0","184","0","8","0","321","7","0","0","0","0","0","0","0"
