,Name,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,11,0,3,0,0,0,0,0,0,15,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,21,0,0,0,419,2,304,5,526,22,1,0,0,0,0,0,0,1588,171,753,526,138,0.0
1,DIP_FLE,706,0,11,0,0,0,0,0,0,191,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,9,0,0,255,0,6,2,278,40,2,0,0,0,0,0,0,1603,931,305,278,89,0.0
2,DIP_CUR,540,0,50,0,0,0,0,0,0,261,125,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,91,45,6,0,0,164,6,38,1,255,1,2,0,0,0,0,0,0,1593,978,212,255,142,0.0
3,GAB_STE,252,0,0,0,0,0,0,0,0,113,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,42,20,8,6,378,391,106,0,211,31,2,0,0,0,0,0,0,1627,408,914,211,100,0.0
4,SMI_CRO,712,0,344,0,0,1,178,16,0,21,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,19,4,0,0,26,0,2,0,168,1,0,0,0,0,0,0,0,1611,1347,29,168,67,0.0
5,SMI_CAN,217,0,13,0,0,0,0,0,0,139,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,67,59,63,16,29,552,8,16,9,308,36,3,0,0,0,0,0,0,1616,442,653,308,234,0.0
6,SMI_KEL,98,0,179,0,0,0,0,0,0,78,307,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,88,23,4,0,0,567,38,97,0,128,9,0,0,0,0,0,0,0,1621,666,711,128,115,0.0
7,SMI_COB,55,0,14,0,0,0,0,3,0,373,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,157,106,4,1,220,10,62,4,346,58,1,0,0,0,0,0,0,1606,516,356,346,388,0.0
8,SMI_DOU,55,0,133,0,0,0,0,0,0,133,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,24,5,2,0,158,4,12,0,349,0,0,0,0,0,0,0,0,1625,948,174,349,154,0.0
9,SMI_MCC,324,0,191,0,0,0,0,141,0,38,400,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,41,30,10,2,0,95,0,2,0,339,8,0,0,0,0,2,0,0,1626,1096,105,339,83,0.0
10,SMI_HOL,483,0,16,0,0,0,0,4,0,209,576,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,32,14,1,0,0,67,0,58,2,145,4,0,0,0,0,0,0,0,1617,1293,131,145,47,0.0
11,DIP_PAT,814,0,24,3,0,2,0,0,0,67,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,4,0,0,2,493,0,7,4,34,64,8,0,0,0,0,0,0,1618,996,578,34,11,0.0
12,MIL_YOD,294,0,184,0,0,5,0,3,0,343,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,623,0,3,3,102,0,1,0,0,0,0,0,0,1622,890,630,102,0,0.0
13,MIL_CHA,796,0,48,0,0,0,0,0,0,364,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,125,22,15,0,0,103,0,2,2,123,6,0,0,0,0,0,0,0,1624,1226,113,123,162,0.0
14,MIL_MCC,555,0,367,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,353,42,52,0,68,142,2,0,0,0,0,0,0,1617,948,591,68,10,0.0
