Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_53,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_221,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243
POV_DUN,,,,,,"-1","0","0",,,"17","0","3","0","0","0","0","9","0","0","0","114","583","0","0","0","0","0","0","0","0","0","10","0","7","0","0","0","1","2","6","576","205","46","8","9","1773","34","1073","17","1666","180","18","3","0","0","0","0","0","0","2","0"
DIP_FLE,,,,,,"-1","0","0",,,"1985","0","34","3","30","0","0","8","0","2","0","1809","584","0","0","0","0","0","0","0","0","0","11","0","4","0","0","0","0","0","3","81","152","22","4","0","827","1","23","6","746","60","4","0","0","0","0","0","0","0","0","0"
DIP_CUR,,,,,,"-1","0","0",,,"2231","0","402","0","0","2","0","2","0","0","0","693","573","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","2","0","0","267","126","60","39","3","901","15","118","8","881","25","9","3","0","0","0","0","0","0","0","0"
GAB_STE,,,,,,"-1","0","0",,,"665","0","1","0","0","0","0","0","2","0","0","601","153","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","82","81","26","8","34","2508","947","510","8","763","96","7","0","0","0","0","0","0","4","0","0"
SMI_CRO,,,,,,"-1","0","0",,,"1395","0","948","0","0","11","0","38","185","186","0","144","1613","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","129","118","41","8","0","421","54","49","0","987","127","0","0","0","0","0","0","0","0","0","0"
SMI_CAN,,,,,,"-1","0","0",,,"1047","0","73","0","0","0","0","0","0","0","0","1047","722","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","217","144","89","16","29","1484","13","141","9","1297","108","5","0","0","0","0","0","0","0","0","0"
SMI_KEL,,,,,,"-1","0","0",,,"723","0","1277","0","0","0","0","1","0","0","0","312","1333","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","197","130","19","2","0","988","331","362","4","755","36","0","0","0","0","0","0","0","0","0","0"
SMI_COB,,,,,,"-1","0","0",,,"538","0","36","0","0","1","0","2","0","9","0","1262","270","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","8","427","582","498","52","3","648","36","132","16","1750","131","8","0","0","1","0","0","0","0","0","0"
SMI_DOU,,,,,,"-1","0","0",,,"302","0","237","0","0","0","0","0","0","0","0","589","2101","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","554","155","52","14","0","1112","86","112","2","1154","16","4","0","0","0","0","0","0","0","0","0"
SMI_MCC,,,,,,"-1","0","0",,,"752","0","213","0","0","0","0","3","0","169","0","208","1652","2","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","1","196","112","21","4","0","1629","21","31","0","1447","44","0","0","0","0","0","0","0","2","0","0"
