,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Peas,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,17,0,3,0,0,0,0,9,0,0,0,114,583,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,1,2,6,576,205,46,8,9,1773,34,1073,17,1666,180,18,3,0,0,0,0,0,0,2,0,6362,744,3104,1666,844,0.0
1,DIP_FLE,1985,0,34,3,30,0,0,8,0,2,0,1809,584,0,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,3,81,152,22,4,0,827,1,23,6,746,60,4,0,0,0,0,0,0,0,0,0,6399,4466,921,746,259,0.0
2,DIP_CUR,2231,0,402,0,0,2,0,2,0,0,0,693,573,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,267,126,60,39,3,901,15,118,8,881,25,9,3,0,0,0,0,0,0,0,0,6369,3908,1079,881,495,0.0
3,GAB_STE,665,0,1,0,0,0,0,0,2,0,0,601,153,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,82,81,26,8,34,2508,947,510,8,763,96,7,0,0,0,0,0,0,4,0,0,6499,1429,4110,763,231,0.0
4,SMI_CRO,1395,0,948,0,0,11,0,38,185,186,0,144,1613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,118,41,8,0,421,54,49,0,987,127,0,0,0,0,0,0,0,0,0,0,6454,4520,651,987,296,0.0
5,SMI_CAN,1047,0,73,0,0,0,0,0,0,0,0,1047,722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,217,144,89,16,29,1484,13,141,9,1297,108,5,0,0,0,0,0,0,0,0,0,6460,2889,1789,1297,495,0.0
6,SMI_KEL,723,0,1277,0,0,0,0,1,0,0,0,312,1333,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,197,130,19,2,0,988,331,362,4,755,36,0,0,0,0,0,0,0,0,0,0,6475,3650,1721,755,348,0.0
7,SMI_COB,538,0,36,0,0,1,0,2,0,9,0,1262,270,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,427,582,498,52,3,648,36,132,16,1750,131,8,0,0,1,0,0,0,0,0,0,6412,2119,974,1750,1562,0.0
8,SMI_DOU,302,0,237,0,0,0,0,0,0,0,0,589,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,554,155,52,14,0,1112,86,112,2,1154,16,4,0,0,0,0,0,0,0,0,0,6494,3229,1332,1154,775,0.0
9,SMI_MCC,752,0,213,0,0,0,0,3,0,169,0,208,1652,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,196,112,21,4,0,1629,21,31,0,1447,44,0,0,0,0,0,0,0,2,0,0,6513,3001,1725,1447,333,0.0
10,SMI_HOL,1411,0,29,0,0,0,0,0,0,9,0,829,1411,0,0,5,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,249,55,22,6,0,697,89,854,2,681,108,2,0,0,0,0,0,0,0,0,0,6463,3697,1752,681,332,0.0
11,DIP_PAT,2660,2,515,0,30,0,0,16,0,0,0,1497,164,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,83,192,50,2,6,809,2,14,5,257,122,23,0,0,0,0,0,0,0,2,0,6466,4887,981,257,333,0.0
12,MIL_YOD,1383,7,470,0,0,0,0,79,2,63,0,968,205,0,0,0,0,0,0,0,0,0,2,0,5,0,1,0,2,0,0,240,36,13,3,1,1785,0,7,5,1190,5,5,1,0,0,0,0,0,0,0,0,6478,3183,1808,1190,293,0.0
13,MIL_CHA,2774,0,636,0,3,0,0,6,0,2,0,941,116,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,287,38,40,1,0,1006,2,22,2,595,14,0,0,0,0,0,0,0,0,0,0,6493,4481,1046,595,366,0.0
14,MIL_MCC,1666,0,1083,0,0,0,0,49,0,1,0,398,209,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,239,39,8,0,0,1306,75,90,2,780,520,4,0,0,0,0,0,0,0,0,0,6471,3406,1997,780,286,0.0
15,KAT_SAU,610,0,57,0,0,0,0,4,0,69,0,183,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,57,11,6,1,2106,139,633,2,858,10,0,0,0,0,0,0,0,0,0,0,6290,2077,2891,858,465,0.0
16,KAT_SAU_2,1139,0,5,0,0,27,0,147,0,54,0,101,1416,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,453,60,24,2,1,1286,61,214,1,1038,8,0,0,0,0,0,0,0,0,0,0,6291,3141,1571,1038,540,0.0
17,KAT_TEE,1046,0,8,0,0,0,0,8,0,0,0,166,706,0,0,0,0,0,0,0,0,0,0,0,17,0,2,2,2,0,20,330,81,33,1,0,1956,35,508,0,1107,293,26,0,0,0,0,0,0,0,0,0,6347,1940,2818,1107,445,0.0
18,KAT_TEE_2,740,0,4,0,0,0,0,0,0,0,0,130,320,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,110,3,2,0,0,2579,426,1686,0,332,12,0,0,0,0,0,0,0,0,0,0,6354,1196,4703,332,115,0.0
19,KAT_HAB_2,2244,0,122,0,3,0,0,9,0,1,0,113,877,0,0,29,9,0,0,0,0,0,0,0,17,0,3,9,0,0,2,280,47,23,14,3,1198,224,607,2,500,41,2,0,0,0,2,0,0,0,0,10,6391,3431,2077,500,367,0.0
20,KAT_HAB,1246,0,598,0,0,0,0,8,0,0,0,45,746,0,0,2,0,0,0,0,0,0,0,0,11,0,0,61,0,0,0,1049,53,3,4,3,1069,96,535,1,756,69,7,11,0,0,0,0,0,0,4,0,6377,2721,1780,756,1112,0.0
21,KAT_BAR,756,0,132,0,0,0,0,0,0,1,0,77,213,1,0,193,0,0,0,0,0,0,5,0,2,0,0,18,11,0,249,344,216,169,9,20,1409,61,1304,0,939,136,27,0,0,0,0,0,0,0,0,0,6292,1407,2957,939,758,0.0
22,SMI_LAT,1193,0,206,0,0,0,0,0,4,0,0,1457,295,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,53,524,101,48,12,2,1328,47,127,0,745,250,5,0,0,0,0,0,0,0,0,0,6417,3174,1759,745,687,0.0
23,SMI_DUR,1480,0,86,0,2,0,0,22,3,2,0,346,160,0,0,0,0,0,0,0,0,0,0,0,44,0,7,0,8,0,2,376,138,57,5,5,1823,94,57,9,939,823,3,5,0,0,0,0,0,0,0,0,6496,2121,2814,939,581,0.0
24,SMI_HOF,998,0,47,0,0,0,0,2,0,73,0,310,152,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,133,271,168,17,1,20,1960,81,559,1,1256,264,32,0,0,0,0,0,0,0,0,0,6347,1582,2917,1256,477,0.0
25,SMI_JOH,1720,0,28,0,0,0,0,37,1,0,0,465,336,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,261,124,67,12,2,1613,233,332,3,1021,217,3,0,0,0,0,0,0,0,0,0,6486,2593,2403,1021,466,0.0
26,SMI_JOH_2,423,3,620,0,0,0,0,564,0,2,0,457,151,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,174,175,107,45,3,0,2215,203,200,8,769,346,20,0,0,0,0,0,0,0,0,0,6497,2229,2992,769,330,0.0
27,GAB_ALL,38,0,71,0,0,0,0,0,0,1,0,26,51,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,668,406,519,399,76,13,1449,34,1349,5,426,920,9,0,0,0,0,0,0,0,0,0,6469,196,3779,426,1413,0.0
28,KAT_JEF,443,0,20,0,0,0,0,2,0,0,0,21,1563,0,0,0,1,0,0,0,0,0,33,0,10,0,0,0,0,0,0,229,201,82,14,0,1283,224,801,0,1117,285,2,0,0,0,0,0,0,0,0,0,6331,2083,2595,1117,526,0.0
29,KAT_JEF_2,767,0,18,0,0,0,0,0,0,0,0,116,1002,0,0,0,0,0,0,0,0,0,18,0,13,0,2,2,0,0,9,136,74,28,5,1,1196,63,360,0,827,1445,258,0,0,0,0,0,0,0,0,0,6340,1925,3323,827,244,0.0
30,STA_WIL,1262,2,85,0,0,0,0,87,0,2,0,1697,152,0,0,0,2,0,0,0,0,0,0,0,16,0,3,2,0,0,13,315,42,28,0,4,1382,11,136,0,718,430,3,0,0,0,0,2,90,0,0,0,6484,3386,1966,718,389,0.0
31,STA_HEM_2,1124,0,224,3,3,0,0,722,0,9,3,1195,91,0,0,28,9,0,0,2,0,0,23,0,176,0,7,19,0,0,13,207,146,103,34,147,514,6,84,2,797,481,21,0,0,0,0,0,0,0,0,263,6456,3725,1255,797,637,0.0
32,STA_HEM,1877,0,577,0,0,0,0,237,0,0,1,581,140,0,0,18,0,16,0,0,0,0,4,0,63,0,0,161,23,3,47,329,101,26,3,1,841,1,94,1,909,333,14,0,0,0,0,0,1,0,0,66,6468,3705,1285,909,460,0.0
33,STA_SWE,1921,3,183,0,2,0,0,282,0,2,0,1062,112,0,0,5,1,0,17,0,0,0,1,0,16,0,3,4,5,0,13,361,106,2,0,0,1133,0,50,29,624,403,90,0,2,0,10,0,0,0,0,0,6442,3615,1705,624,469,0.0
34,STA_COL,1768,0,594,0,23,0,0,634,0,0,0,544,49,0,0,209,3,0,0,0,3,0,4,0,46,0,10,5,6,0,11,204,243,125,0,1,740,0,93,2,963,229,4,0,0,0,3,0,2,0,0,0,6518,3857,1069,963,573,0.0
35,WIS_COO_2,429,0,255,0,4,0,0,0,0,0,0,235,303,0,0,0,0,0,1,1,0,0,0,0,103,0,1,0,0,0,38,111,272,75,7,4,2104,46,112,9,981,1133,24,0,0,0,0,0,0,0,0,0,6248,1229,3432,981,469,0.0
36,WIS_COO,761,0,353,0,0,0,0,455,4,11,0,454,337,0,0,0,0,0,0,0,0,0,0,0,29,0,17,0,0,0,21,130,70,7,0,0,1452,17,44,3,1962,122,5,0,0,0,0,0,0,0,0,0,6254,2392,1643,1962,207,0.0
37,LET_NOB,2427,0,436,0,16,0,0,7,0,5,0,1901,45,0,2,21,3,0,0,0,17,0,0,0,12,0,3,0,0,0,4,185,51,33,19,16,884,0,41,0,262,61,2,0,0,0,0,0,1,0,0,1,6455,4885,1004,262,304,0.0
