,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,POV_DUN,167,2,19,18,3,0,0,12,1,1,0,0,690,1666,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,0,0,2,3,1,2,143,2223,747,167,42,223,7004,423,4935,53,6263,515,60,4,0,0,0,0,0,0,0,5,1,25433,2622,13213,6263,3402,0.0
1,DIP_FLE,5786,1,277,3,66,2,1,246,0,7,0,0,4400,2687,0,0,40,0,0,0,0,0,0,0,0,0,23,0,12,0,0,1,7,0,0,4,703,1000,170,17,10,5633,216,823,37,2904,520,10,5,0,0,0,0,0,0,0,0,0,25611,13552,7249,2904,1900,0.0
2,DIP_CUR,5758,2,486,0,4,2,0,12,1,13,0,0,1325,2607,0,0,2,0,0,0,0,0,0,0,0,0,10,0,25,0,0,0,1,2,2,7,1162,529,157,121,13,6056,126,1626,34,5022,295,53,7,0,0,0,0,0,0,0,5,0,25465,10239,8203,5022,1982,0.0
3,GAB_STE,3165,14,109,0,9,0,0,15,89,23,0,0,1993,885,0,0,0,0,0,0,0,0,0,0,0,0,4,20,16,0,0,2,0,0,0,267,393,471,213,34,73,9150,1616,1784,25,4776,742,88,0,0,0,0,0,0,0,18,5,0,25999,6351,13478,4776,1184,0.0
4,SMI_CRO,3190,0,1417,0,0,11,0,38,185,329,0,0,823,7918,0,0,4,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,48,814,477,129,12,3,3224,254,939,8,5404,558,12,0,0,0,0,0,0,0,0,0,0,25806,13920,4998,5404,1435,0.0
5,SMI_CAN,3505,0,139,0,0,0,0,14,0,2,0,0,4254,2745,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,92,825,415,172,30,32,6446,181,487,9,4204,2199,73,2,0,0,0,0,0,0,0,0,0,25835,10664,9427,4204,1474,0.0
6,SMI_KEL,5507,0,3258,0,0,0,0,5,1,8,0,0,1459,5063,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,373,700,603,370,22,3,3125,474,622,8,4003,284,9,0,0,0,0,0,0,0,0,0,0,25905,15305,4525,4003,1698,0.0
7,SMI_COB,1633,11,79,0,0,1,0,2,0,13,0,0,3649,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,30,1440,1626,1405,340,12,5751,408,2454,33,5371,534,28,2,0,0,6,0,0,0,2,0,0,25654,6217,9220,5371,4823,0.0
8,SMI_DOU,1533,0,356,0,0,0,0,2,0,7,0,0,1286,6089,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,27,0,0,0,388,2381,1327,1574,474,6,5480,130,222,8,4486,176,25,0,0,0,0,0,0,0,0,0,0,25985,9302,6047,4486,5762,0.0
9,SMI_MCC,4008,0,616,0,0,0,0,3,0,188,0,0,1262,5474,2,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,939,289,70,17,2,6617,117,256,6,5875,252,6,0,0,0,0,0,0,0,2,0,0,26032,11556,7256,5875,1317,0.0
10,SMI_HOL,5464,0,189,0,0,0,0,2,0,18,0,0,3201,4392,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,665,939,495,146,15,23,2952,497,2721,4,2834,1236,37,0,0,0,0,0,0,0,0,0,0,25853,13276,7470,2834,1618,0.0
11,DIP_PAT,8947,4,2686,0,57,0,0,388,4,0,0,0,5430,929,2,0,7,0,0,0,0,0,0,0,0,0,6,0,304,0,0,1,6,0,0,3,457,685,278,102,23,2920,21,45,21,1908,473,31,0,0,0,0,0,115,1,0,2,0,25856,18585,3534,1908,1545,0.0
12,MIL_YOD,3807,8,1055,0,0,0,1,311,2,129,0,0,4343,1334,2,0,2,0,0,0,0,0,0,0,0,0,5,0,13,0,0,1,2,4,0,2,965,194,85,10,6,7214,171,288,24,5280,644,28,2,0,0,0,0,0,0,0,0,1,25933,11009,8375,5280,1260,0.0
13,MIL_CHA,7993,0,2031,2,5,0,0,831,1,7,1,0,4080,524,0,0,47,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,1063,216,114,10,6,5835,124,194,8,2631,135,6,1,0,0,0,2,0,0,0,0,4,25961,15529,6308,2631,1409,0.0
14,MIL_MCC,3975,0,3178,0,0,0,0,471,4,10,0,0,1586,1069,0,0,243,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,57,1321,984,566,108,9,5619,393,606,21,4389,1220,32,2,0,0,0,0,0,0,0,1,0,25871,10539,7900,4389,2988,0.0
15,KAT_SAU,2132,0,80,0,0,11,0,152,0,121,0,0,295,3875,0,0,252,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1295,118,44,8,1,10597,662,2082,10,3377,42,7,4,0,0,0,0,0,0,0,0,0,25169,6924,13401,3377,1466,0.0
16,KAT_SAU_2,3420,0,135,0,4,37,0,168,2,174,0,0,343,4719,0,0,426,3,0,0,0,0,1,0,0,0,8,0,13,0,0,0,5,2,0,2,1304,127,54,8,2,8360,481,1245,15,4066,35,3,4,0,0,0,0,0,0,0,0,0,25166,9451,10141,4066,1495,0.0
