Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_29,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_44,VALUE_47,VALUE_49,VALUE_50,VALUE_53,VALUE_54,VALUE_56,VALUE_57,VALUE_58,VALUE_59,VALUE_61,VALUE_66,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_219,VALUE_221,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243
POV_DUN,,,,,,"-1","0","0",,,"167","2","19","18","3","0","0","12","1","1","0","0","690","1666","0","0","0","0","0","0","0","0","0","0","0","0","25","0","13","0","0","2","3","1","2","143","2223","747","167","42","223","7004","423","4935","53","6263","515","60","4","0","0","0","0","0","0","0","5","1"
DIP_FLE,,,,,,"-1","0","0",,,"5786","1","277","3","66","2","1","246","0","7","0","0","4400","2687","0","0","40","0","0","0","0","0","0","0","0","0","23","0","12","0","0","1","7","0","0","4","703","1000","170","17","10","5633","216","823","37","2904","520","10","5","0","0","0","0","0","0","0","0","0"
DIP_CUR,,,,,,"-1","0","0",,,"5758","2","486","0","4","2","0","12","1","13","0","0","1325","2607","0","0","2","0","0","0","0","0","0","0","0","0","10","0","25","0","0","0","1","2","2","7","1162","529","157","121","13","6056","126","1626","34","5022","295","53","7","0","0","0","0","0","0","0","5","0"
GAB_STE,,,,,,"-1","0","0",,,"3165","14","109","0","9","0","0","15","89","23","0","0","1993","885","0","0","0","0","0","0","0","0","0","0","0","0","4","20","16","0","0","2","0","0","0","267","393","471","213","34","73","9150","1616","1784","25","4776","742","88","0","0","0","0","0","0","0","18","5","0"
SMI_CRO,,,,,,"-1","0","0",,,"3190","0","1417","0","0","11","0","38","185","329","0","0","823","7918","0","0","4","0","0","0","0","0","0","0","0","0","5","0","4","0","0","0","0","0","0","48","814","477","129","12","3","3224","254","939","8","5404","558","12","0","0","0","0","0","0","0","0","0","0"
SMI_CAN,,,,,,"-1","0","0",,,"3505","0","139","0","0","0","0","14","0","2","0","0","4254","2745","0","0","2","0","0","0","0","0","0","0","0","0","1","0","6","0","0","0","0","0","0","92","825","415","172","30","32","6446","181","487","9","4204","2199","73","2","0","0","0","0","0","0","0","0","0"
SMI_KEL,,,,,,"-1","0","0",,,"5507","0","3258","0","0","0","0","5","1","8","0","0","1459","5063","0","0","4","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","373","700","603","370","22","3","3125","474","622","8","4003","284","9","0","0","0","0","0","0","0","0","0","0"
SMI_COB,,,,,,"-1","0","0",,,"1633","11","79","0","0","1","0","2","0","13","0","0","3649","819","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","30","1440","1626","1405","340","12","5751","408","2454","33","5371","534","28","2","0","0","6","0","0","0","2","0","0"
SMI_DOU,,,,,,"-1","0","0",,,"1533","0","356","0","0","0","0","2","0","7","0","0","1286","6089","0","0","2","0","0","0","0","0","0","0","0","0","0","0","6","0","0","27","0","0","0","388","2381","1327","1574","474","6","5480","130","222","8","4486","176","25","0","0","0","0","0","0","0","0","0","0"
SMI_MCC,,,,,,"-1","0","0",,,"4008","0","616","0","0","0","0","3","0","188","0","0","1262","5474","2","0","1","0","0","0","0","0","0","0","0","0","0","0","28","0","0","0","0","0","0","2","939","289","70","17","2","6617","117","256","6","5875","252","6","0","0","0","0","0","0","0","2","0","0"
