Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_12,VALUE_21,VALUE_24,VALUE_27,VALUE_28,VALUE_30,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_47,VALUE_49,VALUE_53,VALUE_58,VALUE_59,VALUE_61,VALUE_67,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_222,VALUE_228,VALUE_229,VALUE_242,VALUE_243
POV_DUN,,,,,,"-1","0","0",,,"11","0","3","0","0","0","0","0","0","15","142","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","117","21","0","0","0","419","2","304","5","526","22","1","0","0","0","0","0","0"
DIP_FLE,,,,,,"-1","0","0",,,"706","0","11","0","0","0","0","0","0","191","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","38","9","0","0","255","0","6","2","278","40","2","0","0","0","0","0","0"
DIP_CUR,,,,,,"-1","0","0",,,"540","0","50","0","0","0","0","0","0","261","125","0","0","0","0","0","0","0","0","0","6","0","0","0","2","0","0","91","45","6","0","0","164","6","38","1","255","1","2","0","0","0","0","0","0"
GAB_STE,,,,,,"-1","0","0",,,"252","0","0","0","0","0","0","0","0","113","42","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","24","42","20","8","6","378","391","106","0","211","31","2","0","0","0","0","0","0"
SMI_CRO,,,,,,"-1","0","0",,,"712","0","344","0","0","1","178","16","0","21","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","19","4","0","0","26","0","2","0","168","1","0","0","0","0","0","0","0"
SMI_CAN,,,,,,"-1","0","0",,,"217","0","13","0","0","0","0","0","0","139","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","67","59","63","16","29","552","8","16","9","308","36","3","0","0","0","0","0","0"
SMI_KEL,,,,,,"-1","0","0",,,"98","0","179","0","0","0","0","0","0","78","307","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","88","23","4","0","0","567","38","97","0","128","9","0","0","0","0","0","0","0"
SMI_COB,,,,,,"-1","0","0",,,"55","0","14","0","0","0","0","3","0","373","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","120","157","106","4","1","220","10","62","4","346","58","1","0","0","0","0","0","0"
SMI_DOU,,,,,,"-1","0","0",,,"55","0","133","0","0","0","0","0","0","133","627","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123","24","5","2","0","158","4","12","0","349","0","0","0","0","0","0","0","0"
SMI_MCC,,,,,,"-1","0","0",,,"324","0","191","0","0","0","0","141","0","38","400","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","41","30","10","2","0","95","0","2","0","339","8","0","0","0","0","2","0","0"
SMI_HOL,,,,,,"-1","0","0",,,"483","0","16","0","0","0","0","4","0","209","576","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","32","14","1","0","0","67","0","58","2","145","4","0","0","0","0","0","0","0"
DIP_PAT,,,,,,"-1","0","0",,,"814","0","24","3","0","2","0","0","0","67","86","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","5","4","0","0","2","493","0","7","4","34","64","8","0","0","0","0","0","0"
MIL_YOD,,,,,,"-1","0","0",,,"294","0","184","0","0","5","0","3","0","343","60","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","623","0","3","3","102","0","1","0","0","0","0","0","0"
MIL_CHA,,,,,,"-1","0","0",,,"796","0","48","0","0","0","0","0","0","364","15","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","125","22","15","0","0","103","0","2","2","123","6","0","0","0","0","0","0","0"
MIL_MCC,,,,,,"-1","0","0",,,"555","0","367","0","0","0","0","0","0","25","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","353","42","52","0","68","142","2","0","0","0","0","0","0"
KAT_SAU,,,,,,"-1","0","0",,,"268","0","45","0","0","2","0","52","0","140","356","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","12","6","2","0","365","26","84","0","163","1","0","0","0","0","0","0","0"
KAT_SAU_2,,,,,,"-1","0","0",,,"309","0","0","0","0","87","0","19","0","17","392","0","0","210","0","0","0","0","0","0","0","0","0","0","0","0","0","95","12","8","0","0","121","9","53","1","244","1","0","0","0","0","0","0","0"
KAT_TEE,,,,,,"-1","0","0",,,"372","0","0","0","0","0","0","0","0","25","115","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","93","20","11","0","0","500","8","131","0","226","74","8","0","0","0","0","0","0"
KAT_TEE_2,,,,,,"-1","0","0",,,"522","0","0","0","0","0","0","0","0","40","137","0","0","0","0","0","0","0","0","0","8","0","0","2","0","0","0","59","0","2","0","0","481","29","147","0","152","8","0","0","0","0","0","0","0"
KAT_HAB_2,,,,,,"-1","0","0",,,"729","0","106","3","0","8","0","1","0","23","220","0","0","5","4","0","0","0","0","0","16","0","3","3","0","0","0","80","17","13","7","3","107","42","64","0","134","4","0","0","0","0","0","0","9"
KAT_HAB,,,,,,"-1","0","0",,,"390","0","309","0","0","6","0","0","0","15","188","0","0","2","0","0","0","0","0","0","1","0","0","40","0","0","0","145","24","2","4","2","231","0","35","1","179","8","4","10","0","0","0","0","0"
KAT_BAR,,,,,,"-1","0","0",,,"515","0","9","0","0","0","0","0","0","10","26","0","0","31","0","0","0","0","3","0","0","0","0","4","8","0","43","92","83","76","3","10","216","1","171","0","234","28","6","0","0","0","0","0","0"
SMI_LAT,,,,,,"-1","0","0",,,"293","0","87","0","0","0","0","0","0","395","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123","38","7","1","0","398","0","6","0","165","1","2","0","0","0","0","0","0"
SMI_DUR,,,,,,"-1","0","0",,,"538","0","16","2","0","4","0","0","0","39","72","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","2","76","27","15","3","0","413","23","12","5","186","173","0","0","0","0","0","0","0"
SMI_HOF,,,,,,"-1","0","0",,,"121","0","0","0","0","0","0","0","0","163","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54","59","70","3","0","0","462","51","306","1","108","151","12","0","0","0","0","0","0"
SMI_JOH,,,,,,"-1","0","0",,,"447","0","6","0","0","33","0","0","0","181","110","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","60","19","22","12","0","355","9","23","0","293","48","3","0","0","0","0","0","0"
SMI_JOH_2,,,,,,"-1","0","0",,,"38","1","79","0","0","491","0","0","0","54","20","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","96","60","24","11","0","0","389","32","44","3","186","91","4","0","0","0","0","0","0"
