,Unnamed: 0,Name,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Dbl Crop Triticale/Corn,Pumpkins,Dbl Crop WinWht/Sorghum,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other
0,0,POV_DUN,2,0,1,0,0,0,0,0,0,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,10,0,0,0,239,1,139,2,269,8,0,0,0,0,0,0,0,3888,8,389,269,69,0
1,1,DIP_FLE,373,0,2,0,0,0,0,0,1,81,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,20,6,0,0,123,0,10,2,136,21,1,0,0,0,0,0,0,4013,457,157,136,45,0
2,2,DIP_CUR,311,0,6,0,0,0,0,0,0,95,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,20,3,0,0,86,7,15,0,124,1,2,0,31,0,0,0,0,3906,444,111,124,72,0
3,3,GAB_STE,107,0,0,0,0,0,0,0,0,71,23,0,0,0,0,0,0,1,2,0,0,0,0,0,0,15,17,12,5,3,166,204,61,0,107,21,4,0,0,0,0,0,0,4057,179,459,107,52,0
4,4,SMI_CRO,334,0,304,0,0,0,7,3,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,2,0,0,9,0,3,0,73,6,1,0,0,0,0,0,0,3999,650,19,73,37,0
5,5,SMI_CAN,73,0,30,0,0,0,0,0,0,61,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,31,32,10,15,262,3,10,1,172,19,2,0,0,0,0,0,0,3977,164,312,172,123,2
6,6,SMI_KEL,114,0,2,0,0,0,0,0,0,60,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,2,0,0,273,27,50,1,80,12,1,0,0,0,0,0,0,3786,176,364,80,55,0
7,7,SMI_COB,113,1,3,0,0,0,0,0,0,161,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,82,54,0,0,119,2,28,4,105,39,1,0,0,0,0,0,0,3973,278,193,105,193,0
8,8,SMI_DOU,38,0,45,0,0,0,1,0,3,87,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11,5,0,0,70,4,1,0,232,3,0,0,0,0,0,0,0,3578,174,78,232,79,0
9,9,SMI_MCC,191,0,107,0,0,0,0,1,0,18,191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,20,4,2,0,49,0,1,2,199,4,0,0,0,0,0,0,0,3694,317,56,199,48,0
