,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
0,POV_DUN,167,2,19,18,3,0,0,12,1,1,0,0,690,1666,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,0,0,2,3,1,2,143,2223,747,167,42,223,7004,423,4935,53,6263,515,60,4,0,0,0,0,0,0,0,5,1,76366.0,2622,13213,6263,3402,0.0,0.03433465154649975,0.17302202550873425,0.08201293769478564,0.04454862111410837,0.0,0.002186837074090564,0.00024880182280072284,2000
1,DIP_FLE,5786,1,277,3,66,2,1,246,0,7,0,0,4400,2687,0,0,40,0,0,0,0,0,0,0,0,0,23,0,12,0,0,1,7,0,0,4,703,1000,170,17,10,5633,216,823,37,2904,520,10,5,0,0,0,0,0,0,0,0,0,76828.0,13552,7249,2904,1900,0.0,0.1763940230124434,0.0943536210756495,0.03779871921695215,0.024730566980788255,0.0,0.07531108450044255,0.003605456344041235,2000
2,DIP_CUR,5758,2,486,0,4,2,0,12,1,13,0,0,1325,2607,0,0,2,0,0,0,0,0,0,0,0,0,10,0,25,0,0,0,1,2,2,7,1162,529,157,121,13,6056,126,1626,34,5022,295,53,7,0,0,0,0,0,0,0,5,0,76378.0,10239,8203,5022,1982,0.0,0.1340569273874676,0.10740003665977114,0.06575191809159706,0.0259498808557438,0.0,0.07538820079080363,0.006363088847573909,2000
3,GAB_STE,3165,14,109,0,9,0,0,15,89,23,0,0,1993,885,0,0,0,0,0,0,0,0,0,0,0,0,4,20,16,0,0,2,0,0,0,267,393,471,213,34,73,9150,1616,1784,25,4776,742,88,0,0,0,0,0,0,0,18,5,0,77790.0,6351,13478,4776,1184,0.0,0.08164288468954879,0.17326134464584136,0.061396066332433476,0.015220465355444145,0.0,0.04068646355572696,0.0014012083815400436,2000
4,SMI_CRO,3190,0,1417,0,0,11,0,38,185,329,0,0,823,7918,0,0,4,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,48,814,477,129,12,3,3224,254,939,8,5404,558,12,0,0,0,0,0,0,0,0,0,0,77373.0,13920,4998,5404,1435,0.0,0.17990771974719863,0.06459617696095538,0.069843485453582,0.01854652139635273,0.0,0.04122885244206635,0.018313882103576182,2000
5,SMI_CAN,3505,0,139,0,0,0,0,14,0,2,0,0,4254,2745,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,92,825,415,172,30,32,6446,181,487,9,4204,2199,73,2,0,0,0,0,0,0,0,0,0,77444.0,10664,9427,4204,1474,0.0,0.1376994989928206,0.1217266670110015,0.0542843861370797,0.019033107794018903,0.0,0.04525850937451578,0.001794845307577088,2000
6,SMI_KEL,5507,0,3258,0,0,0,0,5,1,8,0,0,1459,5063,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,373,700,603,370,22,3,3125,474,622,8,4003,284,9,0,0,0,0,0,0,0,0,0,0,77347.0,15305,4525,4003,1698,0.0,0.19787451355579402,0.05850259221430695,0.051753784891463143,0.021953016923733307,0.0,0.07119862438103611,0.04212186639430101,2000
7,SMI_COB,1633,11,79,0,0,1,0,2,0,13,0,0,3649,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,30,1440,1626,1405,340,12,5751,408,2454,33,5371,534,28,2,0,0,6,0,0,0,2,0,0,76946.0,6217,9220,5371,4823,0.0,0.0807969225170899,0.11982429236087645,0.06980219894471447,0.06268032126426325,0.0,0.02122267564265849,0.001026694045174538,2000
8,SMI_DOU,1533,0,356,0,0,0,0,2,0,7,0,0,1286,6089,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,27,0,0,0,388,2381,1327,1574,474,6,5480,130,222,8,4486,176,25,0,0,0,0,0,0,0,0,0,0,77575.0,9302,6047,4486,5762,0.0,0.11990976474379633,0.07795037060908798,0.05782790847566871,0.07427650660650983,0.0,0.019761521108604577,0.004589107315501128,2000
9,SMI_MCC,4008,0,616,0,0,0,0,3,0,188,0,0,1262,5474,2,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,939,289,70,17,2,6617,117,256,6,5875,252,6,0,0,0,0,0,0,0,2,0,0,78077.0,11556,7256,5875,1317,0.0,0.1480077359529695,0.09293389858729204,0.0752462312845012,0.016867963676883077,0.0,0.05133393957247333,0.007889647399362168,2000
10,SMI_HOL,5464,0,189,0,0,0,0,2,0,18,0,0,3201,4392,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,0,0,0,665,939,495,146,15,23,2952,497,2721,4,2834,1236,37,0,0,0,0,0,0,0,0,0,0,76914.0,13276,7470,2834,1618,0.0,0.1726083677873989,0.09712146033231922,0.03684634786904855,0.02103648230491198,0.0,0.07104038276516629,0.0024572899602153054,2000
11,DIP_PAT,8947,4,2686,0,57,0,0,388,4,0,0,0,5430,929,2,0,7,0,0,0,0,0,0,0,0,0,6,0,304,0,0,1,6,0,0,3,457,685,278,102,23,2920,21,45,21,1908,473,31,0,0,0,0,0,115,1,0,2,0,77295.0,18585,3534,1908,1545,0.0,0.24044246070250339,0.045720939258684264,0.024684649718610518,0.019988356297302542,0.0,0.11575134226017207,0.034749983828190695,2000
12,MIL_YOD,3807,8,1055,0,0,0,1,311,2,129,0,0,4343,1334,2,0,2,0,0,0,0,0,0,0,0,0,5,0,13,0,0,1,2,4,0,2,965,194,85,10,6,7214,171,288,24,5280,644,28,2,0,0,0,0,0,0,0,0,1,77802.0,11009,8375,5280,1260,0.0,0.14150021850338038,0.10764504768514949,0.06786457931672708,0.016194956427855324,0.0,0.048931904064162875,0.013560062723323309,2000
13,MIL_CHA,7993,0,2031,2,5,0,0,831,1,7,1,0,4080,524,0,0,47,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,1063,216,114,10,6,5835,124,194,8,2631,135,6,1,0,0,0,2,0,0,0,0,4,77812.0,15529,6308,2631,1409,0.0,0.19957076029404205,0.0810671875803218,0.03381226546034031,0.018107746877088368,0.0,0.1027219452012543,0.02610137253894001,2000
14,MIL_MCC,3975,0,3178,0,0,0,0,471,4,10,0,0,1586,1069,0,0,243,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,57,1321,984,566,108,9,5619,393,606,21,4389,1220,32,2,0,0,0,0,0,0,0,1,0,77572.0,10539,7900,4389,2988,0.0,0.1358608776362605,0.10184087041716083,0.05657969370391378,0.0385190532666426,0.0,0.05124271644407776,0.040968390656422424,2000
15,KAT_SAU,2132,0,80,0,0,11,0,152,0,121,0,0,295,3875,0,0,252,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1295,118,44,8,1,10597,662,2082,10,3377,42,7,4,0,0,0,0,0,0,0,0,0,75521.0,6924,13401,3377,1466,0.0,0.09168310800969266,0.17744733253002476,0.04471603924736166,0.0194118192290886,0.0,0.028230558387733213,0.0010593080070443982,2000
