,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Pop or Orn Corn,Barley,Spring Wheat,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Peppers,Greens,Plums,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
0,POV_DUN,471,4,41,22,3,0,2,0,16,0,1,8,0,0,1019,2979,0,0,0,0,0,0,0,0,0,0,0,0,59,0,18,0,0,2,5,1,10,155,3816,1162,276,72,248,19956,709,11288,85,13152,1378,245,6,0,0,0,0,0,0,0,0,0,6,1,0,171723.0,4656,33909,13152,5574,0.0,0.027113432679373176,0.1974633566848937,0.07658845932111598,0.032459251236002164,0.0,0.0027427892594469,0.00023875660220238409,3000
1,DIP_FLE,12381,3,1117,3,83,0,3,1,508,0,78,28,0,0,8951,4078,0,0,59,0,0,0,0,0,0,0,0,0,88,0,35,0,0,1,18,2,0,13,1429,1756,282,21,22,16476,435,1938,93,6455,1195,43,11,0,0,0,0,0,0,0,0,0,0,0,0,172793.0,27413,20202,6455,3510,0.0,0.1586464729473995,0.11691445834032628,0.03735683737188428,0.020313322877662868,0.0,0.07165220813343133,0.006464382237706389,3000
2,DIP_CUR,6830,8,511,0,4,0,2,0,16,0,3,13,0,0,1818,3750,0,0,3,0,0,0,0,0,0,0,0,0,12,0,43,0,0,0,1,2,4,24,2172,734,216,124,16,20207,1082,8496,74,9929,856,106,236,0,0,0,0,0,0,0,0,0,10,0,0,171857.0,13223,30837,9929,3262,0.0,0.07694187609466009,0.1794340643674683,0.057774777867645774,0.018980896908476232,0.0,0.03974234392547292,0.0029734023054050754,3000
3,GAB_STE,6508,53,351,0,177,0,5,0,15,0,303,52,0,0,4766,2924,0,0,4,0,0,0,4,0,0,0,0,0,9,112,36,0,0,9,2,0,0,723,2234,2366,1926,861,705,15414,2603,3507,125,10521,1943,191,0,0,0,0,0,0,0,0,0,45,6,0,0,175449.0,15345,24488,10521,8092,0.0,0.08746131354410683,0.1395733233019282,0.059966144007660344,0.046121664985266375,0.0,0.037093400361358574,0.0020005813655250243,3000
4,SMI_CRO,6398,1,2020,0,0,0,11,0,40,0,185,379,0,0,2356,18133,0,0,7,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,3,0,0,49,1972,987,212,17,7,8635,470,2112,16,12884,1132,16,0,0,0,0,0,0,0,0,0,4,1,0,0,174148.0,29543,12388,12884,3195,0.0,0.16964306222293682,0.07113489675448469,0.07398304890093484,0.018346463927234307,0.0,0.036738865792314584,0.011599329306107449,3000
5,SMI_CAN,6007,0,159,0,0,0,0,0,34,0,4,51,0,0,6606,8666,0,0,2,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,289,2024,815,275,42,36,14143,873,1440,24,11617,4795,187,4,0,0,0,0,4,0,0,0,0,0,0,0,174089.0,21539,21498,11617,3192,0.0,0.12372407216998202,0.12348856044896576,0.06673023568404667,0.0183354491093636,0.0,0.03450533922304109,0.0009133259424776982,3000
6,SMI_KEL,11689,0,5006,0,0,0,0,0,7,0,1,38,0,0,2231,9345,0,0,5,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,1741,1659,1527,784,62,10,9770,1302,1964,27,8906,2120,65,0,0,0,0,0,0,0,0,0,0,0,0,0,173099.0,28323,15258,8906,4042,0.0,0.16362312896088366,0.08814608980987758,0.05145032611395791,0.02335079925360632,0.0,0.06752783089445924,0.028919866665896396,3000
7,SMI_COB,2622,11,107,0,0,0,1,0,2,0,0,19,0,0,6144,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,149,3516,3193,2807,786,15,15952,1404,7655,49,10427,1091,60,2,0,0,0,0,6,0,0,0,2,3,0,0,173030.0,10607,26226,10427,10317,0.0,0.06130150840894642,0.15156909206495983,0.06026122637692886,0.059625498468473676,0.0,0.015153441599722591,0.0006183898745882217,3000
8,SMI_DOU,4779,0,950,0,0,0,0,0,2,0,3,32,0,0,2456,9785,0,0,4,0,0,0,0,0,0,0,0,0,5,0,13,0,0,27,0,0,0,917,4694,2935,3002,760,11,16878,722,953,22,8675,784,49,0,0,0,0,0,0,0,0,0,1,0,0,0,174466.0,18044,19419,8675,11402,0.0,0.10342416287414166,0.1113053546249699,0.049723155227952724,0.06535370788577717,0.0,0.027392156637969577,0.0054451870278449666,3000
9,SMI_MCC,7282,0,1438,0,0,0,31,0,6,0,0,251,0,0,2327,10698,2,0,5,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,40,2137,777,193,32,44,17244,1016,1093,29,12493,1363,21,0,0,0,0,0,0,0,0,0,2,0,0,0,175681.0,22042,20810,12493,3183,0.0,0.12546604356760263,0.11845333302975279,0.07111184476408945,0.01811806626783773,0.0,0.04145012835764824,0.008185290384276046,3000
