,Name,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
0,POV_DUN,11,0,3,0,0,0,0,0,0,15,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,21,0,0,0,419,2,304,5,526,22,1,0,0,0,0,0,0,4764.0,171,753,526,138,0.0,0.03589420654911839,0.1580604534005038,0.11041141897565071,0.028967254408060455,0.0,0.0023089840470193117,0.0006297229219143577,500
1,DIP_FLE,706,0,11,0,0,0,0,0,0,191,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,9,0,0,255,0,6,2,278,40,2,0,0,0,0,0,0,4810.0,931,305,278,89,0.0,0.19355509355509357,0.06340956340956341,0.0577962577962578,0.018503118503118504,0.0,0.14677754677754679,0.002286902286902287,500
2,DIP_CUR,540,0,50,0,0,0,0,0,0,261,125,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,91,45,6,0,0,164,6,38,1,255,1,2,0,0,0,0,0,0,4775.0,978,212,255,142,0.0,0.20481675392670157,0.044397905759162304,0.05340314136125655,0.029738219895287958,0.0,0.1130890052356021,0.010471204188481676,500
3,GAB_STE,252,0,0,0,0,0,0,0,0,113,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,42,20,8,6,378,391,106,0,211,31,2,0,0,0,0,0,0,4890.0,408,914,211,100,0.0,0.0834355828220859,0.18691206543967281,0.04314928425357873,0.02044989775051125,0.0,0.051533742331288344,0.0,500
4,SMI_CRO,712,0,344,0,0,1,178,16,0,21,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,19,4,0,0,26,0,2,0,168,1,0,0,0,0,0,0,0,4837.0,1347,29,168,67,0.0,0.2784783956998139,0.005995451726276618,0.03473227206946455,0.013851560884845978,0.0,0.1471986768658259,0.07111846185652264,500
5,SMI_CAN,217,0,13,0,0,0,0,0,0,139,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,67,59,63,16,29,552,8,16,9,308,36,3,0,0,0,0,0,0,4874.0,442,653,308,234,0.0,0.09068526877308165,0.13397620024620435,0.06319244973327862,0.048009848173984404,0.0,0.044521953221173576,0.002667213787443578,500
6,SMI_KEL,98,0,179,0,0,0,0,0,0,78,307,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,88,23,4,0,0,567,38,97,0,128,9,0,0,0,0,0,0,0,4868.0,666,711,128,115,0.0,0.13681183237469186,0.1460558751027116,0.02629416598192276,0.02362366474938373,0.0,0.020131470829909615,0.03677074774034511,500
7,SMI_COB,55,0,14,0,0,0,0,3,0,373,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,157,106,4,1,220,10,62,4,346,58,1,0,0,0,0,0,0,4825.0,516,356,346,388,0.0,0.10694300518134715,0.07378238341968912,0.0717098445595855,0.08041450777202072,0.0,0.011398963730569948,0.002901554404145078,500
8,SMI_DOU,55,0,133,0,0,0,0,0,0,133,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,24,5,2,0,158,4,12,0,349,0,0,0,0,0,0,0,0,4883.0,948,174,349,154,0.0,0.1941429449109154,0.03563383166086422,0.07147245545771043,0.03153798894122466,0.0,0.011263567479008805,0.027237354085603113,500
9,SMI_MCC,324,0,191,0,0,0,0,141,0,38,400,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,41,30,10,2,0,95,0,2,0,339,8,0,0,0,0,2,0,0,4884.0,1096,105,339,83,0.0,0.2244062244062244,0.0214987714987715,0.06941031941031942,0.016994266994266993,0.0,0.06633906633906633,0.039107289107289105,500
