"Site_ID_and_buffer","Site_ID","buffer_scale","Corn","OpenWater","SweetCorn","Developed/OpenSpace","Developed/LowIntensity","Developed/MedIntensity","Developed/HighIntensity","Barren","DeciduousForest","EvergreenForest","MixedForest","Shrubland","Grass/Pasture","WoodyWetlands","HerbaceousWetlands","Triticale","Carrots","Barley","Greens","Strawberries","Squash","DblCropWinWht/Corn","Dbl Crop Triticale/Corn","Pumpkins","SpringWheat","WinterWheat","Blueberries","Cabbage","Rye","Oats","Speltz","Alfalfa","OtherHay/NonAlfalfa","Buckwheat","Sorghum","Sugarbeets","DryBeans","Potatoes","OtherCrops","MiscVegs&Fruits","Onions","Soybeans","Cucumbers","Peas","Tomatoes","Hops","Clover/Wildflowers","Sod/GrassSeed","Sunflower","Fallow/IdleCropland","Cherries","Peaches","Apples","Grapes","ChristmasTrees","Pears"
"POV_DUN-500","POV_DUN","500","   6","   0","  0","  62","  11","   0","  0","  0"," 230","  1"," 164"," 3"," 289","  13","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","   6","  80","0","0","0","  0","0","0"," 0","0","   1","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"DIP_FLE-500","DIP_FLE","500"," 386","   0","  0","  21","  22","   5","  0","  0"," 135","  0","   3"," 1"," 146","  22","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0"," 108","  11","0","0","0","  0","0","0"," 0","0","   6","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"DIP_CUR-500","DIP_CUR","500"," 292","   0","  0","  55","  21","   3","  0","  0","  87","  3","  24"," 0"," 140","   1","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0"," 145","  67","0","0","0","  0","0","0"," 0","0","  26","0"," 0","0","0"," 0"," 0","0","  3","0","0","  0","  0"," 1","0"
"GAB_STE-500","GAB_STE","500"," 136","   0","  0","  14","  19","  12","  5","  3"," 195","209","  58"," 0"," 113","  19","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  61","  21","0","0","0","  0","0","0"," 0","0","   0","0"," 0","0","0"," 0"," 1","0","  0","0","0","  0","  0"," 0","0"
"MIL_YOD_1-500","MIL_YOD_1","500"," 158","   0","  0","   0","   0","   0","  0","  0"," 331","  0","   2"," 1","  53","   0","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0","   4","0","  0"," 0","  1"," 0"," 188","  29","0","0","0","  0","0","0"," 0","0","  99","0"," 0","0","0"," 0"," 0","0","  0","0","0","  1","  0"," 0","0"
"MIL_CHA_1-500","MIL_CHA_1","500"," 430","   0","  0","  67","  10","   9","  0","  0","  50","  0","   1"," 1","  67","   3","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0"," 194","   7","0","0","0","  1","0","0"," 0","0","  26","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"MIL_MCC_1-500","MIL_MCC_1","500"," 293","   0","  0","   3","   1","   0","  0","  0"," 193"," 20","  29"," 0","  37","  78","  1","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  14","   0","0","0","0","  0","0","0"," 0","0"," 197","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"KAT_SAU_1-500","KAT_SAU_1","500"," 152","   0","  0","  28","   7","   4","  1","  0"," 205"," 15","  45"," 0","  93","   1","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","   1","0","  0"," 0"," 28"," 0","  75"," 191","0","0","0","  0","0","0"," 0","0","  24","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"KAT_SAU_2-500","KAT_SAU_2","500"," 172","   0","  0","  54","   7","   3","  0","  0","  67","  5","  31"," 1"," 132","   1","  0","0","0"," 0","0","0"," 0","0","  0"," 0","0","  51","0","  0"," 0"," 11"," 0","  10"," 208","0","0","0","115","0","0"," 0","0","   0","0"," 0","0","0"," 0"," 0","0","  0","0","0","  0","  0"," 0","0"
"KAT_TEE_1-500","KAT_TEE_1","500"," 201","   0","  0","  54","  11","   5","  0","  0"," 282","  4","  72"," 0"," 114","  40","  5","0","0"," 0","0","0"," 0","0","  0"," 0","0","   0","0","  0"," 0","  0"," 0","  15","  66","0","0","0","  0","0","0"," 0","0","   0","0"," 0","0","0"," 0"," 0","0","  1","0","0","  1","  0"," 0","0"
