,Site_ID,Corn,OpenWater,SweetCorn,Developed/OpenSpace,Developed/LowIntensity,Developed/MedIntensity,Developed/HighIntensity,Barren,DeciduousForest,EvergreenForest,MixedForest,Shrubland,Grass/Pasture,WoodyWetlands,HerbaceousWetlands,Triticale,Carrots,Barley,Greens,Strawberries,Squash,DblCropWinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,SpringWheat,WinterWheat,Blueberries,Cabbage,Rye,Oats,Speltz,Alfalfa,OtherHay/NonAlfalfa,Buckwheat,Sorghum,Sugarbeets,DryBeans,Potatoes,OtherCrops,MiscVegs&Fruits,Onions,Soybeans,Cucumbers,Peas,Tomatoes,Hops,Clover/Wildflowers,Sod/GrassSeed,Sunflower,Fallow/IdleCropland,Cherries,Peaches,Apples,Grapes,ChristmasTrees,Pears,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop
51,POV_DUN,10,4,0,317,105,26,5,6,972,16,580,8,915,97,11,2,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,62,314,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,5,0,0,0,0,1,1,4472,84,0.018783542039355994,14,0.0031305903398926656,915,0.20460644007155634,6,0.0013416815742397137,0.0,0.0
52,DIP_FLE,1080,2,14,45,82,12,3,0,442,1,11,3,402,35,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,985,313,0,0,0,0,0,0,0,0,19,0,0,0,0,5,0,1,1,0,0,0,0,0,0,4464,2091,0.46841397849462363,3,0.0006720430107526882,402,0.09005376344086022,0,0.0,0.0,0.0
53,DIP_CUR,1205,0,0,149,66,35,18,2,488,7,68,4,484,14,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,375,314,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,5,0,0,0,0,1,0,4463,1803,0.4039883486444096,6,0.0013443871835088505,484,0.10844723280304727,2,0.00044812906116961686,0.0,0.0
54,GAB_STE,359,0,0,42,39,16,5,18,1321,512,277,4,413,53,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,314,84,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4466,678,0.15181370353784146,22,0.0049261083743842365,413,0.09247648902821316,18,0.004030452306314375,0.0,0.0
55,MIL_YOD_1,745,0,0,131,17,6,1,1,953,0,3,3,627,4,3,1,0,0,0,0,0,0,0,0,0,43,0,0,1,34,0,517,107,0,4,0,0,0,0,0,0,254,0,0,0,0,2,0,0,2,0,0,1,0,1,0,4461,1559,0.3494732122842412,4,0.0008966599417171038,627,0.14055144586415602,1,0.00022416498542927594,0.0,0.0
56,MIL_CHA_1,1480,0,1,151,21,22,1,0,534,1,11,1,321,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,508,57,0,0,0,1,0,0,0,0,339,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4464,2328,0.521505376344086,1,0.00022401433691756272,321,0.07190860215053764,0,0.0,0.0,0.0
57,MIL_MCC_1,891,0,0,127,17,3,0,0,700,38,49,2,420,274,2,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,221,109,0,0,0,0,0,0,0,0,582,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4463,1695,0.3797893793412503,2,0.00044812906116961686,420,0.09410710284561954,0,0.0,0.0,0.0
58,KAT_SAU_1,340,0,0,213,33,7,3,1,1155,79,347,1,481,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,36,0,101,630,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4466,507,0.1135244066278549,2,0.0004478280340349306,481,0.10770264218540081,1,0.0002239140170174653,0.0,0.0
59,KAT_SAU_2,632,1,0,253,33,12,2,1,699,36,117,1,572,7,0,0,0,15,0,0,0,0,0,0,0,86,0,0,0,33,0,55,771,0,0,0,137,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4465,737,0.1650615901455767,2,0.0004479283314669653,572,0.12810750279955208,1,0.00022396416573348266,0.0,0.0
60,KAT_TEE_1,565,11,0,183,44,17,1,0,1084,20,263,0,605,158,15,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,93,386,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,1,1,1,0,4467,665,0.14886948735169017,0,0.0,605,0.1354376539064249,0,0.0,0.0,0.0
61,KAT_TEE_2,407,0,0,58,2,1,0,0,1395,234,926,0,182,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,176,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,4469,484,0.10830163347505034,0,0.0,182,0.040724994405907364,0,0.0,0.0,0.0
62,KAT_HAB_2,1211,1,2,151,26,11,6,2,650,120,329,1,278,22,1,0,0,0,0,0,1,0,0,0,0,5,0,5,0,1,0,61,474,0,0,0,18,6,0,0,0,67,0,0,0,0,0,0,0,9,0,0,1,5,0,0,4464,1358,0.3042114695340502,3,0.0006720430107526882,278,0.062275985663082435,2,0.00044802867383512545,0.0,0.0
63,KAT_HAB_1,676,0,0,572,28,3,1,2,575,52,296,1,420,35,3,7,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,21,401,0,0,0,1,0,0,0,0,324,0,0,0,0,0,0,0,7,0,0,0,33,0,0,4466,1063,0.2380206000895656,3,0.0006717420510523958,420,0.09404388714733543,2,0.0004478280340349306,0.0,0.0
64,KAT_BAR,421,138,0,187,115,93,6,10,766,33,728,0,522,76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,117,1,0,0,110,0,0,0,0,69,0,0,0,0,3,0,0,1,0,0,0,9,4,0,4465,547,0.122508398656215,10,0.0022396416573348264,522,0.11690929451287795,10,0.0022396416573348264,0.0,0.0
65,KAT_JEF_1,237,0,0,125,113,46,10,0,695,125,437,0,611,163,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,852,0,0,0,0,1,0,0,0,10,0,0,0,0,20,0,0,5,0,0,0,0,0,0,4464,279,0.0625,0,0.0,611,0.13687275985663083,0,0.0,0.0,0.0
66,KAT_JEF_2,417,5,0,73,44,15,3,1,655,34,196,0,462,790,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,540,0,0,0,0,0,0,0,0,11,0,0,0,0,13,0,0,8,0,0,1,2,0,0,4470,507,0.11342281879194631,1,0.00022371364653243848,462,0.10335570469798658,1,0.00022371364653243848,0.0,0.0
67,STA_WIL_1,677,6,0,170,24,13,0,3,741,6,75,0,378,233,2,0,0,0,0,0,0,1,47,0,0,45,0,0,0,1,0,905,81,0,1,0,0,1,0,0,0,42,0,0,0,0,0,0,0,9,0,0,2,1,0,0,4464,1677,0.3756720430107527,3,0.0006720430107526882,378,0.0846774193548387,3,0.0006720430107526882,0.0,0.0
68,STA_HEM_2,606,7,2,112,79,54,17,77,273,3,49,1,433,258,12,0,0,0,0,0,0,0,0,0,0,384,0,141,0,5,1,646,49,0,0,0,14,4,0,0,1,118,0,0,0,0,10,0,2,97,0,0,3,10,0,0,4468,1547,0.34623992837958817,78,0.017457475380483437,433,0.09691136974037601,77,0.01723366159355416,0.0,0.0
69,STA_HEM_1,1006,23,0,175,51,14,2,1,454,1,46,1,487,182,7,0,0,0,0,0,0,0,1,0,0,123,0,35,0,0,1,316,77,0,0,0,10,0,12,0,0,313,0,0,0,0,2,0,0,35,0,0,0,82,11,1,4469,1757,0.3931528306108749,2,0.00044752741105392703,487,0.10897292459163124,1,0.00022376370552696352,0.0,0.0
70,STA_SWE_1,1036,8,1,189,58,2,0,0,610,0,28,15,351,210,48,0,1,0,0,0,6,0,0,0,0,151,0,0,0,1,0,561,58,0,2,0,4,1,0,8,0,97,0,0,0,0,1,0,0,10,0,0,1,1,2,0,4461,1708,0.3828737951132033,15,0.0033624747814391394,351,0.07868190988567586,0,0.0,0.0,0.0
71,STA_COL_1,936,6,12,115,128,68,0,1,403,0,45,1,510,117,3,0,0,0,0,0,1,0,2,0,0,341,0,0,0,0,0,289,32,0,0,0,114,1,0,0,0,310,0,1,0,0,3,0,0,20,0,0,4,3,4,0,4470,1550,0.34675615212527966,2,0.00044742729306487697,510,0.11409395973154363,1,0.00022371364653243848,0.0,0.0
72,DIP_PAT,1426,0,15,45,101,24,2,4,433,1,10,2,140,63,11,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,806,92,0,1,0,1,0,0,0,0,274,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4469,2508,0.5611993734616245,6,0.0013425822331617813,140,0.031326918773774894,4,0.0008950548221078541,0.0,0.0
73,SMI_CRO,744,0,0,72,57,23,4,0,228,28,27,0,521,65,0,0,0,7,0,0,0,0,0,0,0,21,0,0,99,103,0,82,872,0,0,0,0,0,0,0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4465,1547,0.34647256438969765,0,0.0,521,0.11668533034714446,0,0.0,0.0,0.0
74,SMI_CAN,561,10,0,117,83,46,9,14,802,6,74,5,701,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,380,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4474,1167,0.26084041126508717,19,0.0042467590523021905,701,0.15668305766651766,14,0.0031291908806437194,0.0,0.0
75,SMI_KEL,386,0,0,101,65,12,1,0,533,172,197,2,414,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,714,0,0,0,2,0,0,0,0,680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4468,1237,0.276857654431513,2,0.0004476275738585497,414,0.09265890778871978,0,0.0,0.0,0.0
76,SMI_COB,290,4,0,236,320,266,28,2,361,18,65,8,931,74,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,685,141,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4464,1003,0.22468637992831542,10,0.002240143369175627,931,0.2085573476702509,2,0.00044802867383512545,0.0,0.0
77,SMI_DOU,156,4,0,294,82,31,7,0,599,49,54,1,619,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,1114,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4470,606,0.13557046979865772,1,0.00022371364653243848,619,0.13847874720357942,0,0.0,0.0,0.0
78,SMI_LAT,642,28,0,291,53,23,6,1,718,23,74,0,398,133,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,793,159,0,0,0,10,0,0,0,0,110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4468,1547,0.34623992837958817,1,0.00022381378692927484,398,0.08907788719785138,1,0.00022381378692927484,0.0,0.0
79,SMI_MCC,395,0,0,107,60,11,2,0,871,8,17,0,780,26,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,89,0,108,877,1,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4471,708,0.1583538358309103,0,0.0,780,0.17445761574591814,0,0.0,0.0,0.0
80,SMI_DUR,787,1,1,198,78,28,3,4,976,50,30,6,499,442,2,2,0,0,0,0,0,0,0,0,0,13,0,0,1,1,0,184,85,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,27,0,0,3,0,5,0,4470,1022,0.22863534675615213,10,0.0022371364653243847,499,0.1116331096196868,4,0.0008948545861297539,0.0,0.0
81,SMI_HOL,760,0,0,133,29,11,3,0,377,46,452,1,362,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,447,762,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,2,0,0,0,4463,1228,0.27515124355814474,1,0.00022406453058480843,362,0.08111136007170065,0,0.0,0.0,0.0
82,SMI_HOF,539,69,0,159,83,12,0,14,1078,45,300,1,682,152,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,167,88,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4474,770,0.17210549843540457,15,0.0033527045149754136,682,0.15243629861421545,14,0.0031291908806437194,0.0,0.0
83,SMI_JOH_1,914,0,0,142,67,34,5,1,871,122,176,1,547,112,1,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,247,183,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,1,0,4466,1179,0.2639946260635916,2,0.0004478280340349306,547,0.12248096730855351,1,0.0002239140170174653,0.0,0.0
84,SMI_JOH_2,230,92,0,97,52,25,2,0,1179,104,105,5,415,187,13,0,0,0,0,0,0,0,0,0,0,298,0,0,0,1,0,243,78,0,2,0,3,0,0,0,0,330,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4462,806,0.18063648588077094,5,0.0011205737337516809,415,0.09300761990138952,0,0.0,0.0,0.0
