,Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Plums,Squash,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
0,POV_DUN,28,0,0,0,0,0,0,0,0,0,0,62,1113,0,0,4,0,0,0,0,0,0,9,0,9,0,0,3,0,0,7,401,87,26,5,2,2211,108,918,362,828,168,6,3,0,0,0,0,2,0,6362,111,3775,828,521,7,0.017447343602640678,0.5933668657654826,0.1301477522791575,0.08189248663942157,0.0011002829298962591,0.0044011317195850365,0.0,1000
1,DIP_FLE,2740,0,101,0,0,0,0,0,5,0,0,1183,550,3,0,11,0,0,0,0,0,0,52,0,7,0,6,3,0,0,2,146,13,0,0,1,746,0,24,156,524,107,17,0,0,0,2,0,0,0,6399,4106,1051,524,160,2,0.6416627598062197,0.16424441318956087,0.08188779496796375,0.025003906860446946,0.0003125488357555868,0.4281919049851539,0.015783716205657133,1000
2,DIP_CUR,2289,0,71,0,0,0,4,0,11,0,0,1367,597,0,0,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,346,23,9,0,1,901,31,80,194,387,35,9,3,0,0,0,3,0,0,6369,3753,1251,387,379,0,0.5892604804521903,0.1964201601507301,0.06076307112576543,0.05950698696812686,0.0,0.3593970796043335,0.011147746899042237,1000
3,GAB_STE,720,0,0,0,0,0,2,0,0,0,0,639,149,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,2,148,86,19,1,23,2381,1133,61,467,549,80,28,0,0,0,0,0,0,0,6499,1364,4173,549,277,2,0.2098784428373596,0.6420987844283736,0.08447453454377596,0.042621941837205725,0.00030773965225419295,0.11078627481150946,0.0,1000
4,SMI_CRO,881,0,1256,0,4,63,0,5,55,0,0,86,2846,0,0,2,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,127,63,7,0,0,241,22,49,91,541,87,8,0,0,0,0,0,0,0,6454,2352,498,541,197,0,0.3644251626898048,0.07716145026340254,0.08382398512550357,0.030523706228695383,0.0,0.13650449333746514,0.19460799504183451,1000
5,SMI_CAN,696,0,373,2,0,0,0,1,168,0,0,814,1028,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,12,482,148,48,3,30,1083,10,86,368,963,68,61,0,0,0,0,0,0,0,6460,2055,1706,963,711,12,0.31811145510835914,0.26408668730650153,0.14907120743034055,0.11006191950464396,0.0018575851393188853,0.10773993808049535,0.05773993808049536,1000
6,SMI_KEL,2182,0,111,0,0,2,0,11,9,0,0,175,1648,0,0,0,0,0,0,0,0,0,0,0,119,0,1,0,0,0,0,230,73,4,0,0,650,340,309,422,150,33,6,0,0,0,0,0,0,0,6475,2491,1760,150,307,0,0.3847104247104247,0.27181467181467184,0.023166023166023165,0.047413127413127414,0.0,0.33698841698841697,0.017142857142857144,1000
7,SMI_COB,802,1,6,0,0,0,0,2,2,0,0,548,1839,0,0,0,7,0,0,0,0,0,0,0,25,0,0,0,0,0,2,681,724,189,28,2,828,12,9,135,463,95,12,0,0,0,0,0,0,0,6412,1368,1093,463,1624,2,0.2133499688084841,0.17046163443543355,0.07220835932626325,0.25327510917030566,0.00031191515907673113,0.12507797878976917,0.0009357454772301934,1000
8,SMI_DOU,341,0,139,0,0,0,7,2,50,0,0,846,2540,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,518,101,15,2,0,1046,93,97,231,429,7,12,0,0,0,0,0,0,0,6494,1385,1486,429,636,5,0.21327379119186943,0.2288266091777025,0.06606097936556822,0.09793655682168155,0.000769941484447182,0.052510009239297814,0.02140437326763166,1000
9,SMI_MCC,717,0,230,0,0,0,2,0,5,0,0,366,2397,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,4,222,24,3,0,0,1220,19,17,456,785,17,19,0,0,0,0,0,0,0,6513,1323,1748,785,249,4,0.2031321971441732,0.26838630431444804,0.12052817442038999,0.03823122984799632,0.0006141563027790573,0.11008751727314602,0.03531398740979579,1000
