Name,Corn,Sorghum,Soybeans,Sunflower,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Apples,Grapes,Christmas Trees,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
POV_DUN,5,0,0,0,0,0,0,0,0,0,4,355,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,64,0,0,0,0,549,9,268,40,268,19,2,0,0,0,0,0,1588,10,887,268,64,0,0.006297229,0.558564232,0.168765743,0.040302267,0,0.003148615,0,500
DIP_FLE,526,0,7,0,0,0,0,0,0,0,399,21,0,0,0,0,0,0,0,0,17,0,7,0,2,0,0,0,37,8,0,0,0,211,0,7,70,215,62,14,0,0,0,0,0,1603,951,364,215,45,0,0.593262633,0.227074236,0.134123518,0.028072364,0,0.328134747,0.004366812,500
DIP_CUR,840,0,24,0,0,0,0,0,2,0,108,139,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,131,5,0,0,0,171,15,23,45,79,5,0,0,0,0,0,0,1593,978,259,79,136,0,0.61393597,0.162586315,0.049591965,0.085373509,0,0.527306968,0.015065913,500
GAB_STE,212,0,0,0,0,0,2,0,0,0,145,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,52,13,1,2,385,482,12,60,150,22,6,0,0,0,0,0,1627,359,969,150,114,0,0.220651506,0.595574677,0.092194222,0.070067609,0,0.130301168,0,500
SMI_CRO,496,0,251,0,4,4,0,0,35,0,18,644,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,37,3,0,0,0,4,0,0,2,109,0,0,0,0,0,0,0,1611,808,6,109,40,0,0.501551831,0.003724395,0.067659839,0.024829299,0,0.307883302,0.155803849,500
SMI_CAN,165,0,12,0,0,0,0,1,25,0,145,117,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,169,95,48,3,30,345,4,6,181,213,22,26,0,0,0,0,0,1616,348,614,213,345,7,0.215346535,0.379950495,0.131806931,0.213490099,0.004331683,0.10210396,0.007425743,500
SMI_KEL,304,0,1,0,0,0,0,0,0,0,2,423,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,69,0,2,0,0,346,36,88,256,36,8,4,0,0,0,0,0,1621,307,738,36,71,0,0.189389266,0.455274522,0.022208513,0.043800123,0,0.187538556,0.000616903,500
SMI_COB,229,0,0,0,0,0,0,0,0,0,189,267,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,250,153,47,2,0,264,0,0,63,87,39,9,0,0,0,0,0,1606,418,375,87,452,0,0.260273973,0.233499377,0.054171856,0.281444583,0,0.142590286,0,500
SMI_DOU,51,0,86,0,0,0,5,2,35,0,168,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,5,6,2,0,141,8,7,38,111,0,2,0,0,0,0,0,1625,347,196,111,122,0,0.213538462,0.120615385,0.068307692,0.075076923,0,0.031384615,0.052923077,500
SMI_MCC,360,0,185,0,0,0,0,0,4,0,133,577,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,55,8,0,0,0,52,0,0,40,203,3,1,0,0,0,0,0,1626,682,96,203,63,2,0.419434194,0.05904059,0.124846248,0.038745387,0.001230012,0.221402214,0.113776138,500
SMI_HOL,546,0,1,0,0,0,0,0,0,0,46,828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,105,0,5,5,49,2,0,0,0,0,0,0,1617,593,117,49,30,0,0.36672851,0.072356215,0.03030303,0.018552876,0,0.337662338,0.000618429,500
DIP_PAT,153,0,6,0,0,0,14,0,0,0,807,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,455,2,9,77,19,64,3,1,0,0,0,0,1618,981,610,19,0,0,0.606304079,0.377008653,0.011742892,0,0,0.094561187,0.003708282,500
MIL_YOD,342,0,296,0,0,0,0,0,0,0,230,23,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,585,1,0,99,40,0,0,0,0,0,0,0,1622,874,685,40,0,0,0.538840937,0.422318126,0.024660912,0,0,0.210850801,0.182490752,500
MIL_CHA,773,0,51,0,0,0,2,0,1,0,490,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,39,3,0,0,0,91,0,0,32,120,4,3,0,0,0,0,0,1624,1320,130,120,42,0,0.812807882,0.080049261,0.073891626,0.025862069,0,0.475985222,0.031403941,500
MIL_MCC,696,0,170,0,0,0,0,2,4,0,42,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,367,48,13,102,75,74,6,0,0,0,0,0,1617,917,610,75,1,2,0.567099567,0.377241806,0.046382189,0.000618429,0.001236858,0.430426716,0.105132962,500
KAT_SAU,447,0,16,0,0,0,2,0,0,0,40,362,0,0,76,0,0,0,0,0,6,0,16,0,0,0,0,0,22,0,0,0,0,432,31,17,21,85,0,1,0,0,0,0,0,1574,587,502,85,22,0,0.372935197,0.318932656,0.054002541,0.013977128,0,0.283989835,0.010165184,500
KAT_SAU_2,284,0,9,0,0,0,40,2,63,0,76,640,0,0,88,0,0,0,0,0,2,0,0,0,0,0,0,0,57,0,0,0,0,116,13,8,23,157,0,0,0,0,0,0,0,1578,564,160,157,57,0,0.357414449,0.10139417,0.099493029,0.036121673,0,0.179974651,0.005703422,500
KAT_TEE,154,0,9,0,0,0,1,0,1,0,233,173,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,61,8,0,0,0,784,8,0,21,88,33,12,0,0,0,0,0,1587,398,858,88,69,0,0.25078765,0.540642722,0.055450536,0.043478261,0,0.097038437,0.005671078,500
KAT_TEE_2,439,0,28,0,0,0,0,0,0,0,78,227,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,47,0,0,0,0,603,49,1,40,70,0,0,0,0,0,0,0,1587,550,693,70,47,0,0.346565848,0.436672968,0.044108381,0.029615627,0,0.276622558,0.017643352,500
