,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Squash,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Buffer
0,POV_DUN,30,0,2,0,0,3,1,1,0,0,0,0,117,745,0,0,0,0,0,0,0,0,0,0,5,0,38,3,0,0,0,1,0,9,502,107,20,5,12,2128,39,1147,61,1165,202,19,0,0,0,0,0,0,0,0,0,6362,163,3608,1165,646,9,0.02562087393901289,0.5671172587236718,0.1831185161898774,0.10154039610185477,0.0014146494812951901,0.004715498270983967,0.00031436655139893113,0.00015718327569946557,0.520905375668029,1000
1,DIP_FLE,1742,0,108,0,4,0,0,11,0,0,0,0,2068,528,2,0,8,0,0,0,0,0,0,0,13,0,89,0,0,0,3,0,0,2,177,32,4,0,3,875,0,33,16,538,129,8,3,0,0,3,0,0,0,0,0,6399,3965,1064,538,216,2,0.6196280668854508,0.16627598062197219,0.08407563681825285,0.03375527426160337,0.0003125488357555868,0.2722300359431161,0.016877637130801686,0.0017190185966557275,0.1418971714330364,1000
2,DIP_CUR,1752,1,88,0,3,7,0,329,18,22,0,0,1179,472,2,0,2,0,0,0,0,0,0,0,3,0,93,0,0,0,3,6,0,0,354,34,24,38,2,1054,19,105,23,487,50,19,177,0,0,0,2,1,0,0,0,6369,3595,1272,487,452,0,0.5644528183388287,0.19971738106453132,0.07646412309624745,0.07096875490657874,0.0,0.27508243052284503,0.013816925734024179,0.05165646098288585,0.18495839221227822,1000
3,GAB_STE,746,0,5,0,0,0,0,0,12,0,0,0,661,173,0,0,0,0,0,0,0,0,0,0,2,2,20,0,0,3,0,0,0,2,71,60,13,1,43,2691,962,430,4,393,183,22,0,0,0,0,0,0,0,0,0,6499,1431,4335,393,188,2,0.22018772118787505,0.6670256962609632,0.060470841667948916,0.028927527311894137,0.00030773965225419295,0.11478689029081397,0.0007693491306354824,0.0,0.628250500076935,1000
4,SMI_CRO,1036,0,753,0,0,411,0,33,0,15,0,0,80,2297,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,1,126,91,9,0,4,533,47,59,7,755,94,1,0,0,0,0,0,0,0,0,0,6454,2328,745,755,230,1,0.36070653858072516,0.1154322900526805,0.11698171676479703,0.03563681437867989,0.0001549426712116517,0.16052060737527116,0.11667183142237372,0.005113108149984506,0.09900836690424543,1000
5,SMI_CAN,1354,0,36,0,0,0,0,0,11,24,0,0,751,936,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,9,241,139,40,6,41,1693,14,134,32,840,117,15,0,0,0,0,0,0,0,0,0,6460,2178,2046,840,467,9,0.3371517027863777,0.31671826625386995,0.13003095975232198,0.07229102167182662,0.0013931888544891642,0.20959752321981423,0.005572755417956657,0.0,0.284984520123839,1000
6,SMI_KEL,831,0,1387,0,0,0,0,2,0,1,0,0,181,1202,0,0,0,0,0,0,0,0,0,0,0,0,413,0,0,1,0,0,0,0,191,100,7,0,0,1074,309,370,3,355,42,6,0,0,0,0,0,0,0,0,0,6475,2403,1804,355,298,0,0.3711196911196911,0.27861003861003864,0.054826254826254826,0.04602316602316602,0.0,0.12833976833976835,0.21420849420849422,0.0003088803088803089,0.2707335907335907,1000
7,SMI_COB,706,7,5,0,1,0,0,6,0,3,0,0,538,1484,0,0,0,0,0,0,0,0,0,0,5,2,96,0,0,0,0,0,0,1,503,687,253,36,22,892,26,214,7,724,159,28,0,0,7,0,0,0,0,0,0,6412,1280,1348,724,1501,1,0.19962570180910794,0.21023081721771678,0.11291328758577666,0.2340923268870867,0.00015595757953836556,0.11010605115408609,0.0007797878976918279,0.0009357454772301934,0.17654398003742983,1000
8,SMI_DOU,278,0,209,0,0,0,0,5,0,5,0,0,719,2201,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,5,537,137,25,4,0,1247,94,117,1,841,15,7,0,0,0,0,0,0,0,0,0,6494,1216,1481,841,703,5,0.18724976901755466,0.2280566676932553,0.12950415768401602,0.10825377271327379,0.000769941484447182,0.04280874653526332,0.03218355404989221,0.000769941484447182,0.2245149368647983,1000
9,SMI_MCC,575,2,284,0,0,0,0,0,0,0,0,0,345,1905,0,0,0,0,0,2,0,0,0,0,0,0,99,0,0,0,0,0,0,2,204,61,2,0,0,1738,14,24,8,1193,53,2,0,0,0,0,0,0,0,0,0,6513,1208,1839,1193,267,2,0.1854752034392753,0.2823583602026716,0.18317211730385383,0.04099493321050207,0.00030707815138952864,0.08828496852448948,0.04360509749731307,0.0,0.27268539843390144,1000
