,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,POV_DUN,614,0,23,0,4,5,1,2,4,4,0,0,809,1925,0,0,0,0,0,0,0,0,0,0,28,0,123,3,0,0,5,6,0,146,1991,338,72,12,235,8799,484,4982,247,3751,718,97,2,0,0,0,0,0,0,0,3,0,25433,1513,15562,3751,2648,146,0.05948963944481579,0.6118822002909605,0.1474855502693351,0.10411669877717926,0.005740573270947195,0.024141862933983408,0.0009043368851492156,7.863799001297527e-05,0.5608854637675461,0.7593677505602956,2000
1,DIP_FLE,5755,0,349,0,22,6,2,25,1,92,0,2,4427,2827,2,0,9,0,0,0,1,0,0,0,32,0,291,0,0,0,11,0,0,4,1312,286,26,0,24,6382,222,1015,107,1603,738,28,5,0,0,0,3,0,0,2,0,0,25611,10746,8516,1603,1648,4,0.41958533442661355,0.3325133731599703,0.06259029323337628,0.06434735074772559,0.0001561828901643825,0.22470813322400532,0.013626957166842372,0.0009761430635273906,0.29748936004060755,0.3951036663933466,2000
2,DIP_CUR,3984,1,168,0,8,10,0,340,26,39,0,0,3579,2584,5,0,5,0,0,0,5,0,0,0,10,0,209,0,0,0,9,6,0,10,1312,223,80,92,17,6858,146,1682,144,3316,345,69,177,0,0,0,0,5,1,0,0,0,25465,8378,9261,3316,1724,10,0.3290005890437856,0.3636756332220695,0.1302179462006676,0.06770076575692126,0.00039269585705870805,0.15645002945218928,0.006597290398586295,0.013351659139996074,0.3410956214411938,0.49389357942273715,2000
3,GAB_STE,3253,31,20,0,73,0,0,20,81,1,0,0,2516,1025,0,0,0,0,2,0,0,0,0,0,6,14,250,0,0,4,0,0,0,303,386,381,98,9,100,9889,1587,1816,33,2936,997,154,12,0,0,0,0,0,0,0,2,0,25999,6035,14576,2936,974,303,0.23212431247355667,0.5606369475749067,0.1129274202853956,0.037462979345359436,0.011654294395938306,0.12512019693065118,0.0007692603561675449,0.0007692603561675449,0.5112504327089503,0.6735643678603023,2000
4,SMI_CRO,2235,0,1055,0,0,482,0,33,4,68,0,0,384,10330,0,0,13,0,2,0,0,0,0,0,4,3,246,0,0,0,0,2,0,45,817,311,35,0,8,3764,243,879,34,4319,465,25,0,0,0,0,0,0,0,0,0,0,25806,4285,5418,4319,1171,45,0.1660466558164768,0.20995117414554754,0.1673641788731303,0.04537704409827172,0.0017437805161590327,0.08660776563589863,0.0408819654343951,0.0012787723785166241,0.18933581337673408,0.3773153530186778,2000
5,SMI_CAN,3851,0,224,0,0,2,0,7,23,136,0,0,3696,3419,0,0,0,0,0,4,0,0,0,0,5,4,198,0,0,1,0,0,0,105,896,296,52,6,49,7240,213,515,50,2659,2064,119,1,0,0,0,0,0,0,0,0,0,25835,7954,10250,2659,1299,105,0.3078769111670215,0.3967485968647184,0.10292239210373524,0.050280627056318944,0.004064253919101994,0.14906135088058836,0.00867040836075092,0.00027095026127346624,0.3084188116895684,0.49967098896845363,2000
6,SMI_KEL,5306,0,4383,0,0,0,0,3,1,12,0,0,579,5297,0,0,0,0,0,0,0,0,0,0,1,0,915,0,0,1,0,0,0,370,694,562,228,4,5,3658,417,600,20,2472,351,26,0,0,0,0,0,0,0,0,0,0,25905,10286,5077,2472,1493,370,0.3970662034356302,0.19598533101717816,0.09542559351476548,0.05763366145531751,0.014282956958116193,0.20482532329666087,0.16919513607411696,0.00011580775911986103,0.18046709129511676,0.2914109245319436,2000
7,SMI_COB,1807,17,33,0,1,0,0,12,8,3,0,0,1132,5049,2,0,0,4,0,0,0,0,0,0,8,2,206,0,0,0,0,0,0,17,1516,1893,843,245,53,7055,373,2466,31,2286,522,58,0,0,7,0,0,0,0,5,0,0,25654,3041,10558,2286,4550,17,0.11853901925625633,0.4115537538005769,0.0891089108910891,0.17736025571061043,0.000662664691666017,0.07043735869649957,0.00128634910735168,0.0004677633117642473,0.3856708505496219,0.500662664691666,2000
8,SMI_DOU,969,0,414,0,0,1,0,5,0,11,0,0,1662,6739,0,0,0,0,0,0,0,0,0,0,3,2,617,0,0,0,0,2,0,385,2593,1427,1203,288,23,5891,123,253,25,3100,224,23,2,0,0,0,0,0,0,0,0,0,25985,3071,6562,3100,5534,385,0.11818356744275543,0.25253030594573794,0.11929959592072349,0.21296902058880124,0.014816240138541466,0.03729074466038099,0.015932268616509523,0.00019241870309794111,0.2411776024629594,0.3718299018664614,2000
9,SMI_MCC,3300,3,521,0,0,5,0,7,2,7,0,0,1268,6412,0,0,3,0,0,2,0,0,0,0,3,0,967,0,0,0,0,0,0,4,959,155,6,0,2,7105,120,222,21,4632,284,22,0,0,0,0,0,0,0,0,0,0,26032,5121,7776,4632,1122,4,0.19671942224953903,0.29870928088506454,0.17793484941610327,0.04310079901659496,0.00015365703749231714,0.12676705593116164,0.02001382913337431,0.00026889981561155503,0.28607098955132143,0.4766441303011678,2000
