,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Aquaculture,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Turnips,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,POV_DUN,850,0,53,0,4,5,1,3,4,7,0,0,1285,3777,0,0,1,0,0,0,0,0,0,0,97,0,195,3,0,0,5,6,0,0,179,3426,523,114,23,258,23809,827,10910,399,8398,1781,267,3,0,0,0,0,0,0,0,0,3,0,0,57216,2330,38251,8398,4344,179,0.04072287472035794,0.6685367729306487,0.14677712527964207,0.0759228187919463,0.0031284955257270693,0.014855984340044743,0.0009263143176733781,5.243288590604027e-05,0.6212597874720358,0.8153138982102908,3000
1,DIP_FLE,12107,0,1096,0,34,6,2,268,39,260,0,2,9333,4199,2,0,9,0,0,0,1,0,0,0,62,0,642,0,0,8,21,5,0,0,13,2472,441,32,0,42,17957,426,2532,281,3550,1660,87,8,0,0,0,3,0,2,0,4,0,0,0,57606,23272,22985,3550,2987,13,0.40398569593445127,0.3990035760163872,0.06162552511891122,0.05185223761413742,0.00022567093705516786,0.21016907960976286,0.01902579592403569,0.004652293163906538,0.3630698191160643,0.4606291011352984,3000
2,DIP_CUR,5052,263,219,0,10,10,0,350,29,43,0,0,4312,3935,7,0,6,0,0,0,5,0,0,0,21,0,309,0,0,0,13,14,0,0,28,2291,318,89,92,37,22016,1137,8600,247,6573,955,137,178,0,0,0,0,0,5,1,0,0,0,0,57302,10538,33129,6573,2827,28,0.1839028306167324,0.5781473596035043,0.11470803811385293,0.049335101741649505,0.0004886391399951136,0.08816446197340407,0.003821856130676067,0.00610798924993892,0.5541342361523158,0.6928553977173572,3000
3,GAB_STE,6829,111,64,0,385,0,0,40,355,1,0,0,5650,3123,0,0,0,0,2,0,30,0,0,0,12,81,881,0,0,7,0,0,0,0,778,2476,2228,1518,527,886,16986,2572,3732,70,6306,2457,321,56,0,0,0,0,0,0,0,13,3,0,0,58500,13639,27024,6306,7635,778,0.23314529914529913,0.46194871794871795,0.1077948717948718,0.1305128205128205,0.013299145299145299,0.11673504273504273,0.001094017094017094,0.0006837606837606838,0.3981196581196581,0.5697435897435897,3000
4,SMI_CRO,4853,0,1890,0,0,482,0,41,4,70,0,0,975,22691,0,0,13,0,2,0,0,0,0,0,4,5,1057,0,0,0,0,2,0,0,46,1981,629,50,0,9,9834,448,1982,69,9895,975,59,0,0,0,0,0,0,0,0,0,1,0,0,58067,8342,13376,9895,2669,46,0.14366163225239809,0.2303545903869668,0.1704065992732533,0.045964144867136236,0.0007921883341657052,0.08357586925448189,0.03254860764289528,0.000706080906538998,0.21120429848278713,0.4007611896602201,3000
5,SMI_CAN,6349,2,431,0,0,2,0,7,25,493,0,0,6668,9688,0,0,1,0,2,8,0,0,0,0,9,6,338,0,0,1,0,0,0,0,319,2114,526,76,6,53,15893,842,1522,118,7640,4716,260,1,0,0,0,0,0,0,0,0,3,0,0,58119,14008,23404,7640,2775,319,0.2410227292279633,0.4026910304719627,0.13145442970457166,0.047746864192432764,0.00548873862248146,0.10924138405684888,0.007415819267365234,0.00012044254030523581,0.3141313511932414,0.5341454601765343,3000
6,SMI_KEL,12798,0,4812,0,0,0,0,9,3,12,0,0,928,10793,0,0,0,3,0,0,0,0,0,0,1,0,1459,0,0,1,0,6,0,0,1708,1687,1330,493,29,13,11222,1198,2035,84,5151,2370,137,0,0,0,0,0,0,0,0,0,0,0,0,58282,18573,17059,5151,3552,1708,0.31867471946741704,0.2926975738650012,0.08838063209910435,0.06094506022442606,0.029305789094403074,0.21958752273429188,0.08256408496619883,0.00015442160529837687,0.2480182560653375,0.3810782059641056,3000
7,SMI_COB,2803,21,38,0,1,0,0,26,8,3,0,0,1554,9810,2,0,0,4,0,0,0,0,0,0,10,3,267,0,0,0,2,0,0,0,138,3643,3503,1931,560,66,18259,1246,7876,51,4663,1096,124,0,0,7,0,0,0,0,0,5,3,0,0,57723,4490,28718,4663,9703,138,0.07778528489510247,0.49751398922439927,0.08078235711934584,0.1680959063111758,0.002390728132633439,0.048559499679503834,0.0006583164423193527,0.00045042703948166245,0.47435164492489995,0.5782963463437452,3000
8,SMI_DOU,2643,0,747,0,0,1,0,6,12,47,0,0,3105,10950,0,0,0,0,0,0,0,0,0,0,3,2,2379,0,0,0,0,4,0,0,912,5226,3114,2107,444,27,17924,686,1158,72,5980,848,60,2,0,0,0,0,0,0,0,0,0,0,0,58459,6572,20775,5980,10918,912,0.11242067089755213,0.35537727296053645,0.10229391539369473,0.18676337262012693,0.01560067739783438,0.04521117364306608,0.012778186421252502,0.00010263603551206829,0.33815152500042767,0.45767118835423115,3000
9,SMI_MCC,5991,3,845,0,0,6,0,7,2,12,0,0,2251,13261,2,0,9,0,2,2,0,0,0,0,71,0,2138,0,0,0,0,1,0,0,32,2167,491,22,3,7,18063,1019,1307,69,9248,1482,57,1,0,1,0,0,0,0,0,0,0,0,0,58572,9206,22004,9248,2690,32,0.15717407635047462,0.37567438366454964,0.1578911425254388,0.045926381206037016,0.0005463361333060165,0.10228436795738578,0.014426688520111999,0.00011951102916069112,0.3481014819367616,0.5335655261899884,3000
10,SMI_HOL,7966,0,27,0,0,0,0,0,9,9,0,0,1724,17377,0,0,0,0,0,0,2,0,0,0,0,3,2055,0,0,26,0,0,0,0,1228,2309,588,92,31,187,11310,1391,6371,16,2169,3169,105,0,0,0,0,0,0,0,0,10,0,0,0,58174,9776,22549,2169,3207,1228,0.16804758139374978,0.38761302299996564,0.0372846976312442,0.05512772028741362,0.02110908653350294,0.13693402550967787,0.0004641248667789734,0.0,0.32784405404476225,0.42489772063120984,3000
11,DIP_PAT,17561,0,3581,0,12,0,3,1739,37,24,0,0,12819,2471,0,0,18,0,2,0,5,0,0,0,14,2,3199,2,0,29,18,8,0,0,73,1913,616,133,15,236,7995,51,142,170,3320,1850,109,6,0,0,0,0,0,0,0,0,2,0,0,58175,35882,10553,3320,2913,73,0.6167941555651053,0.1814009454232918,0.05706918779544478,0.05007305543618393,0.0012548345509239365,0.3018650623119897,0.061555651052857756,0.029892565535023636,0.1407477438762355,0.23847013321873659,3000
12,MIL_YOD,9039,3,2126,0,8,14,2,127,23,62,0,0,12687,3099,4,0,157,0,0,0,0,0,0,0,12,4,950,0,0,2,0,5,0,0,9,2664,246,34,0,34,16394,340,463,509,8015,1135,175,9,0,0,0,0,0,1,0,0,0,0,0,58352,24285,19050,8015,2978,9,0.4161811077598026,0.32646695914450236,0.1373560460652591,0.05103509734027968,0.00015423635865094597,0.15490471620510007,0.036434055387990126,0.0021764463942966824,0.2947114066355909,0.4638230052097615,3000
13,MIL_CHA,13605,0,3279,0,4,13,0,312,0,49,0,2,8855,1437,0,0,51,0,0,0,0,0,0,0,2,0,759,0,0,4,8,2,0,0,69,2589,228,13,0,28,18385,1208,1198,237,5588,453,36,1,0,0,0,0,0,0,0,0,0,0,0,58415,26187,21545,5588,2858,69,0.4482923906530857,0.3688265000427972,0.09566036120859368,0.04892578960883335,0.0011812034580159206,0.23290250791748696,0.05613284259180005,0.005341093897115467,0.3559188564581015,0.4644868612513909,3000
14,MIL_MCC,10136,0,1444,0,0,2,0,736,0,55,0,0,4862,2369,0,0,482,0,0,0,0,0,0,0,4,0,458,0,0,1,0,15,0,0,133,3048,1318,482,165,52,20461,1385,1705,289,5821,2658,121,8,0,0,0,0,0,0,0,0,1,0,0,58211,17746,26671,5821,5065,133,0.3048564704265517,0.4581780075930666,0.09999828211162838,0.08701104602222948,0.002284791534246105,0.17412516534675576,0.024806308086100567,0.012643658415076189,0.4045798903987219,0.558176289704695,3000
