Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Oats/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
POV_DUN,9,0,0,0,0,0,0,0,0,0,0,0,15,193,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,104,8,0,0,0,514,2,300,2,401,27,1,0,0,0,0,0,0,0,1588,27,846,401,112,0,0.017002519,0.532745592,0.252518892,0.070528967,0,0.005667506,0,500
DIP_FLE,301,0,30,0,0,0,0,0,0,0,0,0,597,35,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,64,8,0,0,0,248,0,5,5,208,90,6,0,0,0,0,0,0,0,1603,930,354,208,72,0,0.580162196,0.220835933,0.129756706,0.044915783,0,0.187772926,0.01871491,500
DIP_CUR,554,0,18,0,0,3,0,89,10,3,0,0,139,104,0,2,0,0,0,0,0,0,0,0,41,0,0,0,3,3,0,0,112,16,0,0,0,218,8,35,3,125,12,0,95,0,0,0,0,0,0,1593,919,276,125,128,0,0.576898933,0.173258004,0.078468299,0.080351538,0,0.3477715,0.011299435,500
GAB_STE,207,0,0,0,0,0,0,0,9,0,0,0,174,49,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,0,22,37,10,1,13,425,406,70,3,128,47,7,0,0,0,0,0,0,0,1627,392,971,128,83,0,0.240934235,0.596803934,0.078672403,0.051014136,0,0.127228027,0,500
SMI_CRO,372,0,337,0,0,193,0,4,0,3,0,0,13,434,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,39,13,0,0,0,48,0,7,0,111,3,0,0,0,0,0,0,0,0,1611,922,58,111,52,0,0.572315332,0.036002483,0.068901304,0.032278088,0,0.230912477,0.20918684,500
SMI_CAN,284,0,10,0,0,0,0,0,0,0,0,0,81,91,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,71,78,38,6,41,627,14,12,24,180,46,5,0,0,0,0,0,0,0,1616,375,769,180,234,0,0.232054455,0.475866337,0.111386139,0.14480198,0,0.175742574,0.006188119,500
SMI_KEL,192,0,171,0,0,0,0,0,0,0,0,0,7,281,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,92,12,0,0,0,582,40,98,0,75,16,2,0,0,0,0,0,0,0,1621,370,738,75,104,0,0.228254164,0.455274522,0.046267736,0.064157927,0,0.118445404,0.105490438,500
SMI_COB,207,5,0,0,0,0,0,2,0,0,0,0,186,247,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,156,147,64,4,2,294,11,81,2,106,67,5,0,0,0,0,0,0,0,1606,400,462,106,373,0,0.249066002,0.287671233,0.066002491,0.232254047,0,0.128891656,0,500
SMI_DOU,42,0,123,0,0,0,0,5,0,0,0,0,131,699,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,111,13,5,0,0,188,7,11,0,263,1,0,0,0,0,0,0,0,0,1625,301,207,263,129,0,0.185230769,0.127384615,0.161846154,0.079384615,0,0.025846154,0.075692308,500
SMI_MCC,372,0,146,0,0,0,0,0,0,0,0,0,85,551,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,42,22,2,0,0,112,1,0,2,263,1,2,0,0,0,0,0,0,0,1626,603,118,263,66,0,0.370848708,0.072570726,0.161746617,0.040590406,0,0.228782288,0.089790898,500
