Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Other Small Grains,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
POV_DUN,173,2,20,0,6,0,0,11,0,0,4,0,0,0,931,1593,1,0,0,0,0,0,0,0,0,0,30,0,4,0,0,2,4,6,0,143,2221,747,167,42,214,7524,686,4513,27,5581,685,45,46,0,0,0,0,0,0,5,0,0,25433,1241,13694,5581,3391,143,0.048794873,0.538434318,0.219439311,0.133330712,0.005622616,0.006802186,0.00078638,2000
DIP_FLE,5187,4,242,0,31,1,8,105,0,0,2,22,0,0,5152,2657,0,0,10,2,0,0,0,0,0,0,35,0,13,0,0,0,4,1,0,3,698,997,170,17,9,5905,296,725,36,2586,645,17,1,0,0,2,0,2,26,0,0,0,25611,10837,7633,2586,1891,3,0.423138495,0.298036,0.100972238,0.073835461,0.000117137,0.202530163,0.009449065,2000
DIP_CUR,5521,3,167,0,2,0,0,32,0,286,2,3,0,0,2276,1658,0,0,5,0,0,9,4,0,0,0,10,1,11,0,0,0,1,6,0,10,1165,528,157,121,8,6302,170,1479,33,4975,368,36,5,0,0,0,0,105,6,0,0,0,25465,8444,8396,4975,1979,10,0.331592382,0.329707442,0.195366189,0.07771451,0.000392696,0.216807383,0.006558021,2000
GAB_STE,2689,16,97,1,54,0,0,0,0,0,77,24,0,0,2543,988,0,0,0,0,0,0,0,0,0,0,6,19,13,0,0,0,0,0,0,273,393,471,213,34,78,8444,2050,1895,31,4496,1012,71,4,0,0,0,0,0,2,5,0,0,25999,5537,13581,4496,1189,273,0.21296973,0.522366245,0.172929728,0.045732528,0.010500404,0.103427055,0.003730913,2000
SMI_CRO,2909,0,1030,0,0,235,0,341,0,0,325,91,0,0,819,8803,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,52,811,477,129,12,3,3104,240,1044,14,4673,655,8,0,0,0,0,0,0,16,0,0,0,25806,5781,5068,4673,1432,52,0.22401767,0.196388437,0.181081919,0.055490971,0.002015035,0.112725723,0.039913198,2000
SMI_CAN,3460,0,37,0,0,0,0,44,0,0,10,35,0,0,4520,2686,2,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,110,788,415,172,30,42,6513,194,449,12,3994,2175,130,0,0,0,0,0,0,0,0,0,0,25835,8111,9515,3994,1447,110,0.313953938,0.368298819,0.154596478,0.05600929,0.00425779,0.133926843,0.001432166,2000
SMI_KEL,8505,2,988,0,0,0,0,12,0,0,0,2,0,0,1358,5159,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,364,696,603,370,22,4,3080,394,683,17,3056,447,19,104,0,0,0,0,0,6,0,0,0,25905,10978,4644,3056,1695,364,0.423779193,0.179270411,0.117969504,0.065431384,0.014051341,0.328314997,0.038139355,2000
SMI_COB,2233,2,64,0,0,0,0,2,0,0,0,2,0,0,2949,621,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,17,1438,1626,1405,340,22,6000,397,2573,10,5329,590,25,0,0,0,0,0,0,0,0,0,0,25654,5260,9617,5329,4831,17,0.205036252,0.374873314,0.207725891,0.188313713,0.000662665,0.087042956,0.002494738,2000
SMI_DOU,1340,1,721,0,0,0,0,14,0,0,3,7,0,0,1822,5885,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,377,2379,1327,1574,474,10,5350,182,292,23,3933,244,19,0,0,0,0,0,0,0,0,0,0,25985,3913,6120,3933,5764,377,0.150586877,0.235520493,0.151356552,0.221820281,0.01450837,0.051568212,0.027746777,2000
SMI_MCC,3256,0,1347,0,0,0,0,14,0,0,23,5,0,0,1512,5802,0,0,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,8,942,289,70,17,3,6504,122,318,42,5377,338,13,0,0,0,0,0,0,2,0,0,0,26032,6160,7340,5377,1321,8,0.236631838,0.281960664,0.206553473,0.050745237,0.000307314,0.125076829,0.051744007,2000
