,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Other Small Grains,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Squash,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,POV_DUN,18,0,0,0,1,0,0,2,0,0,0,0,0,0,93,625,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,5,576,205,46,8,7,1876,80,984,6,1599,209,14,0,0,0,0,0,2,0,6362,119,3176,1599,842,5,0.018704809808236404,0.49921408362150266,0.2513360578434455,0.13234831813895,0.0007859163784973279,0.0028292989625903803,0.0,0.00031436655139893113,0.4621188305564288,0.7505501414649481,1000
1,DIP_FLE,1431,0,36,0,19,0,4,2,0,0,0,0,0,0,2389,505,0,0,8,0,0,0,0,17,0,2,0,0,2,0,0,2,77,152,22,4,0,817,2,19,6,771,90,8,0,0,0,2,12,0,0,6399,3922,942,771,255,2,0.6129082669167057,0.1472105016408814,0.12048757618377871,0.03984997655883732,0.0003125488357555868,0.22362869198312235,0.005625879043600563,0.0003125488357555868,0.13095796218159086,0.2676980778246601,1000
2,DIP_CUR,2181,1,107,0,0,0,0,7,0,286,0,2,0,0,1040,291,0,0,0,0,6,0,0,6,0,0,0,0,0,6,0,0,267,125,60,39,1,943,25,93,3,830,41,4,5,0,0,0,0,0,0,6369,3647,1110,830,492,0,0.5726173653634794,0.17428167687235044,0.13031873135500077,0.07724917569477155,0.0,0.3424399434762129,0.016800125608415765,0.0010990736379337415,0.16658816140681426,0.30460040822735124,1000
3,GAB_STE,726,0,4,0,0,0,0,0,0,0,2,0,0,0,604,132,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,2,82,81,26,8,43,2189,1189,495,6,702,188,13,0,0,0,0,0,0,0,6499,1339,4123,702,240,2,0.20603169718418218,0.6344052931220188,0.10801661794122172,0.036928758270503154,0.00030773965225419295,0.11170949376827204,0.0006154793045083859,0.0,0.5959378365902447,0.7424219110632405,1000
4,SMI_CRO,1279,0,650,0,0,180,0,231,0,0,249,91,0,0,139,1806,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,129,118,41,8,0,402,46,78,6,847,146,4,0,0,0,0,2,0,0,6454,2822,682,847,296,1,0.43724821815928105,0.10567090176634646,0.13123644251626898,0.0458630306786489,0.0001549426712116517,0.19817167647970252,0.1007127362875736,0.03579175704989154,0.08149984505732878,0.23690734428261545,1000
5,SMI_CAN,772,0,6,0,0,0,0,15,0,0,6,35,0,0,1366,684,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,216,144,89,16,34,1485,20,146,3,1248,137,17,0,0,0,0,0,0,0,6460,2200,1842,1248,499,16,0.34055727554179566,0.2851393188854489,0.1931888544891641,0.07724458204334365,0.002476780185758514,0.1195046439628483,0.0009287925696594427,0.0023219814241486067,0.25557275541795665,0.478328173374613,1000
6,SMI_KEL,2066,0,349,0,0,0,0,0,0,0,0,0,0,0,248,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,130,19,2,0,1011,260,379,0,535,93,1,18,0,0,0,1,0,0,6475,2682,1744,535,347,0,0.4142084942084942,0.2693436293436293,0.08262548262548262,0.05359073359073359,0.0,0.3190733590733591,0.053899613899613896,0.0,0.2548262548262548,0.35196911196911196,1000
7,SMI_COB,862,0,13,0,0,0,0,1,0,0,0,0,0,0,1017,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,425,582,498,52,0,751,19,155,3,1654,139,13,0,0,0,0,0,0,0,6412,1893,1080,1654,1557,1,0.29522769806612603,0.1684341859014348,0.25795383655645665,0.2428259513412352,0.00015595757953836556,0.1344354335620711,0.002027448533998752,0.00015595757953836556,0.14426076107298816,0.4263880224578914,1000
8,SMI_DOU,320,0,180,0,0,0,0,0,0,0,0,0,0,0,791,2119,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,554,155,52,14,0,1113,104,122,4,914,41,6,0,0,0,0,0,0,0,6494,1293,1390,914,775,3,0.19910686787804127,0.2140437326763166,0.14074530335694488,0.11934093008931321,0.0004619648906683092,0.04927625500461965,0.027717893440098552,0.0,0.20619032953495534,0.3547890360332615,1000
9,SMI_MCC,742,0,394,0,0,0,0,0,0,0,0,0,0,0,310,1735,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,199,112,21,4,0,1585,26,45,13,1243,70,3,0,0,0,0,0,0,0,6513,1446,1742,1243,336,2,0.2220175034546292,0.26746506986027946,0.19084907108859206,0.05158912943344081,0.00030707815138952864,0.11392599416551512,0.06049439582373714,0.0,0.2542607093505297,0.4583141409488715,1000
10,SMI_HOL,1113,0,71,0,0,0,0,0,0,0,0,0,0,0,813,1857,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,251,55,22,6,2,654,120,840,4,536,114,1,0,0,0,0,2,0,0,6463,2001,1735,536,336,0,0.3096085409252669,0.26845118366083864,0.08293362215689308,0.051988240755067305,0.0,0.17221104750116045,0.01098561039764815,0.0,0.24972922791273403,0.35138480581773174,1000
11,DIP_PAT,2653,2,353,0,10,0,0,1024,0,0,0,0,0,0,739,122,0,0,9,3,0,0,0,1,0,7,0,0,0,0,0,0,72,190,47,2,1,820,3,10,2,237,148,3,2,0,0,0,2,2,2,6466,4802,987,237,312,0,0.742653881843489,0.15264460253634396,0.03665326322301268,0.04825239715434581,0.0,0.4103000309310238,0.05459325703680792,0.1583668419424683,0.12882771419733993,0.18929786575935664,1000
12,MIL_YOD,1197,2,701,0,0,0,0,169,0,0,0,2,0,0,961,229,0,0,8,0,0,0,0,1,0,3,0,0,0,0,0,0,234,36,13,3,0,1781,0,7,5,1111,11,1,1,0,0,2,0,0,0,6478,3044,1805,1111,286,0,0.469898116702686,0.2786353812905218,0.17150355047854277,0.04414942883606051,0.0,0.1847792528558197,0.10821241123803643,0.02608829885767212,0.27601111454152516,0.45013893176906455,1000
13,MIL_CHA,2777,0,549,0,0,0,0,78,0,0,0,0,0,0,1014,99,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,248,37,40,1,0,1011,4,21,0,564,22,0,23,3,0,0,0,0,0,6493,4444,1058,564,326,0,0.6844293854920683,0.1629447096873556,0.08686277529647313,0.05020791621746496,0.0,0.4276913599260742,0.08455259510241799,0.012012937009086708,0.15955644540274141,0.24980748498382874,1000
14,MIL_MCC,2389,0,221,0,0,4,0,206,0,0,0,0,0,0,371,203,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,237,39,8,0,0,1364,94,99,9,760,448,15,0,0,0,0,0,0,0,6471,3191,2029,760,284,0,0.493123164889507,0.31355277391438724,0.11744707154999227,0.04388811621078659,0.0,0.3691855972801731,0.03415237212177407,0.031834337814866324,0.24061196105702365,0.4309998454643795,1000
15,KAT_SAU,651,1,26,0,0,0,0,31,0,0,0,0,0,0,158,1240,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,390,57,11,6,0,2114,154,604,2,833,5,0,1,0,0,0,0,0,0,6290,872,2879,833,464,2,0.1386327503974563,0.4577106518282989,0.13243243243243244,0.07376788553259142,0.0003179650238473768,0.10349761526232114,0.004133545310015898,0.00492845786963434,0.45659777424483305,0.5901430842607314,1000
16,KAT_SAU_2,1140,0,2,0,0,0,0,8,0,0,0,4,0,0,193,1754,0,0,128,2,0,0,2,4,1,0,0,0,0,0,0,4,434,60,24,2,1,1222,68,241,0,993,1,3,0,0,0,0,0,0,0,6291,1484,1536,993,521,4,0.23589254490542044,0.24415832141154029,0.15784453981878874,0.08281672230170084,0.0006358289620092195,0.18121125417262757,0.00031791448100460976,0.001271657924018439,0.24336353520902876,0.402002861230329,1000
