,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Other Small Grains,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Hops,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
0,POV_DUN,173,2,20,0,6,0,0,11,0,0,4,0,0,0,931,1593,1,0,0,0,0,0,0,0,0,0,30,0,4,0,0,2,4,6,0,143,2221,747,167,42,214,7524,686,4513,27,5581,685,45,46,0,0,0,0,0,0,5,0,0,25433,1241,13694,5581,3391,143,0.048794872803051156,0.5384343176188416,0.2194393111312075,0.13333071206699956,0.0056226162859277316,0.006802186136122361,0.0007863799001297527,2000
1,DIP_FLE,5187,4,242,0,31,1,8,105,0,0,2,22,0,0,5152,2657,0,0,10,2,0,0,0,0,0,0,35,0,13,0,0,0,4,1,0,3,698,997,170,17,9,5905,296,725,36,2586,645,17,1,0,0,2,0,2,26,0,0,0,25611,10837,7633,2586,1891,3,0.4231384951778533,0.29803600015618287,0.10097223849127328,0.07383546132521182,0.00011713716762328687,0.202530162820663,0.00944906485494514,2000
2,DIP_CUR,5521,3,167,0,2,0,0,32,0,286,2,3,0,0,2276,1658,0,0,5,0,0,9,4,0,0,0,10,1,11,0,0,0,1,6,0,10,1165,528,157,121,8,6302,170,1479,33,4975,368,36,5,0,0,0,0,105,6,0,0,0,25465,8444,8396,4975,1979,10,0.3315923817003731,0.3297074415864913,0.19536618888670723,0.07771451011191832,0.00039269585705870805,0.2168073826821127,0.006558020812880424,2000
3,GAB_STE,2689,16,97,1,54,0,0,0,0,0,77,24,0,0,2543,988,0,0,0,0,0,0,0,0,0,0,6,19,13,0,0,0,0,0,0,273,393,471,213,34,78,8444,2050,1895,31,4496,1012,71,4,0,0,0,0,0,2,5,0,0,25999,5537,13581,4496,1189,273,0.2129697296049848,0.5223662448555714,0.1729297280664641,0.04573252817416054,0.010500403861686988,0.10342705488672642,0.0037309127274125927,2000
4,SMI_CRO,2909,0,1030,0,0,235,0,341,0,0,325,91,0,0,819,8803,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,52,811,477,129,12,3,3104,240,1044,14,4673,655,8,0,0,0,0,0,0,16,0,0,0,25806,5781,5068,4673,1432,52,0.22401767030923042,0.19638843679764395,0.18108191893358133,0.05549097109199411,0.0020150352631171046,0.11272572270014725,0.03991319848097342,2000
5,SMI_CAN,3460,0,37,0,0,0,0,44,0,0,10,35,0,0,4520,2686,2,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,110,788,415,172,30,42,6513,194,449,12,3994,2175,130,0,0,0,0,0,0,0,0,0,0,25835,8111,9515,3994,1447,110,0.3139539384555835,0.36829881943100445,0.15459647764660345,0.05600928972324366,0.004257789820011612,0.13392684342945615,0.0014321656667311787,2000
6,SMI_KEL,8505,2,988,0,0,0,0,12,0,0,0,2,0,0,1358,5159,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,364,696,603,370,22,4,3080,394,683,17,3056,447,19,104,0,0,0,0,0,6,0,0,0,25905,10978,4644,3056,1695,364,0.4237791932059448,0.17927041111754488,0.1179695039567651,0.06543138390272148,0.014051341439876472,0.328314997104806,0.03813935533680757,2000
7,SMI_COB,2233,2,64,0,0,0,0,2,0,0,0,2,0,0,2949,621,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,17,1438,1626,1405,340,22,6000,397,2573,10,5329,590,25,0,0,0,0,0,0,0,0,0,0,25654,5260,9617,5329,4831,17,0.20503625165666173,0.37487331410306385,0.20772589069930616,0.1883137132610899,0.000662664691666017,0.08704295626413035,0.0024947376627426523,2000
8,SMI_DOU,1340,1,721,0,0,0,0,14,0,0,3,7,0,0,1822,5885,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,0,0,0,377,2379,1327,1574,474,10,5350,182,292,23,3933,244,19,0,0,0,0,0,0,0,0,0,0,25985,3913,6120,3933,5764,377,0.15058687704444873,0.23552049259187993,0.1513565518568405,0.2218202809313065,0.01450837021358476,0.05156821243024822,0.02774677698672311,2000
9,SMI_MCC,3256,0,1347,0,0,0,0,14,0,0,23,5,0,0,1512,5802,0,0,0,0,0,0,0,0,0,0,1,0,27,0,0,0,0,0,0,8,942,289,70,17,3,6504,122,318,42,5377,338,13,0,0,0,0,0,0,2,0,0,0,26032,6160,7340,5377,1321,8,0.2366318377381684,0.28196066379840196,0.20655347264904733,0.05074523663183774,0.00030731407498463427,0.12507682851874616,0.0517440073755378,2000
