Name,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alfalfa,Buckwheat,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,Open Water,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Buffer
POV_DUN,17,0,0,0,0,0,0,0,0,0,11,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,21,0,0,0,438,6,301,0,521,21,0,0,0,0,0,0,0,1588,28,766,521,138,0,0.017632242,0.482367758,0.328085642,0.086901763,0,0.01070529,0,500
DIP_FLE,530,0,5,0,0,0,0,0,0,0,373,19,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,38,38,9,0,0,232,2,6,2,285,56,5,0,0,0,0,0,0,1603,911,303,285,85,0,0.56830942,0.189020586,0.177791641,0.053025577,0,0.330630069,0.003119152,500
DIP_CUR,210,1,83,0,0,0,284,0,2,0,322,82,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,91,45,6,0,0,169,16,34,0,241,4,0,0,0,0,0,0,0,1593,905,223,241,142,0,0.568110483,0.139987445,0.15128688,0.089139987,0,0.131826742,0.05210295,500
GAB_STE,262,0,2,0,0,0,0,0,0,0,116,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,24,42,20,8,13,292,472,94,0,194,46,2,0,0,0,0,0,0,1627,381,919,194,107,2,0.234173325,0.56484327,0.119237861,0.065765212,0.001229256,0.161032575,0.001229256,500
SMI_CRO,626,0,351,0,180,13,0,5,1,0,22,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,19,4,0,0,28,0,12,0,153,6,0,0,0,0,0,0,0,1611,1198,46,153,67,0,0.743637492,0.028553693,0.094972067,0.041589075,0,0.388578523,0.217877095,500
SMI_CAN,227,0,6,0,0,0,0,0,0,0,152,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,66,59,63,16,34,548,15,15,1,267,64,9,0,0,0,0,0,0,1616,385,686,267,238,6,0.238242574,0.42450495,0.165222772,0.147277228,0.003712871,0.140470297,0.003712871,500
SMI_KEL,262,0,66,0,0,0,0,0,0,0,35,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,23,4,0,0,574,41,82,0,102,20,0,18,0,0,0,0,0,1621,381,717,102,115,0,0.235040099,0.442319556,0.062924121,0.070943862,0,0.161628624,0.040715608,500
SMI_COB,103,0,4,0,0,1,0,0,0,0,321,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,157,106,4,0,264,5,64,0,334,62,1,0,0,0,0,0,0,1606,429,396,334,387,0,0.267123288,0.246575342,0.207970112,0.240971357,0,0.064134496,0.00249066,500
SMI_DOU,104,0,79,0,0,0,0,0,0,0,182,635,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,123,24,5,2,0,157,5,10,0,289,8,0,0,0,0,0,0,0,1625,367,180,289,154,0,0.225846154,0.110769231,0.177846154,0.094769231,0,0.064,0.048615385,500
SMI_MCC,550,0,90,0,0,0,0,0,0,0,59,437,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,44,30,10,2,0,93,0,0,6,294,7,0,0,0,0,0,0,0,1626,699,106,294,86,0,0.429889299,0.065190652,0.180811808,0.052890529,0,0.338253383,0.055350554,500
SMI_HOL,466,0,0,0,0,0,0,0,0,0,168,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,14,1,0,0,62,2,59,0,105,7,0,0,0,0,0,0,0,1617,634,130,105,47,0,0.392084106,0.080395795,0.064935065,0.029066172,0,0.288188002,0,500
DIP_PAT,788,0,24,0,0,11,0,0,0,0,120,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,4,0,0,0,493,2,5,0,42,77,0,0,0,0,0,0,0,1618,944,577,42,9,0,0.583436341,0.356613103,0.025957973,0.005562423,0,0.487021014,0.014833127,500
MIL_YOD,270,0,202,0,0,18,0,0,0,0,349,56,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,1,3,96,0,1,0,0,2,0,0,0,1622,845,625,96,0,0,0.520961776,0.385326757,0.05918619,0,0,0.166461159,0.124537608,500
MIL_CHA,723,0,81,0,0,25,0,0,0,0,388,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,22,15,0,0,108,0,0,0,121,5,0,9,0,0,0,0,0,1624,1226,113,121,143,0,0.754926108,0.069581281,0.074507389,0.088054187,0,0.445197044,0.049876847,500
MIL_MCC,935,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,372,46,48,3,75,115,5,0,0,0,0,0,0,1617,942,589,75,11,0,0.582560297,0.364254793,0.046382189,0.006802721,0,0.578231293,0.002473717,500
KAT_SAU,372,0,12,0,0,29,0,0,0,0,79,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,12,6,2,0,372,25,83,0,167,1,0,1,0,0,0,0,0,1574,493,481,167,72,0,0.31321474,0.305590851,0.106099111,0.045743329,0,0.236340534,0.007623888,500
KAT_SAU_2,450,0,0,0,0,7,0,0,0,0,70,445,0,78,0,0,0,0,1,0,0,0,0,0,0,0,0,88,12,8,0,0,86,15,64,0,254,0,0,0,0,0,0,0,0,1578,606,165,254,108,0,0.384030418,0.104562738,0.160963245,0.068441065,0,0.285171103,0,500
KAT_TEE,376,0,0,0,0,0,0,0,0,0,34,117,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,93,20,11,0,0,523,6,111,6,214,65,9,0,0,0,0,0,0,1587,412,720,214,124,0,0.259609326,0.4536862,0.134845621,0.078134846,0,0.236925016,0,500
KAT_TEE_2,547,0,2,0,0,0,0,0,0,0,26,115,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,61,0,2,0,0,467,22,137,3,200,2,1,0,0,0,0,0,0,1587,575,632,200,63,0,0.362318841,0.398235665,0.126023945,0.039697543,0,0.344675488,0.001260239,500
