,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Spring Wheat,Winter Wheat,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Greens,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,POV_DUN,167,2,19,18,3,0,0,12,1,1,0,0,690,1666,0,0,0,0,0,0,0,0,0,0,0,0,25,0,13,0,0,2,3,1,2,143,2223,747,167,42,223,7004,423,4935,53,6263,515,60,4,0,0,0,0,0,0,0,5,1,25433,2622,13213,6263,3402,0.0,0.10309440490701058,0.5195218810207212,0.24625486572563204,0.13376322101207094,0.0,0.006566272166083435,0.0007470609051232651,0.00047182794007785163,0.4860614162702001,0.7657767467463532,2000
1,DIP_FLE,5786,1,277,3,66,2,1,246,0,7,0,0,4400,2687,0,0,40,0,0,0,0,0,0,0,0,0,23,0,12,0,0,1,7,0,0,4,703,1000,170,17,10,5633,216,823,37,2904,520,10,5,0,0,0,0,0,0,0,0,0,25611,13552,7249,2904,1900,0.0,0.5291476318769279,0.2830424427004022,0.11338877825934168,0.07418687282808169,0.0,0.22591855062277927,0.010815665143883487,0.009605247745109523,0.26051306079419,0.39643122095974387,2000
2,DIP_CUR,5758,2,486,0,4,2,0,12,1,13,0,0,1325,2607,0,0,2,0,0,0,0,0,0,0,0,0,10,0,25,0,0,0,1,2,2,7,1162,529,157,121,13,6056,126,1626,34,5022,295,53,7,0,0,0,0,0,0,0,5,0,25465,10239,8203,5022,1982,0.0,0.40208128804241117,0.3221284115452582,0.19721185941488317,0.07783231886903594,0.0,0.22611427449440408,0.01908501865305321,0.00047123502847044965,0.30661692519143924,0.5193402709601413,2000
3,GAB_STE,3165,14,109,0,9,0,0,15,89,23,0,0,1993,885,0,0,0,0,0,0,0,0,0,0,0,0,4,20,16,0,0,2,0,0,0,267,393,471,213,34,73,9150,1616,1784,25,4776,742,88,0,0,0,0,0,0,0,18,5,0,25999,6351,13478,4776,1184,0.0,0.2442786261010039,0.5184045540213085,0.18369937305280973,0.04554021308511866,0.0,0.12173545136351398,0.00419246894111312,0.0005769452671256587,0.4827108734951344,0.7021039270741182,2000
4,SMI_CRO,3190,0,1417,0,0,11,0,38,185,329,0,0,823,7918,0,0,4,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,48,814,477,129,12,3,3224,254,939,8,5404,558,12,0,0,0,0,0,0,0,0,0,0,25806,13920,4998,5404,1435,0.0,0.5394094396651942,0.19367588932806323,0.2094086646516314,0.05560722312640471,0.0,0.12361466325660699,0.054909710919941096,0.001472525769200961,0.1711617453305433,0.40308455397969467,2000
5,SMI_CAN,3505,0,139,0,0,0,0,14,0,2,0,0,4254,2745,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,92,825,415,172,30,32,6446,181,487,9,4204,2199,73,2,0,0,0,0,0,0,0,0,0,25835,10664,9427,4204,1474,0.0,0.41277336946003484,0.36489258757499515,0.16272498548480743,0.0570543835881556,0.0,0.13566866653764273,0.005380298045287401,0.0005419005225469325,0.27536287981420554,0.5276175730598026,2000
6,SMI_KEL,5507,0,3258,0,0,0,0,5,1,8,0,0,1459,5063,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,373,700,603,370,22,3,3125,474,622,8,4003,284,9,0,0,0,0,0,0,0,0,0,0,25905,15305,4525,4003,1698,0.0,0.5908125844431577,0.17467670333912372,0.1545261532522679,0.06554719166184135,0.0,0.21258444315769157,0.12576722640416907,0.00019301293186643504,0.16294151708164448,0.3292028565913916,2000
7,SMI_COB,1633,11,79,0,0,1,0,2,0,13,0,0,3649,819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,30,1440,1626,1405,340,12,5751,408,2454,33,5371,534,28,2,0,0,6,0,0,0,2,0,0,25654,6217,9220,5371,4823,0.0,0.24234037576986045,0.3593981445388633,0.20936306229048102,0.18800187105324706,0.0,0.06365479067591799,0.0030794418024479614,7.796055196070789e-05,0.3357371170187885,0.5687612068293444,2000
8,SMI_DOU,1533,0,356,0,0,0,0,2,0,7,0,0,1286,6089,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,27,0,0,0,388,2381,1327,1574,474,6,5480,130,222,8,4486,176,25,0,0,0,0,0,0,0,0,0,0,25985,9302,6047,4486,5762,0.0,0.35797575524340963,0.23271117952665,0.17263806041947277,0.22174331345006734,0.0,0.058995574369828746,0.013700211660573407,7.696748123917645e-05,0.2244371752934385,0.40534923994612276,2000
9,SMI_MCC,4008,0,616,0,0,0,0,3,0,188,0,0,1262,5474,2,0,1,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,2,939,289,70,17,2,6617,117,256,6,5875,252,6,0,0,0,0,0,0,0,2,0,0,26032,11556,7256,5875,1317,0.0,0.4439151813153042,0.2787338660110633,0.22568377381684082,0.05059157959434542,0.0,0.1539643515673018,0.02366318377381684,0.00011524277811923786,0.2685156730178242,0.5044176398279041,2000
