,Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Pop or Orn Corn,Barley,Spring Wheat,Winter Wheat,Dbl Crop WinWht/Soybeans,Rye,Oats,Millet,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Other Crops,Misc Vegs & Fruits,Onions,Cucumbers,Peas,Tomatoes,Hops,Herbs,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Cherries,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Peppers,Greens,Plums,Strawberries,Squash,Dbl Crop WinWht/Corn,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Cauliflower,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Total_Nat_Prop,Buffer
0,POV_DUN,471,4,41,22,3,0,2,0,16,0,1,8,0,0,1019,2979,0,0,0,0,0,0,0,0,0,0,0,0,59,0,18,0,0,2,5,1,10,155,3816,1162,276,72,248,19956,709,11288,85,13152,1378,245,6,0,0,0,0,0,0,0,0,0,6,1,0,57216,4656,33909,13152,5574,0.0,0.08137583892617449,0.5926489093959731,0.22986577181208054,0.09742030201342282,0.0,0.008231963087248322,0.000716582774049217,0.0002796420581655481,0.5584626677852349,0.8225146812080537,3000
1,DIP_FLE,12381,3,1117,3,83,0,3,1,508,0,78,28,0,0,8951,4078,0,0,59,0,0,0,0,0,0,0,0,0,88,0,35,0,0,1,18,2,0,13,1429,1756,282,21,22,16476,435,1938,93,6455,1195,43,11,0,0,0,0,0,0,0,0,0,0,0,0,57606,27413,20202,6455,3510,0.0,0.47587056903794744,0.35069263618373087,0.11205429989931605,0.06093115300489532,0.0,0.2149255285907718,0.01939034128389404,0.008818525848001944,0.327205499427143,0.4627469360830469,3000
2,DIP_CUR,6830,8,511,0,4,0,2,0,16,0,3,13,0,0,1818,3750,0,0,3,0,0,0,0,0,0,0,0,0,12,0,43,0,0,0,1,2,4,24,2172,734,216,124,16,20207,1082,8496,74,9929,856,106,236,0,0,0,0,0,0,0,0,0,10,0,0,57302,13223,30837,9929,3262,0.0,0.23075983386269242,0.5381487557153328,0.1732749293218387,0.056926459809430736,0.0,0.11919304736309379,0.008917664304910823,0.0002792223657114935,0.5197898851698021,0.7114236850371716,3000
3,GAB_STE,6508,53,351,0,177,0,5,0,15,0,303,52,0,0,4766,2924,0,0,4,0,0,0,4,0,0,0,0,0,9,112,36,0,0,9,2,0,0,723,2234,2366,1926,861,705,15414,2603,3507,125,10521,1943,191,0,0,0,0,0,0,0,0,0,45,6,0,0,58500,15345,24488,10521,8092,0.0,0.2623076923076923,0.4185982905982906,0.17984615384615385,0.13832478632478631,0.0,0.11124786324786325,0.006,0.0002564102564102564,0.36793162393162393,0.5984444444444444,3000
4,SMI_CRO,6398,1,2020,0,0,0,11,0,40,0,185,379,0,0,2356,18133,0,0,7,0,0,0,0,0,0,0,0,0,5,0,15,0,0,0,3,0,0,49,1972,987,212,17,7,8635,470,2112,16,12884,1132,16,0,0,0,0,0,0,0,0,0,4,1,0,0,58067,29543,12388,12884,3195,0.0,0.5087743468751614,0.21333976268792945,0.2218816195084988,0.055022646253465826,0.0,0.11018306439113439,0.03478740076118966,0.0006888594210136567,0.19317340313775466,0.43522138219642825,3000
5,SMI_CAN,6007,0,159,0,0,0,0,0,34,0,4,51,0,0,6606,8666,0,0,2,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,289,2024,815,275,42,36,14143,873,1440,24,11617,4795,187,4,0,0,0,0,4,0,0,0,0,0,0,0,58119,21539,21498,11617,3192,0.0,0.3706016965192106,0.3698962473545656,0.19988299867513207,0.05492179837918753,0.0,0.10335690565907879,0.002735766272647499,0.0005850066243397168,0.28314320618042293,0.5697792460296977,3000
6,SMI_KEL,11689,0,5006,0,0,0,0,0,7,0,1,38,0,0,2231,9345,0,0,5,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,1741,1659,1527,784,62,10,9770,1302,1964,27,8906,2120,65,0,0,0,0,0,0,0,0,0,0,0,0,0,58282,28323,15258,8906,4042,0.0,0.485964791873992,0.2617960948491816,0.15280875742081604,0.06935245873511547,0.0,0.200559349370303,0.08589272845818606,0.00012010569300984866,0.22367111629662675,0.41460485226999766,3000
7,SMI_COB,2622,11,107,0,0,0,1,0,2,0,0,19,0,0,6144,1685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,149,3516,3193,2807,786,15,15952,1404,7655,49,10427,1091,60,2,0,0,0,0,6,0,0,0,2,3,0,0,57723,10607,26226,10427,10317,0.0,0.18375690799161512,0.4543422899017723,0.18063856694904978,0.17873291408970426,0.0,0.045423834520035344,0.0018536805086360722,3.4648233806281726e-05,0.4332934878644561,0.6349808568508221,3000
8,SMI_DOU,4779,0,950,0,0,0,0,0,2,0,3,32,0,0,2456,9785,0,0,4,0,0,0,0,0,0,0,0,0,5,0,13,0,0,27,0,0,0,917,4694,2935,3002,760,11,16878,722,953,22,8675,784,49,0,0,0,0,0,0,0,0,0,1,0,0,0,58459,18044,19419,8675,11402,0.0,0.3086607707966267,0.332181528934809,0.14839460134453206,0.1950426794847671,0.0,0.08174960228536239,0.016250705622744145,3.42120118373561e-05,0.31736772780923383,0.4805761302793411,3000
9,SMI_MCC,7282,0,1438,0,0,0,31,0,6,0,0,251,0,0,2327,10698,2,0,5,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,40,2137,777,193,32,44,17244,1016,1093,29,12493,1363,21,0,0,0,0,0,0,0,0,0,2,0,0,0,58572,22042,20810,12493,3183,0.0,0.37632315782285053,0.3552892166905689,0.21329304104350202,0.05434337225978283,0.0,0.12432561633545039,0.024550979990439117,0.0001024380249948781,0.3304138496209793,0.5685822577340709,3000
