,Name,Corn,Sorghum,Soybeans,Sweet Corn,Barley,Winter Wheat,Rye,Oats,Speltz,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Sugarbeets,Dry Beans,Potatoes,Misc Vegs & Fruits,Onions,Peas,Clover/Wildflowers,Sod/Grass Seed,Fallow/Idle Cropland,Peaches,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Squash,Dbl Crop Triticale/Corn,Pumpkins,Blueberries,Cabbage,Total,Ag,Nat,Semi_Nat,Dev,Other,Ag_Prop,Nat_Prop,Semi_Nat_Prop,Dev_Prop,Other_Prop,Corn_Prop,Soybean_Prop,Wheat_Prop,Forest_Prop,Buffer
0,POV_DUN,11,0,3,0,0,0,0,0,0,15,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,21,0,0,0,419,2,304,5,526,22,1,0,0,0,0,0,0,1588,171,753,526,138,0.0,0.10768261964735516,0.47418136020151136,0.33123425692695213,0.08690176322418136,0.0,0.0069269521410579345,0.001889168765743073,0.0,0.45654911838790935,500
1,DIP_FLE,706,0,11,0,0,0,0,0,0,191,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,38,9,0,0,255,0,6,2,278,40,2,0,0,0,0,0,0,1603,931,305,278,89,0.0,0.5807860262008734,0.19026824703680598,0.17342482844666252,0.05552089831565814,0.0,0.44042420461634435,0.006862133499688085,0.0,0.16281971303805365,500
2,DIP_CUR,540,0,50,0,0,0,0,0,0,261,125,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,91,45,6,0,0,164,6,38,1,255,1,2,0,0,0,0,0,0,1593,978,212,255,142,0.0,0.6139359698681732,0.13308223477715003,0.160075329566855,0.08913998744507219,0.0,0.3389830508474576,0.031387319522912745,0.0,0.13057124921531701,500
3,GAB_STE,252,0,0,0,0,0,0,0,0,113,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,42,20,8,6,378,391,106,0,211,31,2,0,0,0,0,0,0,1627,408,914,211,100,0.0,0.2507682851874616,0.5617701290719115,0.12968653964351567,0.06146281499692686,0.0,0.15488629379225569,0.0,0.0,0.53779963122311,500
4,SMI_CRO,712,0,344,0,0,1,178,16,0,21,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,19,4,0,0,26,0,2,0,168,1,0,0,0,0,0,0,0,1611,1347,29,168,67,0.0,0.8361266294227188,0.018001241464928614,0.1042830540037244,0.04158907510862818,0.0,0.4419615145872129,0.21353196772191185,0.0006207324643078833,0.01738050900062073,500
5,SMI_CAN,217,0,13,0,0,0,0,0,0,139,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,67,59,63,16,29,552,8,16,9,308,36,3,0,0,0,0,0,0,1616,442,653,308,234,0.0,0.27351485148514854,0.4040841584158416,0.1905940594059406,0.1448019801980198,0.0,0.1342821782178218,0.008044554455445545,0.0,0.3564356435643564,500
6,SMI_KEL,98,0,179,0,0,0,0,0,0,78,307,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,88,23,4,0,0,567,38,97,0,128,9,0,0,0,0,0,0,0,1621,666,711,128,115,0.0,0.4108574953732264,0.43861813695249846,0.07896360271437385,0.07094386181369525,0.0,0.06045650832819247,0.11042566317088218,0.0,0.4330660086366441,500
7,SMI_COB,55,0,14,0,0,0,0,3,0,373,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120,157,106,4,1,220,10,62,4,346,58,1,0,0,0,0,0,0,1606,516,356,346,388,0.0,0.32129514321295144,0.22166874221668742,0.21544209215442092,0.24159402241594022,0.0,0.03424657534246575,0.008717310087173101,0.0,0.18181818181818182,500
8,SMI_DOU,55,0,133,0,0,0,0,0,0,133,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,24,5,2,0,158,4,12,0,349,0,0,0,0,0,0,0,0,1625,948,174,349,154,0.0,0.5833846153846154,0.10707692307692308,0.21476923076923077,0.09476923076923077,0.0,0.033846153846153845,0.08184615384615385,0.0,0.10707692307692308,500
9,SMI_MCC,324,0,191,0,0,0,0,141,0,38,400,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,41,30,10,2,0,95,0,2,0,339,8,0,0,0,0,2,0,0,1626,1096,105,339,83,0.0,0.6740467404674046,0.06457564575645756,0.20848708487084872,0.051045510455104554,0.0,0.1992619926199262,0.11746617466174662,0.0,0.05965559655596556,500
10,SMI_HOL,483,0,16,0,0,0,0,4,0,209,576,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,32,14,1,0,0,67,0,58,2,145,4,0,0,0,0,0,0,0,1617,1293,131,145,47,0.0,0.7996289424860853,0.08101422387136673,0.08967223252937538,0.02906617192331478,0.0,0.2987012987012987,0.009894867037724181,0.0,0.07730364873222016,500
