Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_43,VALUE_49,VALUE_53,VALUE_58,VALUE_61,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_222,VALUE_228,VALUE_242,VALUE_243
GRN_ORC,,,,,,"-1","0","-1",,,"709","0","905","0","9","0","130","0","6","703","270","0","12","3","0","0","20","75","113","59","4","0","8","128","95","23","0","2","992","10","127","0","1262","761","3","21","0","0","2","0","4"
GRS_ORC,,,,,,"-1","0","-1",,,"737","0","787","0","7","0","105","0","2","530","253","0","3","1","6","0","26","82","317","93","4","0","0","123","227","179","128","12","801","4","86","0","1527","393","7","14","0","0","0","0","2"
GRS_FIE,,,,,,"-1","0","-1",,,"684","0","769","0","9","0","113","0","2","611","263","0","3","1","2","0","25","73","308","96","4","0","6","112","192","148","96","11","807","4","91","0","1545","455","7","19","0","0","0","0","2"
PAT_FIE,,,,,,"-1","0","-1",,,"2667","2","478","0","31","0","18","0","0","1529","168","0","1","0","0","0","0","12","0","0","0","0","0","67","176","49","3","8","780","2","13","5","308","120","23","0","0","0","0","2","0"
CUR_FIE,,,,,,"-1","0","-1",,,"2157","0","416","0","0","2","2","0","0","709","542","0","0","0","0","0","0","9","0","1","2","0","0","286","134","77","64","5","855","15","115","8","939","19","9","3","0","0","0","0","0"
FLE_FIE,,,,,,"-1","0","-1",,,"2016","0","42","3","33","0","8","0","2","1686","526","0","0","0","0","0","11","4","0","0","0","0","3","89","164","25","5","5","900","5","26","8","771","63","4","1","0","0","0","0","0"
FLE_FOR,,,,,,"-1","0","-1",,,"1862","0","41","3","37","0","8","0","2","1500","383","0","2","0","0","0","11","4","0","0","0","0","3","190","187","25","8","5","1058","44","110","8","823","80","4","1","0","0","0","0","0"
DUN_FIE,,,,,,"-1","0","-1",,,"19","0","5","0","0","0","10","1","1","93","548","0","0","0","0","0","10","5","0","0","1","2","6","541","197","60","17","50","1820","38","1130","17","1584","179","18","3","0","0","0","2","0"
DUN_FOR,,,,,,"-1","0","-1",,,"17","0","3","0","1","0","10","0","0","47","493","0","0","0","0","0","10","3","0","0","1","2","6","622","191","25","3","8","1967","30","1095","18","1595","190","18","4","0","0","0","2","0"
KIR_FIE,,,,,,"-1","0","-1",,,"396","0","329","0","22","0","21","0","0","592","74","1","23","0","0","4","3","14","135","5","2","0","10","87","143","15","2","2","2067","0","141","5","626","1749","32","6","1","2","3","4","17"
KIR_FOR,,,,,,"-1","0","-1",,,"391","0","372","0","20","0","21","0","0","516","59","1","16","0","0","4","3","14","133","5","2","0","12","88","134","15","1","2","2095","0","140","5","634","1789","38","6","1","2","2","4","15"
KIR_ORC,,,,,,"-1","0","-1",,,"384","0","375","0","20","0","21","0","0","463","54","1","16","0","0","4","3","14","131","5","2","0","12","90","132","15","0","2","2124","0","143","5","634","1816","38","6","1","2","2","4","15"
IND_ORC_1,,,,,,"-1","0","-1",,,"423","0","361","0","27","0","7","0","0","145","192","0","0","2","0","0","16","0","0","4","2","0","5","635","493","241","44","10","1126","24","395","9","2113","82","18","0","0","0","0","0","2"
IND_ORC_2,,,,,,"-1","0","-1",,,"435","0","363","0","27","0","6","0","0","154","372","0","0","2","0","0","16","0","0","4","0","0","3","561","410","131","14","10","1235","20","340","8","2150","90","22","0","0","0","0","0","2"
EVE_ORC,,,,,,"-1","0","-1",,,"46","0","18","0","0","0","0","0","0","71","230","0","0","0","0","0","0","1","0","0","0","0","5","411","148","47","5","0","2735","64","1236","5","1149","107","35","0","0","0","0","0","0"
EVE_FOR,,,,,,"-1","0","-1",,,"49","0","10","0","0","0","1","0","0","58","204","0","0","0","0","0","0","1","0","0","0","0","5","423","156","45","5","0","2775","64","1291","5","1077","108","35","0","0","0","0","0","0"
EVE_FIE,,,,,,"-1","0","-1",,,"47","0","10","0","0","0","1","0","0","58","201","0","0","0","0","0","0","1","0","0","0","0","5","373","159","46","5","0","2658","84","1455","5","1064","110","34","0","0","0","0","0","0"
OLE_FIE,,,,,,"-1","0","-1",,,"386","0","44","0","0","0","7","0","3","456","232","0","2","0","0","0","6","20","0","0","1","0","4","234","74","11","0","0","1838","32","339","6","1261","1501","3","4","0","0","0","0","0"
OLE_FOR,,,,,,"-1","0","-1",,,"373","0","46","0","0","0","8","0","3","416","226","0","2","0","0","0","6","21","0","0","1","0","4","230","77","11","0","0","1782","49","378","6","1192","1631","3","3","0","0","0","0","0"
GRN_FIE,,,,,,"-1","0","-1",,,"648","0","932","0","9","0","134","0","6","696","299","0","12","3","0","0","22","76","181","70","4","0","8","86","73","17","0","2","995","11","104","0","1342","700","3","21","0","0","2","0","4"
