Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_4,VALUE_5,VALUE_6,VALUE_12,VALUE_21,VALUE_23,VALUE_24,VALUE_27,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_41,VALUE_42,VALUE_43,VALUE_47,VALUE_49,VALUE_53,VALUE_58,VALUE_61,VALUE_66,VALUE_68,VALUE_69,VALUE_70,VALUE_77,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_222,VALUE_225,VALUE_228,VALUE_229,VALUE_242,VALUE_243
GRN_ORC,,,,,,"-1","0","-1",,,"4273","4","2398","0","12","0","0","236","1","9","2602","855","0","0","16","5","0","6","0","47","133","0","670","191","12","4","26","1321","1546","796","348","28","2801","18","309","18","5470","1610","30","25","0","0","2","2","0","0","4"
GRS_ORC,,,,,,"-1","0","-1",,,"3105","7","3338","0","12","0","0","602","3","13","2094","741","8","0","14","4","0","6","0","44","149","1","685","183","14","3","26","1210","1387","1014","615","41","2810","22","282","15","4724","2487","138","22","0","0","2","2","0","0","4"
GRS_FIE,,,,,,"-1","0","-1",,,"3010","7","3248","0","12","0","0","583","3","13","2166","787","1","0","14","4","0","6","0","44","149","1","685","191","15","6","26","1234","1400","987","596","41","2845","22","275","15","4892","2389","131","22","0","0","2","2","0","0","4"
PAT_FIE,,,,,,"-1","0","-1",,,"8889","4","2616","0","57","0","0","375","4","0","5670","737","2","0","7","0","0","0","0","2","303","0","1","6","0","0","4","438","661","278","101","16","3186","12","44","16","1820","457","31","0","0","0","115","1","0","2","0"
CUR_FIE,,,,,,"-1","0","-1",,,"5850","2","488","0","4","2","0","12","1","13","1340","2557","0","0","2","0","0","0","0","10","21","0","0","1","2","2","7","1156","528","160","121","13","5939","127","1753","30","4931","328","52","7","0","0","0","0","0","5","0"
FLE_FIE,,,,,,"-1","0","-1",,,"5712","1","366","3","67","2","1","261","0","12","4508","2791","0","0","38","0","0","0","0","23","12","0","1","7","0","0","4","681","994","170","17","10","5409","222","841","37","2897","504","9","6","0","0","0","0","0","0","0"
FLE_FOR,,,,,,"-1","0","-1",,,"5866","1","491","3","67","2","1","307","0","25","4748","2874","0","0","4","0","0","0","0","30","8","0","1","7","0","0","4","633","974","173","16","10","4945","243","887","41","2778","446","10","7","0","0","0","0","0","0","0"
DUN_FIE,,,,,,"-1","0","-1",,,"166","2","19","18","3","0","0","12","1","1","700","1711","0","0","0","0","0","0","0","25","13","0","2","3","1","2","143","2156","739","167","42","223","7032","410","4896","49","6311","513","57","4","0","0","0","0","0","5","1"
DUN_FOR,,,,,,"-1","0","-1",,,"159","2","17","18","1","0","0","12","1","1","684","1673","0","0","0","0","0","0","0","25","13","0","2","3","1","2","143","2145","733","165","42","222","7245","426","4787","50","6251","526","71","4","0","0","0","0","0","5","1"
KIR_FIE,,,,,,"-1","0","-1",,,"2419","5","2001","0","83","0","0","78","0","3","2278","197","3","49","39","2","3","3","5","3","51","0","692","15","10","1","27","639","467","93","13","13","8448","2","407","7","2990","4072","69","29","1","877","0","6","0","5","40"
KIR_FOR,,,,,,"-1","0","-1",,,"2409","5","1997","0","122","0","0","54","0","3","2235","195","3","85","39","2","3","4","6","3","45","0","644","14","10","1","27","644","470","89","13","13","8404","2","409","7","3026","4089","69","31","1","926","0","6","0","5","40"
KIR_ORC,,,,,,"-1","0","-1",,,"2382","5","1949","0","128","0","0","54","0","3","2219","194","3","99","39","2","3","5","7","3","45","0","614","14","10","1","27","642","475","89","13","13","8511","2","409","7","3020","4102","69","31","1","906","0","6","0","5","40"
IND_ORC_1,,,,,,"-1","0","-1",,,"1063","0","1459","0","27","4","87","22","0","0","492","1572","64","0","5","2","0","0","0","25","2","0","0","8","2","2","1153","1558","1126","381","88","14","7062","169","2284","48","6265","447","60","1","0","0","0","0","1","0","2"
IND_ORC_2,,,,,,"-1","0","-1",,,"1108","0","1530","0","27","3","50","33","0","0","559","1743","64","0","5","2","0","0","0","21","2","0","0","8","2","2","334","1630","1144","366","80","14","7040","175","2174","46","6802","459","59","8","0","0","0","1","1","0","2"
EVE_ORC,,,,,,"-1","0","-1",,,"284","10","194","0","1","0","0","2","0","40","201","634","1","0","2","0","0","0","0","16","78","0","1","0","0","3","15","1471","675","226","38","7","10987","324","5562","30","4096","301","68","0","0","0","0","0","0","0","0"
EVE_FOR,,,,,,"-1","0","-1",,,"251","10","166","0","1","0","0","2","0","32","176","623","1","0","2","0","0","0","0","16","60","0","1","0","0","3","12","1372","582","200","37","3","11578","332","5556","25","3873","287","66","0","0","0","0","0","0","0","0"
EVE_FIE,,,,,,"-1","0","-1",,,"280","10","166","0","1","0","0","2","0","26","179","608","1","0","2","0","0","0","0","14","51","0","1","0","0","3","12","1386","610","210","38","0","11593","317","5568","23","3806","293","66","0","0","0","0","0","0","0","0"
OLE_FIE,,,,,,"-1","0","-1",,,"978","0","227","0","0","0","0","33","0","3","2672","2064","0","3","2","0","0","0","0","54","71","0","3","9","15","1","32","978","401","153","40","6","6197","147","930","7","5936","4862","26","12","1","0","0","0","0","0","0"
OLE_FOR,,,,,,"-1","0","-1",,,"962","0","189","0","0","0","0","35","0","3","2642","2063","0","3","2","0","0","0","0","54","66","0","3","10","15","1","32","991","436","200","65","6","6226","155","944","7","5816","4897","27","13","1","0","0","0","0","0","0"
GRN_FIE,,,,,,"-1","0","-1",,,"3814","4","2466","0","12","0","0","303","1","10","2521","849","0","0","16","5","0","6","0","51","133","0","686","194","12","4","26","1332","1558","900","411","31","2818","18","311","20","5502","1754","29","25","0","0","2","2","0","0","4"
