Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,VALUE_1,VALUE_5,VALUE_12,VALUE_24,VALUE_28,VALUE_36,VALUE_37,VALUE_39,VALUE_42,VALUE_43,VALUE_53,VALUE_58,VALUE_61,VALUE_68,VALUE_69,VALUE_70,VALUE_111,VALUE_121,VALUE_122,VALUE_123,VALUE_124,VALUE_131,VALUE_141,VALUE_142,VALUE_143,VALUE_152,VALUE_176,VALUE_190,VALUE_195,VALUE_205,VALUE_206,VALUE_228,VALUE_242,VALUE_243
GRN_ORC,,,,,,"-1","0","-1",,,"116","245","4","98","5","313","113","0","4","3","0","11","56","8","5","2","8","0","0","0","0","0","219","0","21","0","310","47","3","21","0","0","0","4"
GRS_ORC,,,,,,"-1","0","-1",,,"50","66","4","34","0","254","73","0","0","0","0","5","17","63","32","0","0","18","27","62","2","1","154","2","21","0","647","80","0","0","0","0","0","0"
GRS_FIE,,,,,,"-1","0","-1",,,"51","85","4","36","0","247","87","0","0","0","0","5","15","68","36","0","0","14","24","62","0","2","130","2","22","0","668","53","0","1","0","0","0","2"
PAT_FIE,,,,,,"-1","0","-1",,,"917","43","6","6","0","83","91","0","0","0","0","0","5","0","0","0","0","5","7","3","1","3","380","0","6","4","35","19","2","0","0","0","0","0"
CUR_FIE,,,,,,"-1","0","-1",,,"561","89","0","0","0","257","143","0","0","0","0","0","0","0","0","2","0","94","38","3","0","0","141","1","26","0","235","1","2","0","0","0","0","0"
FLE_FIE,,,,,,"-1","0","-1",,,"643","6","0","0","0","177","50","0","0","0","0","0","0","0","0","0","0","42","32","9","0","0","303","0","7","2","294","34","3","0","0","0","0","0"
FLE_FOR,,,,,,"-1","0","-1",,,"538","8","0","0","0","273","113","0","0","0","0","4","0","0","0","0","0","31","9","6","0","0","315","0","9","2","264","27","3","0","0","0","0","0"
DUN_FIE,,,,,,"-1","0","-1",,,"11","2","0","0","0","11","87","0","0","0","0","0","0","0","0","0","0","112","23","0","0","0","492","2","343","4","460","43","1","0","0","0","0","0"
DUN_FOR,,,,,,"-1","0","-1",,,"9","2","0","0","0","9","94","0","0","0","0","0","0","0","0","0","0","90","27","0","0","0","537","2","420","4","330","61","1","0","0","0","0","0"
KIR_FIE,,,,,,"-1","0","-1",,,"150","44","20","21","0","177","17","1","15","0","1","3","11","108","3","0","10","33","61","9","0","2","234","0","24","2","253","383","25","6","1","2","4","15"
KIR_FOR,,,,,,"-1","0","-1",,,"133","47","20","21","0","166","17","1","15","0","4","3","11","106","3","0","10","35","58","8","0","2","259","0","33","2","250","384","25","6","1","2","4","15"
KIR_ORC,,,,,,"-1","0","-1",,,"129","46","20","21","0","168","17","1","15","0","4","3","10","106","3","0","10","37","59","8","0","2","258","0","34","2","263","365","25","6","1","2","4","15"
IND_ORC_1,,,,,,"-1","0","-1",,,"203","108","27","3","0","71","66","0","0","2","0","4","0","0","4","0","0","141","113","17","0","2","273","0","52","0","486","21","0","0","0","0","0","2"
IND_ORC_2,,,,,,"-1","0","-1",,,"309","173","27","3","0","92","62","0","0","2","0","11","0","0","4","0","0","105","74","8","0","2","176","2","37","0","483","12","2","0","0","0","0","2"
EVE_ORC,,,,,,"-1","0","-1",,,"22","0","0","0","0","34","117","0","0","0","0","0","1","0","0","0","5","76","33","8","0","0","563","21","179","2","453","45","20","0","0","0","0","0"
EVE_FOR,,,,,,"-1","0","-1",,,"21","0","0","0","0","29","95","0","0","0","0","0","1","0","0","0","5","73","39","9","0","0","591","23","227","2","389","64","17","0","0","0","0","0"
EVE_FIE,,,,,,"-1","0","-1",,,"22","0","0","0","0","29","100","0","0","0","0","0","0","0","0","0","5","58","49","10","0","0","477","34","326","2","390","59","16","0","0","0","0","0"
OLE_FIE,,,,,,"-1","0","-1",,,"100","26","0","6","3","105","15","0","2","0","0","4","7","0","0","1","4","64","53","11","0","0","456","1","57","3","341","357","0","3","0","0","0","0"
OLE_FOR,,,,,,"-1","0","-1",,,"108","30","0","6","3","105","14","0","2","0","0","1","7","0","0","1","4","61","51","11","0","0","451","1","69","3","272","414","0","3","0","0","0","0"
GRN_FIE,,,,,,"-1","0","-1",,,"90","194","4","84","0","283","97","0","3","3","0","10","48","10","19","2","7","0","1","1","0","0","300","0","30","0","350","50","3","21","0","0","0","4"
