Name,Corn,Sorghum,Soybeans,Sunflower,Sweet Corn,Barley,Winter Wheat,Rye,Oats,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Dry Beans,Potatoes,Onions,Peas,Clover/Wildflowers,Fallow/Idle Cropland,Apples,Grapes,Christmas Trees,Pears,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Squash,Dbl Crop Triticale/Corn,Blueberries,Cabbage,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Corn_Prop
GRN_ORC,709,0,905,0,9,0,130,0,6,703,270,0,12,3,0,0,20,75,113,59,4,0,8,128,95,23,0,2,992,10,127,0,1262,761,3,21,0,0,2,0,4,6456,2970,0.460037175,1895,0.293525403,1262,0.195477076,248,0.038413879,0,0,0.111214374
GRS_ORC,737,0,787,0,7,0,105,0,2,530,253,0,3,1,6,0,26,82,317,93,4,0,0,123,227,179,128,12,801,4,86,0,1527,393,7,14,0,0,0,0,2,6456,2887,0.447180917,1303,0.201827757,1527,0.236524164,669,0.103624535,0,0,0.115241636
GRS_FIE,684,0,769,0,9,0,113,0,2,611,263,0,3,1,2,0,25,73,308,96,4,0,6,112,192,148,96,11,807,4,91,0,1545,455,7,19,0,0,0,0,2,6458,2911,0.450758749,1375,0.212914215,1545,0.239238154,559,0.086559306,0,0,0.107308764
PAT_FIE,2667,2,478,0,31,0,18,0,0,1529,168,0,1,0,0,0,0,12,0,0,0,0,0,67,176,49,3,8,780,2,13,5,308,120,23,0,0,0,0,2,0,6462,4896,0.757660167,951,0.147168059,308,0.047663262,303,0.046889508,0,0,0.417517796
CUR_FIE,2157,0,416,0,0,2,2,0,0,709,542,0,0,0,0,0,0,9,0,1,2,0,0,286,134,77,64,5,855,15,115,8,939,19,9,3,0,0,0,0,0,6369,3834,0.601978333,1026,0.161092793,939,0.147432878,566,0.088867954,0,0,0.338671691
FLE_FIE,2016,0,42,3,33,0,8,0,2,1686,526,0,0,0,0,0,11,4,0,0,0,0,3,89,164,25,5,5,900,5,26,8,771,63,4,1,0,0,0,0,0,6400,4328,0.67625,1011,0.15796875,771,0.12046875,288,0.045,0,0,0.32015625
FLE_FOR,1862,0,41,3,37,0,8,0,2,1500,383,0,2,0,0,0,11,4,0,0,0,0,3,190,187,25,8,5,1058,44,110,8,823,80,4,1,0,0,0,0,0,6399,3850,0.601656509,1309,0.204563213,823,0.128613846,415,0.064853883,0,0,0.29676512
DUN_FIE,19,0,5,0,0,0,10,1,1,93,548,0,0,0,0,0,10,5,0,0,1,2,6,541,197,60,17,50,1820,38,1130,17,1584,179,18,3,0,0,0,2,0,6357,695,0.1093283,3252,0.511562058,1584,0.249174139,865,0.136070473,0,0,0.002988831
DUN_FOR,17,0,3,0,1,0,10,0,0,47,493,0,0,0,0,0,10,3,0,0,1,2,6,622,191,25,3,8,1967,30,1095,18,1595,190,18,4,0,0,0,2,0,6361,590,0.092752712,3326,0.522873762,1595,0.250746738,849,0.13346958,0,0,0.002829744
KIR_FIE,396,0,329,0,22,0,21,0,0,592,74,1,23,0,0,4,3,14,135,5,2,0,10,87,143,15,2,2,2067,0,141,5,626,1749,32,6,1,2,3,4,17,6533,1640,0.251033216,3996,0.61166386,626,0.095821215,249,0.038114189,0,0,0.063982856
KIR_FOR,391,0,372,0,20,0,21,0,0,516,59,1,16,0,0,4,3,14,133,5,2,0,12,88,134,15,1,2,2095,0,140,5,634,1789,38,6,1,2,2,4,15,6540,1573,0.240519878,4069,0.622171254,634,0.096941896,240,0.036697248,0,0,0.062844037
KIR_ORC,384,0,375,0,20,0,21,0,0,463,54,1,16,0,0,4,3,14,131,5,2,0,12,90,132,15,0,2,2124,0,143,5,634,1816,38,6,1,2,2,4,15,6534,1509,0.230945822,4128,0.631772268,634,0.097030915,239,0.0365779,0,0,0.061830425
IND_ORC_1,423,0,361,0,27,0,7,0,0,145,192,0,0,2,0,0,16,0,0,4,2,0,5,635,493,241,44,10,1126,24,395,9,2113,82,18,0,0,0,0,0,2,6376,1181,0.185225847,1664,0.26097867,2113,0.331398996,1423,0.223180678,0,0,0.070577164
IND_ORC_2,435,0,363,0,27,0,6,0,0,154,372,0,0,2,0,0,16,0,0,4,0,0,3,561,410,131,14,10,1235,20,340,8,2150,90,22,0,0,0,0,0,2,6375,1381,0.216627451,1725,0.270588235,2150,0.337254902,1126,0.176627451,0,0,0.072470588
