,Name,Corn,Soybeans,Sweet Corn,Winter Wheat,Oats,Alfalfa,Other Hay/Non Alflafa,Buckwheat,Dry Beans,Potatoes,Peas,Clover/Wildflowers,Fallow/Idle Cropland,Apples,Grapes,Christmas Trees,OpenWater,Developed/Open Space,Developed/Low Intensity,Developed/Med Intensity,Developed/High Intensity,Barren,Deciduous Forest,Evergreen Forest,Mixed Forest,Shrubland,Grassland/Pasture,Woody Wetlands,Herbaceous Wetlands,Triticale,Carrots,Dbl Crop Triticale/Corn,Blueberries,Cabbage,Total,Ag,Ag_Prop,Nat,Nat_Prop,Semi_Nat,Semi_Nat_Prop,Dev,Dev_Prop,Other,Other_Prop,Corn_Prop
0,GRN_ORC,116,245,4,98,5,313,113,0,4,3,0,11,56,8,5,2,8,0,0,0,0,0,219,0,21,0,310,47,3,21,0,0,0,4,1616,952,0.5891089108910891,290,0.17945544554455445,310,0.19183168316831684,0,0.0,0.0,0.0,0.07425742574257425
1,GRS_ORC,50,66,4,34,0,254,73,0,0,0,0,5,17,63,32,0,0,18,27,62,2,1,154,2,21,0,647,80,0,0,0,0,0,0,1612,581,0.36042183622828783,258,0.1600496277915633,647,0.40136476426799006,110,0.06823821339950373,0.0,0.0,0.033498759305210915
2,GRS_FIE,51,85,4,36,0,247,87,0,0,0,0,5,15,68,36,0,0,14,24,62,0,2,130,2,22,0,668,53,0,1,0,0,0,2,1614,622,0.3853779429987608,209,0.1294919454770756,668,0.4138785625774473,102,0.06319702602230483,0.0,0.0,0.03407682775712516
3,PAT_FIE,917,43,6,6,0,83,91,0,0,0,0,0,5,0,0,0,0,5,7,3,1,3,380,0,6,4,35,19,2,0,0,0,0,0,1616,1146,0.7091584158415841,414,0.2561881188118812,35,0.021658415841584157,19,0.011757425742574257,0.0,0.0,0.5711633663366337
4,CUR_FIE,561,89,0,0,0,257,143,0,0,0,0,0,0,0,0,2,0,94,38,3,0,0,141,1,26,0,235,1,2,0,0,0,0,0,1593,1052,0.6603892027620841,171,0.10734463276836158,235,0.1475204017576899,135,0.0847457627118644,0.0,0.0,0.352165725047081
5,FLE_FIE,643,6,0,0,0,177,50,0,0,0,0,0,0,0,0,0,0,42,32,9,0,0,303,0,7,2,294,34,3,0,0,0,0,0,1602,876,0.5468164794007491,349,0.21785268414481898,294,0.18352059925093633,83,0.05181023720349563,0.0,0.0,0.4013732833957553
6,FLE_FOR,538,8,0,0,0,273,113,0,0,0,0,4,0,0,0,0,0,31,9,6,0,0,315,0,9,2,264,27,3,0,0,0,0,0,1602,936,0.5842696629213483,356,0.2222222222222222,264,0.1647940074906367,46,0.02871410736579276,0.0,0.0,0.3358302122347066
7,DUN_FIE,11,2,0,0,0,11,87,0,0,0,0,0,0,0,0,0,0,112,23,0,0,0,492,2,343,4,460,43,1,0,0,0,0,0,1591,111,0.06976744186046512,885,0.5562539283469516,460,0.2891263356379635,135,0.08485229415461974,0.0,0.0,0.0069138906348208675
8,DUN_FOR,9,2,0,0,0,9,94,0,0,0,0,0,0,0,0,0,0,90,27,0,0,0,537,2,420,4,330,61,1,0,0,0,0,0,1586,114,0.07187894073139975,1025,0.6462799495586381,330,0.2080706179066835,117,0.07377049180327869,0.0,0.0,0.005674653215636823
9,KIR_FIE,150,44,20,21,0,177,17,1,15,0,1,3,11,108,3,0,10,33,61,9,0,2,234,0,24,2,253,383,25,6,1,2,4,15,1635,588,0.3596330275229358,670,0.40978593272171254,253,0.1547400611620795,105,0.06422018348623854,0.0,0.0,0.10397553516819572
10,KIR_FOR,133,47,20,21,0,166,17,1,15,0,4,3,11,106,3,0,10,35,58,8,0,2,259,0,33,2,250,384,25,6,1,2,4,15,1641,564,0.3436928702010969,705,0.4296160877513711,250,0.15234613040828762,103,0.0627666057282145,0.0,0.0,0.09323583180987204
11,KIR_ORC,129,46,20,21,0,168,17,1,15,0,4,3,10,106,3,0,10,37,59,8,0,2,258,0,34,2,263,365,25,6,1,2,4,15,1634,561,0.3433292533659731,686,0.41982864137086906,263,0.1609547123623011,106,0.06487148102815178,0.0,0.0,0.09118727050183599
12,IND_ORC_1,203,108,27,3,0,71,66,0,0,2,0,4,0,0,4,0,0,141,113,17,0,2,273,0,52,0,486,21,0,0,0,0,0,2,1595,490,0.3072100313479624,348,0.21818181818181817,486,0.3047021943573668,273,0.17115987460815046,0.0,0.0,0.14420062695924765
13,IND_ORC_2,309,173,27,3,0,92,62,0,0,2,0,11,0,0,4,0,0,105,74,8,0,2,176,2,37,0,483,12,2,0,0,0,0,2,1586,685,0.43190416141235816,231,0.14564943253467844,483,0.30453972257250944,189,0.11916771752837327,0.0,0.0,0.21185372005044137
14,EVE_ORC,22,0,0,0,0,34,117,0,0,0,0,0,1,0,0,0,5,76,33,8,0,0,563,21,179,2,453,45,20,0,0,0,0,0,1579,173,0.10956301456618113,830,0.525649145028499,453,0.2868904369854338,117,0.0740975300823306,0.0,0.0,0.013932868904369854
15,EVE_FOR,21,0,0,0,0,29,95,0,0,0,0,0,1,0,0,0,5,73,39,9,0,0,591,23,227,2,389,64,17,0,0,0,0,0,1585,145,0.0914826498422713,924,0.5829652996845426,389,0.24542586750788645,121,0.07634069400630915,0.0,0.0,0.013249211356466877
16,EVE_FIE,22,0,0,0,0,29,100,0,0,0,0,0,0,0,0,0,5,58,49,10,0,0,477,34,326,2,390,59,16,0,0,0,0,0,1577,151,0.09575142675967026,914,0.579581483830057,390,0.24730500951173112,117,0.07419150285351934,0.0,0.0,0.013950538998097653
17,OLE_FIE,100,26,0,6,3,105,15,0,2,0,0,4,7,0,0,1,4,64,53,11,0,0,456,1,57,3,341,357,0,3,0,0,0,0,1619,265,0.16368128474366894,874,0.5398394070413836,341,0.21062384187770228,128,0.07906114885731934,0.0,0.0,0.06176652254478073
18,OLE_FOR,108,30,0,6,3,105,14,0,2,0,0,1,7,0,0,1,4,61,51,11,0,0,451,1,69,3,272,414,0,3,0,0,0,0,1617,273,0.16883116883116883,938,0.5800865800865801,272,0.16821273964131106,123,0.07606679035250463,0.0,0.0,0.06679035250463822
19,GRN_FIE,90,194,4,84,0,283,97,0,3,3,0,10,48,10,19,2,7,0,1,1,0,0,300,0,30,0,350,50,3,21,0,0,0,4,1614,824,0.5105328376703842,383,0.2372986369268897,350,0.21685254027261464,2,0.0012391573729863693,0.0,0.0,0.058240396530359353
