,card_id,data_collector,site,collection_date,n_scm_i_m,n_scm_i_f,n_scm_o_m,n_scm_o_f,n_d_florilega_i,n_d_florilega_o,total_scm,landscape_type,farm,placement
0,2001,Anna DiPaola,DIP_CUR,2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,CURC,Out
1,2002,Anna DiPaola,DIP_CUR,2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,CURC,Out
2,2003,Anna DiPaola,POV_DUN,2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,Dunlop,Out
3,2004,Anna DiPaola,POV_DUN,2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,Dunlop,Out
4,2005,Anna DiPaola,DIP_FLE,2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,Fleming,Out
5,2006,Anna DiPaola,DIP_FLE,2023-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,Fleming,Out
6,2007,Shea Crowther,DIP_FLE,2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,Fleming,Out
7,2008,Shea Crowther,DIP_FLE,2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,Fleming,Out
8,2009,Shea Crowther,DIP_CUR,2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,CURC,Out
9,2010,Shea Crowther,DIP_CUR,2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,CURC,Out
10,2011,Shea Crowther,POV_DUN,2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,Dunlop,Out
11,2012,Shea Crowther,POV_DUN,2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,Dunlop,Out
12,2013,Shea Crowther,DIP_FLE,2023-03-28,5.0,6.0,9.0,3.0,0.0,0.0,23.0,Field,Fleming,Out
13,2014,Shea Crowther,DIP_FLE,2023-03-28,17.0,6.0,12.0,7.0,0.0,0.0,42.0,Field,Fleming,Out
14,2015,Shea Crowther,POV_DUN,2023-03-28,,,,,,,,Field,Dunlop,Out
15,2016,Shea Crowther,POV_DUN,2023-03-28,14.0,7.0,27.0,2.0,0.0,0.0,50.0,Field,Dunlop,Out
16,2017,Shea Crowther,DIP_CUR,2023-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,CURC,Out
17,2018,Shea Crowther,DIP_CUR,2023-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Field,CURC,Out
18,2019,Anna DiPaola,DIP_FLE,2023-04-04,,,,,,,,Field,Fleming,Out
19,2020,Anna DiPaola,DIP_FLE,2023-04-04,4.0,15.0,11.0,15.0,0.0,0.0,45.0,Field,Fleming,Out
20,2021,Anna DiPaola,DIP_CUR,2023-04-06,,,,,,,,Field,CURC,Out
21,2022,Anna DiPaola,DIP_CUR,2023-04-06,5.0,3.0,9.0,12.0,0.0,0.0,29.0,Field,CURC,Out
22,2023,Anna DiPaola,POV_DUN,2023-04-04,,,,,,,,Field,Dunlop,Out
23,2024,Anna DiPaola,POV_DUN,2023-04-04,26.0,16.0,31.0,31.0,0.0,0.0,104.0,Field,Dunlop,Out
26,2027,Shea Crowther,POV_DUN,2023-04-11,,,,,,,,Field,Dunlop,Out
27,2028,Shea Crowther,POV_DUN,2023-04-11,6.0,1.0,6.0,2.0,0.0,0.0,15.0,Field,Dunlop,Out
28,2029,Shea Crowther,DIP_PAT,2023-04-11,,,,,,,,Field,Patterson,Out
29,2030,Shea Crowther,DIP_PAT,2023-04-11,23.0,40.0,21.0,17.0,0.0,0.0,101.0,Field,Patterson,Out
30,2031,Shea Crowther,DIP_CUR,2023-04-11,,,,,,,,Field,CURC,Out
31,2032,Shea Crowther,DIP_CUR,2023-04-11,25.0,136.0,1.0,10.0,0.0,0.0,172.0,Field,CURC,Out
32,2033,Shea Crowther,DIP_FLE,2023-04-11,,,,,,,,Field,Fleming,Out
33,2034,Shea Crowther,DIP_FLE,2023-04-11,71.0,99.0,88.0,71.0,0.0,0.0,329.0,Field,Fleming,Out
72,2073,Shea Crowther,DIP_PAT,2023-04-18,,,,,,,,Field,Patterson,Out
73,2074,Shea Crowther,DIP_PAT,2023-04-18,29.0,18.0,15.0,10.0,0.0,0.0,72.0,Field,Patterson,Out
74,2075,Shea Crowther,DIP_FLE,2023-04-18,,,,,,,,Field,Fleming,Out
