field_id,long,lat,elevation,date,ppt_in,tmin_f,tmean_f,tmax_f,tdmean_f,vpdmin_hPa,vpdmax_hPa
DEG_DIE_HILL,-76.1501,42.6049,1339,1/1/24,0.02,28,29.9,31.9,27.8,0.12,0.94
DEG_DIE_HILL,-76.1501,42.6049,1339,1/2/24,0,24.2,26.7,29.2,22.2,0.24,1.22
DEG_DIE_HILL,-76.1501,42.6049,1339,1/3/24,0,27.2,30.5,33.8,25,0.51,1.79
DEG_DIE_HILL,-76.1501,42.6049,1339,1/4/24,0.04,30.1,31.7,33.3,28.1,0.43,1.34
DEG_DIE_HILL,-76.1501,42.6049,1339,1/5/24,0.02,20.3,25.7,31.2,17.6,0.51,1.68
DEG_DIE_HILL,-76.1501,42.6049,1339,1/6/24,0,15.8,22,28.2,17.2,0.1,1.95
DEG_DIE_HILL,-76.1501,42.6049,1339,1/7/24,0.68,20.7,24.4,28.1,24.2,0.09,1.38
DEG_DIE_HILL,-76.1501,42.6049,1339,1/8/24,0.15,26.3,28.8,31.2,26.7,0.1,0.89
DEG_DIE_HILL,-76.1501,42.6049,1339,1/9/24,0,27.9,30.8,33.8,28.1,0.21,1.25
DEG_DIE_HILL,-76.1501,42.6049,1339,1/10/24,0.72,31,38.3,45.6,34.4,0.27,2.36
DEG_DIE_HILL,-76.1501,42.6049,1339,1/11/24,0.02,30.2,34.8,39.4,28.9,0.19,2.63
DEG_DIE_HILL,-76.1501,42.6049,1339,1/12/24,0.17,29.8,32.6,35.4,29.8,0.11,1.57
DEG_DIE_HILL,-76.1501,42.6049,1339,1/13/24,0.4,29.4,35.3,41.2,31,0.12,3.48
DEG_DIE_HILL,-76.1501,42.6049,1339,1/14/24,0.05,27.3,35,42.7,22.9,0.22,3.18
DEG_DIE_HILL,-76.1501,42.6049,1339,1/15/24,0.08,7.6,18,28.4,6.6,0.35,2.41
DEG_DIE_HILL,-76.1501,42.6049,1339,1/16/24,0.04,7.5,14,20.5,6.4,0.27,2.14
DEG_DIE_HILL,-76.1501,42.6049,1339,1/17/24,0.1,6.4,13.2,20.1,9.6,0.29,0.94
DEG_DIE_HILL,-76.1501,42.6049,1339,1/18/24,0,6.1,11.2,16.3,-0.6,0.62,2.04
DEG_DIE_HILL,-76.1501,42.6049,1339,1/19/24,0.02,12.9,17.7,22.4,13.9,0.1,1.6
DEG_DIE_HILL,-76.1501,42.6049,1339,1/20/24,0.04,8.6,15.6,22.6,11,0.15,0.9
DEG_DIE_HILL,-76.1501,42.6049,1339,1/21/24,0.04,8.8,10.9,13,6.8,0.32,0.7
DEG_DIE_HILL,-76.1501,42.6049,1339,1/22/24,0.02,5,12.7,20.3,9.5,0.08,1.23
DEG_DIE_HILL,-76.1501,42.6049,1339,1/23/24,0,4.3,18.3,32.2,15.5,0.07,3.46
DEG_DIE_HILL,-76.1501,42.6049,1339,1/24/24,0.4,30.1,32.5,34.9,30.9,0.08,1.34
DEG_DIE_HILL,-76.1501,42.6049,1339,1/25/24,1.07,33.6,38.6,43.5,35.6,0.11,1.28
DEG_DIE_HILL,-76.1501,42.6049,1339,1/26/24,0.68,36.4,40.2,44.1,39.7,0.03,0.53
DEG_DIE_HILL,-76.1501,42.6049,1339,1/27/24,0.07,32.7,42.5,52.3,37.1,0.17,2.41
DEG_DIE_HILL,-76.1501,42.6049,1339,1/28/24,0.09,32.9,35.7,38.5,34.9,0.1,1.03
DEG_DIE_HILL,-76.1501,42.6049,1339,1/29/24,0.82,29.3,32.7,36,31.4,0.06,0.52
DEG_DIE_HILL,-76.1501,42.6049,1339,1/30/24,0.01,26,28.4,30.8,25.3,0.39,1.1
DEG_DIE_HILL,-76.1501,42.6049,1339,1/31/24,0,26,27.8,29.6,25.9,0.42,0.77
DEG_DIE_HILL,-76.1501,42.6049,1339,2/1/24,0,29.8,32.7,35.7,29.4,0.4,1.59
DEG_DIE_HILL,-76.1501,42.6049,1339,2/2/24,0,33.2,34.5,35.8,32.6,0.16,1.08
DEG_DIE_HILL,-76.1501,42.6049,1339,2/3/24,0,26.3,30.2,34.2,27.3,0.31,1.38
DEG_DIE_HILL,-76.1501,42.6049,1339,2/4/24,0,19.6,25.7,31.8,21.6,0.15,1.84
DEG_DIE_HILL,-76.1501,42.6049,1339,2/5/24,0,19.8,29.1,38.5,23.9,0.09,4.13
DEG_DIE_HILL,-76.1501,42.6049,1339,2/6/24,0,15.9,25.8,35.8,19.3,0.3,3.18
DEG_DIE_HILL,-76.1501,42.6049,1339,2/7/24,0,16.2,26.6,37.1,19.2,0.12,3.65
DEG_DIE_HILL,-76.1501,42.6049,1339,2/8/24,0,19.6,31.2,42.9,23.3,0.22,5.59
DEG_DIE_HILL,-76.1501,42.6049,1339,2/9/24,0,27.5,39.9,52.3,24.7,1.02,8.98
DEG_DIE_HILL,-76.1501,42.6049,1339,2/10/24,0,34.3,45.8,57.2,34.5,0.51,8.56
DEG_DIE_HILL,-76.1501,42.6049,1339,2/11/24,0.24,32,43.2,54.4,35.8,0.42,4.91
DEG_DIE_HILL,-76.1501,42.6049,1339,2/12/24,0,30.3,32.4,34.6,27.2,0.84,1.82
DEG_DIE_HILL,-76.1501,42.6049,1339,2/13/24,0,27.2,30.5,33.7,25.5,0.33,1.83
DEG_DIE_HILL,-76.1501,42.6049,1339,2/14/24,0.04,18.8,27,35.3,20,0.57,3.11
DEG_DIE_HILL,-76.1501,42.6049,1339,2/15/24,0.02,15.6,21.1,26.5,12.7,0.44,2.44
DEG_DIE_HILL,-76.1501,42.6049,1339,2/16/24,0.02,15.7,24.7,33.7,20,0.22,2.82
DEG_DIE_HILL,-76.1501,42.6049,1339,2/17/24,0.21,21.6,25.9,30.2,18.5,0.17,2.41
DEG_DIE_HILL,-76.1501,42.6049,1339,2/18/24,0.05,14.3,20.2,26,12,0.36,2
DEG_DIE_HILL,-76.1501,42.6049,1339,2/19/24,0.01,16.7,22.3,27.8,14.6,0.77,2.13
DEG_DIE_HILL,-76.1501,42.6049,1339,2/20/24,0,4.8,14.5,24.3,6.2,0.23,2.22
DEG_DIE_HILL,-76.1501,42.6049,1339,2/21/24,0,5.2,20.6,36.1,13.6,0.19,4.24
DEG_DIE_HILL,-76.1501,42.6049,1339,2/22/24,0.01,21.4,31.9,42.5,22.9,0.78,5.02
