Card ID,Data_Collector,Field ID,Date Placed,Date Collected,N.SCM.M.1,N.SCM.F.1,N.SCM.M.2,N.SCM.F.2,N.D.Florilega.1,N.D.Florilega.2,Initials
24_1079,Shea Crowther,CUR_FIE_IN,3/5/24,3/12/24,0,0,0,0,0,0,SN
24_1095,Shea Crowther,CUR_FIE_IN,3/12/24,3/19/24,1,0,0,0,0,0,SN
24_1111,Shea Crowther,CUR_FIE_IN,3/19/24,3/26/24,0,0,0,0,0,0,AS
24_1408,Shea Crowther,CUR_FIE_IN,3/26/24,4/2/24,2,1,1,0,0,0,SN
24_1314,Shea Crowther,CUR_FIE_IN,4/2/24,4/9/24,0,1,0,0,0,0,LM
24_1424,Shea Crowther,CUR_FIE_IN,4/9/24,4/16/24,8,2,11,0,1,0,EK
24_1777,Shea Crowther,CUR_FIE_IN,4/16/24,4/23/24,14,16,7,6,0,0,AS
24_1793,Shea Crowther,CUR_FIE_IN,4/23/24,5/1/24,18,11,16,16,1,0,SN
24_1944,Janice Degni,DEG_DIE_2,5/6/24,5/13/24,17,118,18,42,2,2,AS
24_1945,Janice Degni,DEG_DIE_2,5/6/24,5/13/24,,,,,,,
24_1956,Janice Degni,DEG_DIE_2,5/13/24,5/21/24,,,,,,,
24_1957,Janice Degni,DEG_DIE_2,5/13/24,5/21/24,,,,,,,
24_2025,Janice Degni,DEG_DIE_2,5/21/24,5/28/24,,,,,,,
24_2026,Janice Degni,DEG_DIE_2,5/21/24,5/28/24,5,6,1,3,0,0,CYC
24_2014,Janice Degni,DEG_DIE_2,5/28/24,6/3/24,49,60,30,24,45,10,AS
24_2015,Janice Degni,DEG_DIE_2,5/28/24,6/3/24,,,,,,,
24_2078,Janice Degni,DEG_DIE_2,6/3/24,6/11/24,45,24,78,58,3,20,CYC
24_2079,Janice Degni,DEG_DIE_2,6/3/24,6/11/24,,,,,,,
24_2287,Janice Degni,DEG_DIE_2,6/11/24,6/17/24,,,,,,,
24_2288,Janice Degni,DEG_DIE_2,6/11/24,6/17/24,33,13,23,17,19,12,EW
24_2289,Janice Degni,DEG_DIE_2,6/17/24,6/24/24,,,,,,,
24_2290,Janice Degni,DEG_DIE_2,6/17/24,6/24/24,3,2,18,13,8,25,AM
24_2291,Janice Degni,DEG_DIE_2,6/24/24,7/1/24,,,,,,,
24_2292,Janice Degni,DEG_DIE_2,6/24/24,7/1/24,16,8,16,11,0,0,LM
24_2325,Janice Degni,DEG_DIE_2,7/1/24,7/8/24,,,,,,,
24_2326,Janice Degni,DEG_DIE_2,7/1/24,7/8/24,6,2,7,5,0,1,EAJ
24_2333,Janice Degni,DEG_DIE_2,7/8/24,7/15/24,,,,,,,
24_2334,Janice Degni,DEG_DIE_2,7/8/24,7/15/24,1,4,6,26,1,4,LXM
24_2341,Janice Degni,DEG_DIE_2,7/15/24,7/22/24,,,,,,,
24_2342,Janice Degni,DEG_DIE_2,7/15/24,7/22/24,1,4,8,10,2,5,EW
24_2347,Janice Degni,DEG_DIE_2,7/22/24,7/29/24,,,,,,,
24_2348,Janice Degni,DEG_DIE_2,7/22/24,7/29/24,2,8,0,0,3,0,EW
24_2400,Janice Degni,DEG_DIE_2,7/29/24,8/5/24,2,1,3,2,2,1,LM
24_2401,Janice Degni,DEG_DIE_2,7/29/24,8/5/24,,,,,,,
24_2408,Janice Degni,DEG_DIE_2,8/5/24,8/12/24,1,1,0,3,0,1,LM
24_2409,Janice Degni,DEG_DIE_2,8/5/24,8/12/24,,,,,,,
24_2416,Janice Degni,DEG_DIE_2,8/12/24,8/19/24,,,,,,,
24_2417,Janice Degni,DEG_DIE_2,8/12/24,8/19/24,,,,,,,
24_2424,Janice Degni,DEG_DIE_2,8/19/24,8/26/24,0,0,0,1,0,0,LXM
24_2425,Janice Degni,DEG_DIE_2,8/19/24,8/26/24,,,,,,,
24_2432,Janice Degni,DEG_DIE_2,8/26/24,9/4/24,0,0,0,0,0,0,JRW
24_2433,Janice Degni,DEG_DIE_2,8/26/24,9/4/24,,,,,,,
24_2440,Janice Degni,DEG_DIE_2,9/4/24,9/9/24,,,,,,,
24_2441,Janice Degni,DEG_DIE_2,9/4/24,9/9/24,,,,,,,
24_2752,Janice Degni,DEG_DIE_2,9/9/24,9/17/24,0,0,0,0,0,0,LXM
24_2753,Janice Degni,DEG_DIE_2,9/9/24,9/17/24,,,,,,,
24_2754,Janice Degni,DEG_DIE_2,9/17/24,9/23/24,,,,,,,
24_2755,Janice Degni,DEG_DIE_2,9/17/24,9/23/24,,,,,,,
24_2758,Janice Degni,DEG_DIE_2,9/23/24,9/30/24,0,0,0,0,0,0,LXM
24_2759,Janice Degni,DEG_DIE_2,9/23/24,9/30/24,,,,,,,
24_3039,Janice Degni,DEG_DIE_2,9/30/24,10/7/24,,,,,,,
24_3040,Janice Degni,DEG_DIE_2,9/30/24,10/7/24,1,0,0,0,0,0,EK
24_3043,Janice Degni,DEG_DIE_2,10/7/24,10/21/24,,,,,,,
24_3044,Janice Degni,DEG_DIE_2,10/7/24,10/21/24,1,0,3,0,0,0,EK
24_3051,Janice Degni,DEG_DIE_2,10/21/24,11/4/24,,,,,,,
24_3052,Janice Degni,DEG_DIE_2,10/21/24,11/4/24,0,0,0,0,0,0,EAJ
24_3057,Janice Degni,DEG_DIE_2,11/4/24,11/11/24,,,,,,,
24_3058,Janice Degni,DEG_DIE_2,11/4/24,11/11/24,0,0,0,0,0,0,EAJ
24_3063,Janice Degni,DEG_DIE_2,11/11/24,11/25/24,,,,,,,
24_3064,Janice Degni,DEG_DIE_2,11/11/24,11/25/24,1,1,0,1,0,0,EAJ
24_1161,Janice Degni,DEG_DIE_HILL,3/5/24,3/12/24,1,0,1,2,0,0,SN
24_1165,Janice Degni,DEG_DIE_HILL,3/12/24,3/18/24,1,1,3,1,0,0,SN
24_1169,Janice Degni,DEG_DIE_HILL,3/18/24,3/25/24,0,0,0,0,0,0,SN
24_1369,Janice Degni,DEG_DIE_HILL,3/25/24,4/1/24,1,1,0,0,0,0,TW
24_2073,Janice Degni,DEG_DIE_HILL,4/1/24,4/8/24,,,,,,,
24_2074,Janice Degni,DEG_DIE_HILL,4/1/24,4/8/24,5,0,1,0,0,0,CYC
24_1542,Janice Degni ,DEG_DIE_HILL,,4/15/24,19,18,20,7,1,0,AM
24_1543,Janice Degni ,DEG_DIE_HILL,,4/15/24,,,,,,,
24_1550,Janice Degni ,DEG_DIE_HILL,4/15/24,4/22/24,47,42,45,20,0,0,LXM
24_1551,Janice Degni ,DEG_DIE_HILL,4/15/24,4/22/24,,,,,,,
24_1558,Janice Degni ,DEG_DIE_HILL,4/22/24,4/29/24,17,13,5,4,1,0,LXM
24_1559,Janice Degni ,DEG_DIE_HILL,4/22/24,4/29/24,,,,,,,
24_1938,Janice Degni,DEG_DIE_HILL,4/29/24,5/6/24,23,8,77,92,2,0,EK
24_1939,Janice Degni,DEG_DIE_HILL,4/29/24,5/6/24,,,,,,,
24_1948,Janice Degni,DEG_FOU_2,5/6/24,5/13/24,25,10,29,5,0,1,AM
24_1949,Janice Degni,DEG_FOU_2,5/6/24,5/13/24,,,,,,,
24_1952,Janice Degni,DEG_FOU_2,5/13/24,5/21/24,65,76,35,65,16,7,AS
24_1953,Janice Degni,DEG_FOU_2,5/13/24,5/21/24,,,,,,,
24_2027,Janice Degni,DEG_FOU_2,5/21/24,5/28/24,,,,,,,
24_2028,Janice Degni,DEG_FOU_2,5/21/24,5/28/24,13,7,74,64,1,5,CYC
24_2016,Janice Degni,DEG_FOU_2,5/28/24,6/3/24,15,11,26,16,9,6,AS
24_2017,Janice Degni,DEG_FOU_2,5/28/24,6/3/24,,,,,,,
24_2082,Janice Degni,DEG_FOU_2,6/3/24,6/10/24,48,18,108,91,11,17,SC
24_2083,Janice Degni,DEG_FOU_2,6/3/24,6/10/24,,,,,,,
24_2756,Janice Degni,DEG_FOU_2,6/10/24,6/17/24,40,36,37,47,9,10,LM
24_2757,Janice Degni,DEG_FOU_2,6/10/24,6/17/24,,,,,,,
24_2293,Janice Degni,DEG_FOU_2,,6/24/24,,,,,,,
24_2294,Janice Degni,DEG_FOU_2,,6/24/24,8,10,11,11,6,20,EW
24_2295,Janice Degni,DEG_FOU_2,6/24/24,7/1/24,,,,,,,
24_2296,Janice Degni,DEG_FOU_2,6/24/24,7/1/24,41,41,44,23,21,12,EW
24_2323,Janice Degni,DEG_FOU_2,7/1/24,7/8/24,,,,,,,
24_2324,Janice Degni,DEG_FOU_2,7/1/24,7/8/24,0,2,6,3,0,0,EAJ
24_2331,Janice Degni,DEG_FOU_2,7/8/24,7/15/24,,,,,,,
24_2332,Janice Degni,DEG_FOU_2,7/8/24,7/15/24,0,1,9,12,0,5,EW
24_2339,Janice Degni,DEG_FOU_2,7/15/24,7/22/24,,,,,,,
24_2340,Janice Degni,DEG_FOU_2,7/15/24,7/22/24,5,22,8,40,8,6,EW
24_2396,Janice Degni,DEG_FOU_2,7/22/24,7/29/24,4,6,4,6,1,1,LXM
24_2397,Janice Degni,DEG_FOU_2,7/22/24,7/29/24,,,,,,,
24_2402,Janice Degni,DEG_FOU_2,7/29/24,8/5/24,0,3,5,4,3,2,EW
24_2403,Janice Degni,DEG_FOU_2,7/29/24,8/5/24,,,,,,,
24_2410,Janice Degni,DEG_FOU_2,8/5/24,8/12/24,14,15,10,19,8,5,EW
24_2411,Janice Degni,DEG_FOU_2,8/5/24,8/12/24,,,,,,,
24_2418,Janice Degni,DEG_FOU_2,8/12/24,8/19/24,,,,,,,
24_2419,Janice Degni,DEG_FOU_2,8/12/24,8/19/24,,,,,,,
24_2426,Janice Degni,DEG_FOU_2,8/19/24,8/26/24,0,18,0,13,0,0,LXM
24_2427,Janice Degni,DEG_FOU_2,8/19/24,8/26/24,,,,,,,
24_2434,Janice Degni,DEG_FOU_2,8/26/24,9/4/24,1,6,1,5,0,0,LXM
24_2435,Janice Degni,DEG_FOU_2,8/26/24,9/4/24,,,,,,,
24_2442,Janice Degni,DEG_FOU_2,9/4/24,9/9/24,0,1,0,0,0,0,EW
24_2443,Janice Degni,DEG_FOU_2,9/4/24,9/9/24,,,,,,,
24_2760,Janice Degni,DEG_FOU_2,9/9/24,9/17/24,0,0,0,0,0,0,EW
24_2761,Janice Degni,DEG_FOU_2,9/9/24,9/17/24,,,,,,,
