,field_id,collection_date,total_scm,number_seeds,scm_seeds,seed_type,wireworms,total_phorids,scm_larvae_sum,scm_pupae_sum,week,week_before,two_weeks_before
820,DEG_DIE_HILL,2024-04-15,0.0,10,0.0,lima,0.0,0.0,0.0,0.0,16,15,14
821,DEG_DIE_HILL,2024-04-15,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
822,DEG_DIE_HILL,2024-04-15,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
823,DEG_DIE_HILL,2024-04-29,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
824,DEG_DIE_HILL,2024-04-15,0.0,10,0.0,lima,0.0,0.0,0.0,0.0,16,15,14
825,DEG_DIE_HILL,2024-04-15,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
826,DEG_DIE_HILL,2024-04-29,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
827,DEG_DIE_HILL,2024-04-29,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
828,DEG_DIE_HILL,2024-04-29,1.0,9,1.0,lima,0.0,2.0,1.0,0.0,18,17,16
829,DEG_DIE_HILL,2024-04-29,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
830,DEG_DIE_HILL,2024-04-15,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
831,DEG_DIE_HILL,2024-05-09,5.0,10,1.0,lima,0.0,2.0,5.0,0.0,19,18,17
832,DEG_FOU,2024-04-29,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
833,DEG_FOU,2024-04-29,0.0,10,0.0,lima,0.0,0.0,0.0,0.0,18,17,16
834,DEG_FOU,2024-04-29,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
835,DEG_FOU,2024-04-29,0.0,9,0.0,lima,0.0,0.0,0.0,0.0,18,17,16
836,DEG_FOU,2024-04-29,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
837,DEG_FOU,2024-04-29,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
838,DEG_FOU,2024-04-29,6.0,8,2.0,soy,0.0,0.0,6.0,0.0,18,17,16
869,DEG_PER,2024-04-15,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
870,DEG_PER,2024-04-15,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
871,DEG_PER,2024-04-15,0.0,9,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
872,DEG_PER,2024-04-29,0.0,9,0.0,lima,0.0,0.0,0.0,0.0,18,17,16
873,DEG_PER,2024-04-15,0.0,7,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
874,DEG_PER,2024-04-29,1.0,10,0.0,lima,0.0,0.0,1.0,0.0,18,17,16
875,DEG_PER,2024-04-29,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
876,DEG_PER,2024-04-29,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
877,DEG_PER,2024-04-29,0.0,10,0.0,corn,0.0,1.0,0.0,0.0,18,17,16
878,DEG_PER,2024-04-29,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
909,DEG_VIL,2024-04-15,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
910,DEG_VIL,2024-04-15,0.0,10,0.0,lima,5.0,0.0,0.0,0.0,16,15,14
911,DEG_VIL,2024-04-15,0.0,10,0.0,soy,1.0,0.0,0.0,0.0,16,15,14
912,DEG_VIL,2024-04-29,0.0,10,0.0,lima,0.0,139.0,0.0,0.0,18,17,16
913,DEG_VIL,2024-04-29,1.0,10,0.0,lima,0.0,147.0,1.0,0.0,18,17,16
914,DEG_VIL,2024-04-29,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
915,DEG_VIL,2024-04-29,0.0,9,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
916,DEG_VIL,2024-04-15,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
917,DEG_VIL,2024-04-29,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
918,DEG_VIL,2024-04-29,0.0,8,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
919,DEG_VIL,2024-04-15,0.0,8,0.0,lima,1.0,0.0,0.0,0.0,16,15,14
920,DEG_VIL,2024-04-15,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
951,DIP_CUR,2024-04-16,0.0,8,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
952,DIP_CUR,2024-04-16,0.0,9,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
953,DIP_CUR,2024-04-16,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
954,DIP_CUR,2024-04-16,0.0,8,0.0,lima,0.0,7.0,0.0,0.0,16,15,14
955,DIP_CUR,2024-04-16,0.0,8,0.0,lima,0.0,4.0,0.0,0.0,16,15,14
956,DIP_CUR,2024-04-16,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
957,DIP_CUR,2024-05-01,0.0,10,0.0,lima,0.0,0.0,0.0,0.0,18,17,16
958,DIP_CUR,2024-05-01,1.0,10,0.0,corn,0.0,0.0,1.0,0.0,18,17,16
959,DIP_CUR,2024-05-01,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
960,DIP_CUR,2024-05-01,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
961,DIP_CUR,2024-05-14,0.0,10,0.0,lima,0.0,0.0,0.0,0.0,20,19,18
962,DIP_CUR,2024-05-14,0.0,9,0.0,soy,0.0,0.0,0.0,0.0,20,19,18
963,DIP_CUR,2024-05-14,0.0,9,0.0,corn,0.0,0.0,0.0,0.0,20,19,18
964,DIP_CUR,2024-05-14,0.0,8,0.0,soy,0.0,2.0,0.0,0.0,20,19,18
965,DIP_CUR,2024-05-14,3.0,10,0.0,lima,0.0,0.0,0.0,3.0,20,19,18
966,DIP_CUR,2024-05-01,0.0,7,0.0,lima,0.0,5.0,0.0,0.0,18,17,16
967,DIP_CUR,2024-05-14,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,20,19,18
998,DIP_FLE,2024-04-17,0.0,9,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
999,DIP_FLE,2024-04-17,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
1000,DIP_FLE,2024-04-17,0.0,9,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
1001,DIP_FLE,2024-04-17,0.0,7,0.0,lima,0.0,0.0,0.0,0.0,16,15,14
1002,DIP_FLE,2024-05-01,0.0,9,0.0,lima,0.0,0.0,0.0,0.0,18,17,16
1003,DIP_FLE,2024-04-17,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
1004,DIP_FLE,2024-05-14,0.0,8,0.0,corn,0.0,0.0,0.0,0.0,20,19,18
1005,DIP_FLE,2024-05-01,1.0,10,1.0,corn,0.0,5.0,1.0,0.0,18,17,16
1006,DIP_FLE,2024-04-17,0.0,9,0.0,lima,0.0,0.0,0.0,0.0,16,15,14
1007,DIP_FLE,2024-05-14,0.0,8,0.0,lima,0.0,0.0,0.0,0.0,20,19,18
1008,DIP_FLE,2024-05-14,0.0,9,0.0,lima,0.0,0.0,0.0,0.0,20,19,18
1009,DIP_FLE,2024-05-01,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
1010,DIP_FLE,2024-05-01,0.0,9,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
1011,DIP_FLE,2024-05-01,0.0,10,0.0,lima,0.0,21.0,0.0,0.0,18,17,16
1012,DIP_FLE,2024-05-01,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
1013,DIP_FLE,2024-05-14,0.0,8,0.0,corn,0.0,0.0,0.0,0.0,20,19,18
1044,DIP_PAT,2024-04-16,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
1045,DIP_PAT,2024-04-16,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
1046,DIP_PAT,2024-04-16,0.0,7,0.0,lima,0.0,0.0,0.0,0.0,16,15,14
1047,DIP_PAT,2024-04-16,0.0,9,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
1048,DIP_PAT,2024-04-16,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
1049,DIP_PAT,2024-04-16,0.0,9,0.0,lima,0.0,0.0,0.0,0.0,16,15,14
1050,DIP_PAT,2024-05-01,1.0,8,0.0,lima,0.0,15.0,0.0,1.0,18,17,16
1051,DIP_PAT,2024-05-14,0.0,9,0.0,soy,0.0,0.0,0.0,0.0,20,19,18
1052,DIP_PAT,2024-05-14,0.0,11,0.0,lima,0.0,0.0,0.0,0.0,20,19,18
1053,DIP_PAT,2024-05-14,0.0,10,0.0,lima,0.0,1.0,0.0,0.0,20,19,18
1054,DIP_PAT,2024-05-14,0.0,10,0.0,corn,3.0,0.0,0.0,0.0,20,19,18
1055,DIP_PAT,2024-05-01,0.0,9,0.0,lima,0.0,0.0,0.0,0.0,18,17,16
1056,DIP_PAT,2024-05-01,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
1057,DIP_PAT,2024-05-14,1.0,10,0.0,corn,0.0,0.0,1.0,0.0,20,19,18
1058,DIP_PAT,2024-05-14,0.0,10,0.0,soy,0.0,,0.0,0.0,20,19,18
1059,DIP_PAT,2024-05-01,0.0,9,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
1060,DIP_PAT,2024-05-01,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
1061,DIP_PAT,2024-05-01,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
1112,GAB_ALL,2024-04-16,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
1113,GAB_ALL,2024-04-16,0.0,10,0.0,lima,0.0,0.0,0.0,0.0,16,15,14
1114,GAB_ALL,2024-04-16,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
1115,GAB_ALL,2024-04-16,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,16,15,14
1116,GAB_ALL,2024-04-16,0.0,10,0.0,lima,0.0,3.0,0.0,0.0,16,15,14
1117,GAB_ALL,2024-04-16,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,16,15,14
1118,GAB_ALL,2024-04-29,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,18,17,16
1119,GAB_ALL,2024-04-29,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
1120,GAB_ALL,2024-04-29,0.0,9,0.0,lima,0.0,0.0,0.0,0.0,18,17,16
1121,GAB_ALL,2024-05-13,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,20,19,18
1122,GAB_ALL,2024-04-29,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,18,17,16
1123,GAB_ALL,2024-04-29,0.0,10,0.0,lima,0.0,10.0,0.0,0.0,18,17,16
1124,GAB_ALL,2024-05-13,0.0,10,0.0,corn,0.0,0.0,0.0,0.0,20,19,18
1125,GAB_ALL,2024-05-14,0.0,10,0.0,soy,0.0,0.0,0.0,0.0,20,19,18
1126,GAB_ALL,2024-05-13,0.0,10,0.0,lima,0.0,0.0,0.0,0.0,20,19,18
