Field ID,Data Collector,Latitude,Longitude,First Cards,First Emergence,Day,N.SCM.M.1,N.SCM.M.2,N.SCM.F.1,N.SCM.F.2,Total SCM,Accumulated GDD
DEG_DIE_HILL,Janice Degni,42.60486,-76.15013,3/5/24,3/12/24,12,1,0,1,2,4,69
DEG_FOU_WOOD,Janice Degni,42.57729,-76.28135,3/5/24,3/19/24,19,1,0,0,0,1,94
DEG_PER_STRIP,Janice Degni,42.67339,-76.22911,3/5/24,3/12/24,12,0,2,0,0,2,61
DEG_VIL,Janice Degni,42.68901,-76.16868,3/5/24,3/12/24,12,1,2,0,0,3,61.5
DIP_CUR,Shea Crowther,42.43290495,-76.2440504,3/4/24,4/2/24,33,0,1,0,2,3,108.5
DIP_FLE,Shea Crowther,42.60098098,-76.51318513,3/4/24,3/12/24,12,3,1,3,0,7,97
DIP_PAT,Shea Crowther,42.90355407,-76.66418685,3/4/24,4/2/24,33,1,1,1,0,3,164.5
EVE_FIE_OUT,Alexa Stratton,42.1840494,-76.561636,3/5/24,3/12/24,12,0,0,2,0,2,68
GAB_ALL,Aaron Gabriel,42.92364,-73.68089,2/29/24,3/8/24,8,1,0,0,0,1,74
GAB_HEN,Aaron Gabriel,43.00549,-73.56116,2/29/24,3/13/24,13,0,1,0,0,1,58.5
GAB_STE,Aaron Gabriel,43.07217,-73.5235,3/1/24,3/13/24,13,0,0,1,0,1,65
GRN_FIE_OUT,Alexa Stratton,42.8716303,-77.0281361,3/4/24,3/18/24,18,2,0,0,0,2,139.5
GRS_FIE_OUT,Alexa Stratton,42.865672,-77.030793,3/4/24,3/11/24,11,0,0,1,0,1,98
KAT_HAB_3,Katelyn Miller,42.503889,-78.913889,3/4/24,3/19/24,19,1,0,0,1,2,169
KAT_HAB_4,Katelyn Miller,42.547222,-78.870556,3/4/24,3/11/24,11,2,1,0,1,4,111
KAT_JEF,Katelyn Miller,42.243611,-79.070556,3/4/24,3/11/24,11,3,0,0,1,4,101
KAT_JEF_2,Katelyn Miller,42.271111,-79.087778,3/4/24,3/11/24,11,2,2,0,0,4,109.5
KIR_FIE_OUT,Alexa Stratton,43.249315,-77.980774,3/4/24,4/1/24,32,0,1,4,1,6,196.5
POV_DUN,Shea Crowther,42.38746004,-76.39924839,3/4/24,3/19/24,19,1,0,1,1,3,116.5
SEA_HOO,Abby Seaman,42.627472,-77.018172,3/5/24,3/19/24,19,1,0,1,0,2,140.5
SMI_JOH,Erik Smith,43.003194,-75.5905,3/4/24,3/12/24,12,1,0,0,0,1,65.5
STA_AYR,Mike Stanyard,42.989351,-77.260081,3/4/24,3/12/24,12,2,0,1,0,3,107
STA_THO,Mike Stanyard,43.137601,-77.316857,3/4/24,3/26/24,26,1,0,0,0,1,149.5
WIS_COO,Ken Wise,41.879388,-73.614722,3/4/24,3/18/24,18,4,0,0,0,4,97
WIS_COO_2,Ken Wise,41.871069,-73.62796,3/4/24,3/11/24,11,1,0,2,0,3,52
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
